"Year","Coal","Oil","Gas","Cement","Flaring"
2000,337.883088,33.302096,3.198672,3.871000,0
2001,337.692560,25.886160,4.154976,3.783000,0
2002,325.528080,22.449328,4.122000,4.258000,0
2003,357.444766,39.743769,2.469558,4.515000,0
2004,384.086128,54.238192,6.364368,4.390000,0
2005,376.717824,27.831744,6.313072,5.062000,0
2006,382.016498,53.079933,6.126158,5.400000,0
2007,392.172001,59.327955,7.892318,5.408000,0
2008,418.299990,63.233780,8.119484,4.989000,0
2009,412.673306,77.115645,7.038493,5.432000,0
2010,406.920176,46.323952,8.866880,4.819000,0
2011,400.482528,60.232496,8.800928,4.433000,0
2012,398.013496,49.456279,9.255191,4.414000,0
2013,392.322800,49.500640,9.383504,4.659000,0
2014,413.225920,53.681264,9.042752,4.678000,0
2015,386.456736,48.943712,9.966080,5.205000,0
2016,392.810112,58.935440,7.815312,5.208205,0
2017,394.638448,56.612464,7.338992,5.608836,0
2018,399.305873,49.757513,9.119768,6.009467,0
2019,412.006079,49.133054,8.774016,6.009467,0
2020,394.045517,43.526399,8.375703,6.009467,0
