"Year","Coal","Oil","Gas","Cement"
1959,84.521152,8.643376,0,1.308342
1960,87.438086,9.068060,0,1.337366
1961,90.471488,10.365456,0,1.282902
1962,93.263025,11.091313,0,1.315656
1963,96.604586,11.695879,0,1.424687
1964,102.551696,15.286208,0,1.708114
1965,111.099808,15.121328,0,1.918902
1966,109.047419,17.217628,0,1.969838
1967,112.906160,18.873264,0,1.980685
1968,118.474922,17.298203,0,2.180628
1969,120.710480,19.910176,0,2.522193
1970,123.894496,22.881680,0,2.842010
1971,133.424560,32.089312,0,2.891202
1972,137.862384,30.678017,0,3.016501
1973,137.241684,32.731204,0,3.384923
1974,140.345856,32.605936,0,3.600421
1975,144.472323,37.002003,0,3.536642
1976,151.759216,37.684240,0,3.473076
1977,158.596240,37.915072,0,3.235778
1978,161.538432,36.995408,0,3.356871
1979,179.979344,35.313632,0,3.391055
1980,194.060096,30.620048,0,3.537202
1981,218.146676,34.977042,0,3.975719
1982,230.754406,45.774950,0,3.930073
1983,239.823456,48.232896,0,3.873611
1984,264.775296,46.836912,0,4.011913
1985,273.528592,46.913856,0,3.447567
1986,280.295443,46.943688,0,3.287158
1987,283.978819,41.421058,0,3.295943
1988,293.665936,44.880336,0,4.149912
1989,283.952672,52.875184,0,3.924637
1990,265.097728,40.615440,3.444160,3.815339
1991,277.712880,41.238320,3.491792,3.626094
1992,259.667680,34.753040,3.517440,3.429263
1993,289.723472,23.156480,3.924144,3.587186
1994,299.201816,31.646311,3.924186,3.852629
1995,319.530112,33.767424,3.924144,4.418281
1996,324.110112,31.649632,3.532096,4.381103
1997,333.295760,44.242800,3.154704,4.766248
1998,325.821200,44.587216,2.656400,4.248523
1999,336.747248,30.689664,3.473472,3.920434
2000,337.883088,33.302096,3.198672,3.871000
2001,337.692560,25.886160,4.154976,3.783000
2002,325.528080,22.449328,4.122000,4.258000
2003,357.444766,39.743769,2.469558,4.515000
2004,384.086128,54.238192,6.364368,4.390000
2005,376.717824,27.831744,6.313072,5.062000
2006,382.016498,53.079933,6.126158,5.400000
2007,392.172001,59.327955,7.892318,5.408000
2008,418.299990,63.233780,8.119484,4.989000
2009,412.673306,77.115645,7.038493,5.432000
2010,406.920176,46.323952,8.866880,4.819000
2011,400.482528,60.232496,8.800928,4.433000
2012,398.013496,49.456279,9.255191,4.414000
2013,392.322800,49.500640,9.383504,4.659000
2014,413.225920,53.681264,9.042752,4.678000
2015,386.456736,48.943712,9.966080,5.205000
2016,392.810112,58.935440,7.815312,5.208205
2017,394.638448,56.612464,7.338992,5.608836
2018,399.305873,49.757513,9.119768,6.009467
2019,412.006079,49.133054,8.774016,6.009467
2020,394.045517,43.526399,8.375703,6.009467
