"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,"NaN",0,"NaN",0,0.000250,0,0,0,0.443252,0.154832
1966,"NaN",0,"NaN",0,0.000260,0,0,0,0.504856,0.175481
1967,"NaN",0,"NaN",0,0.000250,0,0,0,0.533939,0.150239
1968,"NaN",0,"NaN",0,0.000210,0,0,0,0.580363,0.134614
1969,"NaN",0,"NaN",0,0.000220,0,0,0,0.697776,0.122958
1970,0.013300,0,"NaN",0,0.000240,0,0,0,0.776159,0.098348
1971,0.013700,0,"NaN",0,0.000240,0,0,0,0.766246,0.060185
1972,0.012787,0,"NaN",0,0.000240,0,0,0,0.810689,0.061487
1973,0.012787,0,"NaN",0,0.000240,0,0,0,0.749594,0.094241
1974,0.012787,0,"NaN",0,0.000240,0,0,0,0.678651,0.089024
1975,0.013363,0,"NaN",0,0.000210,0,0,0,0.670751,0.085888
1976,0.014120,0,"NaN",0,0.000190,0,0,0,0.713665,0.119328
1977,0.014167,0,"NaN",0,0.000260,0,0,0,0.712736,0.137268
1978,0.015690,0,"NaN",0,0.000270,0,0.000030,0,0.711076,0.151231
1979,0.019502,0,"NaN",0,0.000290,0,0.000060,0,0.680176,0.180351
1980,0.024352,0,"NaN",0,0.000341,0,0.000105,0,0.580793,0.257392
1981,0.029305,0,"NaN",0,0.000355,0,0.000105,0,0.547082,0.205718
1982,0.031522,0,"NaN",0,0.000303,0,0.000185,0,0.471304,0.248156
1983,0.032966,0.000330,"NaN",0,0.000335,0,0.000271,0.000525,0.445870,0.236990
1984,0.034634,0.000330,"NaN",0,0.000302,0,0.000332,0.004241,0.440770,0.249789
1985,0.035599,0.000360,"NaN",0,0.000297,0,0.000514,0.024169,0.454239,0.304452
1986,0.038452,0.000510,"NaN",0,0.000286,0,0.001256,0.043084,0.448240,0.307964
1987,0.043892,0.000610,"NaN",0,0.000294,0,0.001738,0.054681,0.412866,0.302295
1988,0.043855,0.000800,"NaN",0,0.000328,0,0.002917,0.066691,0.410394,0.282843
1989,0.043894,0.001260,"NaN",0,0.000229,0,0.004284,0.071082,0.395147,0.232451
1990,0.040748,0.002100,"NaN",0,0.000280,0,0.006103,0.075773,0.387077,0.255001
1991,0.044212,0.003550,"NaN",0,0.000254,0,0.007401,0.087465,0.392713,0.345867
1992,0.046342,0.005210,"NaN",0,0.000277,0,0.009154,0.091966,0.389210,0.288090
1993,0.048138,0.007280,"NaN",0,0.000275,0,0.010342,0.103346,0.407480,0.302199
1994,0.047294,0.005734,"NaN",0,0.000326,0,0.011370,0.115481,0.433505,0.324975
1995,0.049502,0.006468,"NaN",0,0.000303,0,0.011773,0.133719,0.451367,0.271656
1996,0.052709,0.008322,"NaN",0,0.000193,0.000002,0.012269,0.157518,0.489847,0.373404
1997,0.054503,0.009757,"NaN",0,0.000192,0.000003,0.019342,0.164588,0.472606,0.277589
1998,0.054149,0.010782,"NaN",0,0.000273,0.000004,0.028199,0.177473,0.457199,0.235914
1999,0.056750,0.013189,"NaN",0,0.000305,0.000009,0.030290,0.186097,0.453753,0.198191
2000,0.059417,0.012996,"NaN",0,0.000302,0.000012,0.042412,0.183670,0.441125,0.166258
2001,0.065531,0.015017,"NaN",0,0.000274,0.000012,0.042781,0.191934,0.423093,0.175737
2002,0.069401,0.018549,"NaN",0,0.000314,0.000013,0.048140,0.193745,0.409441,0.175946
2003,0.080018,0.024454,"NaN",0,0.000208,0.000015,0.054538,0.195873,0.395958,0.240059
2004,0.086753,0.028366,"NaN",0,0.000258,0.000018,0.064154,0.194941,0.388958,0.184010
2005,0.093658,0.030738,"NaN",0,0.000218,0.000021,0.064047,0.187220,0.392655,0.155255
2006,0.096892,0.029541,"NaN",0,0.000225,0.000021,0.058775,0.190738,0.400008,0.235590
2007,0.106091,0.029692,"NaN",0,0.000270,0.000024,0.068575,0.170963,0.402403,0.194790
2008,0.108131,0.029845,"NaN",0,0.000245,0.000025,0.065836,0.171778,0.394509,0.171558
2009,0.111062,0.031358,"NaN",0,0.000178,0.000035,0.063471,0.164981,0.354812,0.168780
2010,0.132085,0.043121,"NaN",0,0.000194,0.000058,0.073303,0.186623,0.358260,0.160465
2011,0.125363,0.040816,"NaN",0,0.000157,0.000141,0.091186,0.156505,0.346762,0.135578
2012,0.126354,0.041227,"NaN",0,0.000162,0.000963,0.095230,0.146170,0.321750,0.103547
2013,0.127765,0.039757,"NaN",0,0.000124,0.004770,0.102522,0.137872,0.320491,0.135485
2014,0.127940,0.039412,"NaN",0,0.000138,0.005456,0.119821,0.118420,0.321996,0.109959
2015,0.138673,0.038256,"NaN",0,0.000164,0.005503,0.128712,0.119133,0.325568,0.072363
2016,0.149179,0.044486,"NaN",0,0.000174,0.006734,0.115716,0.121149,0.319836,0.087676
2017,0.165052,0.057193,"NaN",0,0.000161,0.006763,0.133020,0.115784,0.317036,0.065591
2018,0.164084,0.054047,"NaN",0,0.000133,0.008527,0.124386,0.112355,0.321697,0.066801
2019,0.166023,0.054945,"NaN",0,0.000153,0.008587,0.143966,0.104320,0.316898,0.038076
2020,0.174970,0.046875,"NaN",0,0.000147,0.010492,0.145244,0.083663,0.262242,0.032711
