"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,"NaN",0,"NaN",0,0.017324,0,0,0.001698,0.293018,0.016873
1966,"NaN",0,"NaN",0,0.018252,0,0,0.001940,0.314424,0.011472
1967,"NaN",0,"NaN",0,0.019666,0,0,0.001940,0.256761,0.017668
1968,"NaN",0,"NaN",0,0.030008,0,0,0.001940,0.268559,0.018380
1969,"NaN",0,"NaN",0,0.039907,0,0,0.002460,0.199363,0.019845
1970,"NaN",0,"NaN",0,0.046890,0,0,0.002945,0.257997,0.018296
1971,0.080967,0,"NaN",0,0.050470,0,0,0.002945,0.266680,0.015014
1972,0.082502,0,"NaN",0,0.051619,0,0,0.002460,0.304749,0.013286
1973,0.083459,0,"NaN",0,0.051530,0,0,0.001975,0.286459,0.011573
1974,0.084802,0,"NaN",0,0.061164,0,0,0.002079,0.315937,0.020207
1975,0.084647,0,"NaN",0,0.067926,0,0,0.001733,0.349246,0.024150
1976,0.083372,0,"NaN",0,0.080035,0,0,0.013167,0.413059,0.023622
1977,0.082685,0,"NaN",0,0.090377,0,0,0.015939,0.441490,0.026941
1978,0.083421,0,"NaN",0,0.099304,0,0,0.025641,0.456113,0.025809
1979,0.084241,0,"NaN",0,0.096078,0,0,0.038808,0.500182,0.028628
1980,0.084326,0,"NaN",0,0.098022,0,0,0.075537,0.559053,0.023047
1981,0.086121,0,"NaN",0,0.102132,0,0,0.084546,0.644971,0.029705
1982,0.086299,0,"NaN",0,0.104917,0,0,0.092516,0.733498,0.030696
1983,0.087157,0,"NaN",0,0.098155,0,0,0.108454,0.804867,0.029116
1984,0.088488,0,"NaN",0,0.096299,0,0,0.139293,0.870275,0.029525
1985,0.089806,0,"NaN",0,0.091480,0,0,0.170824,0.884477,0.031175
1986,0.092099,0,"NaN",0,0.089720,0,0,0.196812,0.887074,0.031345
1987,0.094568,0,"NaN",0,0.089695,0,0,0.217602,0.937626,0.033159
1988,0.096559,0,"NaN",0,0.088290,0,0,0.239778,0.932745,0.036247
1989,0.098742,0,"NaN",0,0.094870,0,0,0.268191,0.967005,0.037097
1990,0.100938,0,"NaN",0,0.099530,0,0,0.279625,0.991405,0.031782
1991,0.103280,0,"NaN",0,0.099160,0,0,0.314622,0.974266,0.032712
1992,0.102954,0,"NaN",0,0.098000,0,0,0.340263,0.935359,0.033509
1993,0.106433,0,"NaN",0,0.100925,0,0,0.391198,0.875487,0.040364
1994,0.109995,0,"NaN",0,0.107280,0,0,0.415800,0.914176,0.043442
1995,0.111850,0,"NaN",0,0.111920,0,0,0.436590,0.991356,0.029067
1996,0.114291,0,"NaN",0,0.114840,0,0,0.450450,1.047947,0.039950
1997,0.115489,0,"NaN",0,0.117710,0,0,0.464310,1.106375,0.033813
1998,0.116346,0,"NaN",0,0.121045,0,0,0.474705,1.164282,0.033264
1999,0.118006,0,"NaN",0,0.134405,0,0.000120,0.568260,1.191098,0.030237
2000,0.118560,0,"NaN",0,0.141780,0.000002,0.000805,0.693000,1.165534,0.036400
2001,0.119978,0,"NaN",0,0.143199,0.000009,0.001778,0.848925,1.100644,0.032021
2002,0.121480,0,"NaN",0,0.138139,0.000010,0.002098,0.918225,1.087811,0.034352
2003,0.123005,0,"NaN",0,0.126902,0.000010,0.002805,1.029105,1.125087,0.035619
2004,0.124388,0,"NaN",0,0.125046,0.000010,0.004912,1.098405,1.082368,0.036405
2005,0.125762,0,"NaN",0,0.122439,0.000010,0.004940,1.094940,1.257518,0.035619
2006,0.127439,0,"NaN",0,0.123021,0.000010,0.005822,1.264725,1.196978,0.035638
2007,0.128748,0,"NaN",0,0.135955,0.000011,0.006335,1.329174,1.282699,0.032397
2008,0.129555,0,"NaN",0,0.143459,0.000014,0.008836,1.415106,1.344418,0.029154
2009,0.131164,0,"NaN",0,0.130074,0.000021,0.009796,1.474011,1.446339,0.025912
2010,0.132620,0,"NaN",0,0.121597,0.000237,0.013227,1.563062,1.524582,0.019427
2011,0.134154,0,"NaN",0,0.121187,0.002282,0.013946,1.719333,1.427772,0.018455
2012,0.135001,0,"NaN",0,0.120800,0.004675,0.012390,1.822936,1.492769,0.016351
2013,0.134718,0,"NaN",0,0.121999,0.000234,0.014531,1.782050,1.513269,0.016154
2014,0.135875,0,"NaN",0,0.124480,0.001279,0.009419,1.663875,1.626617,0.016287
2015,0.137187,0,"NaN",0,0.124618,0.000382,0.017254,1.656676,1.684846,0.033549
2016,0.138249,0,"NaN",0,0.119480,0.002115,0.021698,1.776748,1.723592,0.051012
2017,0.140110,0,"NaN",0,0.115092,0.005423,0.018986,2.013629,1.595260,0.050226
2018,0.141057,0,"NaN",0,0.114639,0.004948,0.026729,2.145406,1.471983,0.089883
2019,0.141057,0,"NaN",0,0.117792,0.017087,0.040577,2.122034,1.481990,0.082587
2020,0.142393,0,"NaN",0,0.116696,0.025832,0.060185,2.080948,1.331922,0.031409
