"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,"NaN",0,"NaN",2.790332,0.850282,0,0,0.570427,58.785774,90.617636
1966,"NaN",0,"NaN",3.704860,0.831243,0,0,0.553188,62.601574,85.724916
1967,"NaN",0,"NaN",4.242477,0.890342,0,0,0.925626,66.911512,79.644270
1968,"NaN",0,"NaN",4.750366,0.675100,0,0,2.080012,70.487976,79.319911
1969,"NaN",0,"NaN",5.260264,0.588066,0,0,4.035720,75.444819,76.986439
1970,"NaN",0,"NaN",4.680652,0.816217,0,0,7.661888,79.599590,72.342685
1971,"NaN",0,"NaN",4.941475,0.605038,0,0,12.315149,79.769454,63.911402
1972,"NaN",0,"NaN",5.256169,0.603481,0,0,17.431136,84.364176,55.838065
1973,"NaN",0,"NaN",4.998902,0.685280,0,0,18.821288,86.422482,60.356403
1974,"NaN",0,"NaN",5.993183,0.725771,0,0,22.477563,80.152488,53.055230
1975,"NaN",0,"NaN",5.402803,0.683498,0,0,23.527123,70.024917,53.315173
1976,"NaN",0,"NaN",6.434608,0.807285,0,0,24.938980,69.570148,54.220617
1977,"NaN",0,"NaN",7.120719,0.703514,0,0,26.499557,70.133656,54.383947
1978,"NaN",0,"NaN",6.622791,0.724301,0,0,27.486207,71.944945,52.978305
1979,"NaN",0,"NaN",6.815754,0.765589,0,0,30.114672,72.591463,56.948739
1980,"NaN",0,"NaN",6.586648,0.703444,0,0,30.023098,62.068986,52.933523
1981,"NaN",0,"NaN",6.753558,0.786009,0,0,30.423533,57.455177,52.635178
1982,"NaN",0,"NaN",7.818438,0.806523,0,0,30.260484,58.095215,49.072322
1983,"NaN",0,"NaN",8.871862,0.806016,0,0,31.523309,55.830755,49.497517
1984,"NaN",0,"NaN",9.582145,0.805213,0.000179,0,32.219531,68.560859,35.136688
1985,"NaN",0,"NaN",10.829844,0.700931,0.000179,0,34.601823,59.485582,46.666410
1986,"NaN",0,"NaN",10.452297,0.843611,0.000179,0,35.109934,59.506590,50.301597
1987,"NaN",0,"NaN",9.749327,0.738957,0,0,35.973144,57.729435,51.408469
1988,"NaN",0,"NaN",11.169322,0.859772,0.000178,0,34.172240,61.243477,49.767516
1989,0.465052,0,"NaN",12.590590,0.836921,0,0.001580,33.300811,62.428031,47.768689
1990,0.417262,0.104280,0,11.507780,0.895643,0,0.001575,34.575635,63.054773,47.591603
1991,0.442689,0.120072,0,12.313149,0.791698,0,0.001571,37.248051,62.589519,47.542074
1992,0.641454,0.162622,0,13.370287,0.931274,0,0.005745,36.968824,63.117677,44.580653
1993,0.689434,0.207978,0,15.512059,0.747036,0,0.037672,42.015343,63.262410,38.716189
1994,0.933758,0.262883,0,15.283386,0.885890,0,0.059553,43.143408,62.427088,36.048153
1995,0.993864,0.283364,0,15.356505,0.803004,0,0.067665,45.865670,61.517040,34.296628
1996,1.031962,0.310530,0,16.290691,0.584366,0,0.083974,53.265142,62.852215,31.963552
1997,1.089726,0.361841,0,16.832537,0.753960,0,0.114394,54.591035,60.843066,28.412097
1998,1.112904,0.453632,0,17.003246,0.874657,0,0.149889,56.569118,60.394194,27.607060
1999,1.134072,0.584016,0,16.202258,0.908715,0.000170,0.144765,60.017127,59.342152,24.458500
2000,1.231346,0.658789,0,14.436183,0.863113,0.000170,0.160548,61.916101,58.333089,26.097178
2001,1.295068,0.760535,0,15.138899,0.681331,0.000336,0.162156,61.408179,57.996139,27.554893
2002,1.400795,0.845249,0.001098,14.616597,0.796563,0.000499,0.209478,60.398672,57.409873,25.201481
2003,1.603638,1.016593,0.011480,14.603538,0.531490,0.000494,0.212089,60.326463,57.614889,26.784683
2004,1.830298,1.198589,0.010332,13.021100,0.788511,0.000651,0.315602,61.322797,58.851802,25.607799
2005,2.175343,1.462025,0.048375,13.109626,0.790724,0.001285,0.467730,59.347122,60.478203,25.993401
2006,2.220733,1.467713,0.122121,11.937166,0.726730,0.001740,0.670184,55.792386,59.421537,28.176852
2007,2.210278,1.450904,0.235837,9.807289,0.790035,0.002178,0.820613,55.826368,56.916017,26.152560
2008,2.673003,1.475548,0.535251,8.026026,0.786180,0.002600,1.085297,56.673352,54.982949,23.994382
2009,2.862040,1.610679,0.656241,10.386817,0.785861,0.003006,1.395123,52.270024,51.688858,19.853312
2010,3.272969,1.813847,0.755401,9.191239,0.531210,0.005957,1.521376,55.873827,50.385847,20.404810
2011,3.352071,1.940085,0.693179,10.051825,0.829401,0.035507,2.326122,46.063384,49.105152,20.566486
2012,3.611466,2.117951,0.578293,10.117688,0.762949,0.194545,2.852166,42.903390,47.316202,25.278381
2013,4.223977,2.567868,0.656344,10.014374,0.666828,0.285121,4.027649,42.283122,46.200623,23.821090
2014,4.817645,3.167822,0.744797,8.927101,0.824519,0.567721,4.475491,38.549080,45.840530,19.041488
2015,5.717008,4.045932,0.591361,9.727295,0.870786,1.041645,5.569189,39.380971,46.808991,14.668503
2016,6.222289,4.105571,0.595278,9.794489,0.733375,1.421245,5.074271,43.806050,48.015168,6.998955
2017,6.464100,4.302357,0.584102,9.486766,0.793329,1.547775,6.695446,42.377877,47.781406,5.683447
2018,7.088503,4.659241,0.799815,8.670474,0.725453,1.697147,7.583398,42.647726,46.849763,4.727779
2019,7.445368,4.927479,1.016659,7.416609,0.783428,1.705261,8.492577,41.210015,45.650095,3.221447
2020,7.433431,5.155832,0.969763,6.577988,0.847632,1.674770,9.892151,38.444399,35.146479,2.851381
