"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,"NaN",0,"NaN",0,0.088630,0,0,0.290329,0.642414,0.028880
1966,"NaN",0,"NaN",0,0.101180,0,0,0.306408,0.673178,0.030805
1967,"NaN",0,"NaN",0,0.110170,0,0,0.263507,0.720995,0.037798
1968,"NaN",0,"NaN",0,0.126420,0,0,0.282932,0.784022,0.039623
1969,"NaN",0,"NaN",0,0.134060,0,0,0.350894,0.828570,0.040165
1970,"NaN",0,"NaN",0,0.150050,0,0,0.358830,0.890909,0.045045
1971,0.250053,0,"NaN",0,0.145720,0,0,0.372940,0.944772,0.056551
1972,0.251385,0,"NaN",0,0.155310,0,0,0.398807,1.063847,0.062502
1973,0.259963,0.001610,"NaN",0,0.163710,0,0,0.441885,1.138484,0.067005
1974,0.264630,0.004630,"NaN",0,0.167080,0,0,0.464929,1.286108,0.074025
1975,0.263941,0.005180,"NaN",0,0.151820,0,0,0.473005,1.419160,0.085026
1976,0.264563,0.005790,"NaN",0,0.172550,0,0,0.463878,1.563251,0.065250
1977,0.268575,0.005920,"NaN",0,0.191930,0,0,0.489595,1.613531,0.093852
1978,0.281309,0.005980,"NaN",0,0.162170,0,0,0.615811,1.816630,0.097853
1979,0.288542,0.010190,"NaN",0,0.180080,0,0,0.747557,1.949552,0.096131
1980,0.287967,0.009150,"NaN",0,0.169100,0,0,0.802862,2.173210,0.097337
1981,0.283763,0.009640,"NaN",0,0.246180,0,0,0.870450,2.379098,0.086036
1982,0.288713,0.012960,"NaN",0,0.229240,0,0,0.935843,2.463384,0.103036
1983,0.292301,0.013530,"NaN",0,0.207330,0,0,0.965513,2.400184,0.117303
1984,0.300354,0.014240,"NaN",0,0.236030,0,0,0.966902,2.540631,0.117637
1985,0.300851,0.016410,"NaN",0,0.284273,0,0,0.991003,2.645929,0.127518
1986,0.308561,0.033940,"NaN",0,0.212975,0,0,0.881718,2.678718,0.140607
1987,0.319654,0.044180,"NaN",0,0.192852,0,0,0.897276,2.809156,0.135982
1988,0.310523,0.046330,"NaN",0,0.218361,0,0,0.912946,2.802250,0.128702
1989,0.309362,0.046750,"NaN",0.003720,0.253542,0,0,0.892671,2.998796,0.142464
1990,0.358132,0.051240,0,0.029370,0.244809,0.000010,0.000010,0.965431,3.132003,0.141268
1991,0.368450,0.058325,0,0.042420,0.226253,0.000020,0.000010,1.016500,3.261254,0.136638
1992,0.372486,0.063655,0,0.039190,0.268137,0.000030,0.000010,1.016621,3.297676,0.138177
1993,0.369487,0.064998,0,0.049310,0.266549,0.000040,0.000010,1.019754,3.291540,0.155853
1994,0.354674,0.062185,0,0.042390,0.202713,0.000050,0.000050,1.083708,3.547729,0.188346
1995,0.368640,0.064144,0,0.084430,0.275987,0.000050,0.000070,1.104848,3.306928,0.209731
1996,0.368841,0.061846,0,0.078780,0.313363,0.000060,0.000060,1.126019,3.384527,0.240479
1997,0.379123,0.058832,0,0.104560,0.263621,0.000060,0.000120,1.131746,3.494864,0.240711
1998,0.383090,0.061386,0,0.092650,0.245929,0.000070,0.000150,1.205244,3.678867,0.246052
1999,0.376811,0.060600,0,0.100020,0.327123,0.000070,0.000170,1.216471,3.645155,0.250371
2000,0.374343,0.063586,0.003270,0.082210,0.330749,0.000070,0.000190,1.292879,3.817485,0.274273
2001,0.361469,0.062069,0.003331,0.086693,0.282507,0.000079,0.000179,1.302859,3.754114,0.301225
2002,0.356256,0.059927,0.003122,0.096209,0.245408,0.000079,0.000207,1.478478,3.590014,0.504381
2003,0.357853,0.068161,0.003082,0.102996,0.194704,0.000078,0.000186,1.602339,3.684249,0.371946
2004,0.360174,0.070768,0.003144,0.089597,0.245350,0.000088,0.000195,1.728789,3.833958,0.380591
2005,0.371988,0.078800,0.003491,0.104630,0.268326,0.000087,0.000184,1.897644,3.926825,0.480346
2006,0.363267,0.072048,0.003562,0.104562,0.292976,0.000096,0.000433,2.098378,3.886714,0.515514
2007,0.363847,0.078890,0.003419,0.099648,0.261436,0.000086,0.002371,2.053490,4.037532,0.473702
2008,0.357440,0.075038,0.003538,0.093168,0.372749,0.000181,0.002423,2.159877,4.027655,0.423163
2009,0.333638,0.071278,0.003820,0.099177,0.252374,0.000255,0.005632,2.346077,3.891221,0.431087
2010,0.339338,0.069892,0.003999,0.055186,0.348784,0.000291,0.011631,2.377603,3.908112,0.533228
2011,0.333099,0.068728,0.003695,0.094125,0.338376,0.000382,0.015378,2.549106,3.973258,0.616777
2012,0.341243,0.062692,0.004284,0.081318,0.295899,0.000640,0.034201,2.651536,4.037398,0.537358
2013,0.373240,0.067488,0.004278,0.108758,0.258269,0.000977,0.038568,2.800622,3.925493,0.533616
2014,0.365046,0.065384,0.006614,0.088659,0.356323,0.002025,0.058875,2.838544,3.747803,0.532580
2015,0.360692,0.069507,0.007033,0.105435,0.281334,0.001841,0.079643,2.908185,3.704738,0.531542
2016,0.362342,0.068889,0.007453,0.095667,0.277911,0.001302,0.093956,2.989081,3.731628,0.520680
2017,0.404081,0.073114,0.007873,0.097946,0.286629,0.010668,0.095578,3.097207,3.593102,0.636310
2018,0.359074,0.086199,0.007825,0.086466,0.290660,0.028453,0.117109,3.153089,3.505452,0.567164
2019,0.363967,0.073329,0.007879,0.101962,0.210451,0.065667,0.149108,3.167039,3.236313,0.541493
2020,0.363967,0.067466,0.007931,0.101422,0.238355,0.105456,0.175029,3.106563,2.464799,0.208847
