"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,"NaN",0,"NaN",0,2.008664,0,0,6.579860,14.559334,0.654521
1966,"NaN",0,"NaN",0,2.222772,0,0,6.731329,14.788712,0.676739
1967,"NaN",0,"NaN",0,2.346229,0,0,5.611770,15.354622,0.804963
1968,"NaN",0,"NaN",0,2.610259,0,0,5.841833,16.188109,0.818117
1969,"NaN",0,"NaN",0,2.684138,0,0,7.025567,16.589564,0.804180
1970,"NaN",0,"NaN",0,2.913956,0,0,6.968445,17.301366,0.874769
1971,4.711192,0,"NaN",0,2.745478,0,0,7.026483,17.800244,1.065465
1972,4.596549,0,"NaN",0,2.839827,0,0,7.292142,19.452336,1.142843
1973,4.615468,0.028584,"NaN",0,2.906561,0,0,7.845377,20.213018,1.189629
1974,4.565199,0.079873,"NaN",0,2.882339,0,0,8.020613,22.186973,1.277024
1975,4.427949,0.086901,"NaN",0,2.546976,0,0,7.935270,23.808231,1.426420
1976,4.319947,0.094543,"NaN",0,2.817502,0,0,7.574480,25.525717,1.065442
1977,4.271917,0.094163,"NaN",0,3.052812,0,0,7.787430,25.664606,1.492797
1978,4.361727,0.092721,"NaN",0,2.514464,0,0,9.548219,28.167047,1.517221
1979,4.363657,0.154105,"NaN",0,2.723372,0,0,11.305395,29.483325,1.453801
1980,4.249722,0.135033,"NaN",0,2.495522,0,0,11.848368,32.071514,1.436467
1981,4.088355,0.138890,"NaN",0,3.546873,0,0,12.541125,34.277185,1.239576
1982,4.063024,0.182385,"NaN",0,3.226067,0,0,13.170010,34.666910,1.450013
1983,4.020132,0.186083,"NaN",0,2.851492,0,0,13.279085,33.010686,1.613315
1984,4.039588,0.191520,"NaN",0,3.174467,0,0,13.004274,34.170027,1.582150
1985,3.959426,0.215968,"NaN",0,3.741246,0,0,13.042342,34.822427,1.678233
1986,3.976348,0.437376,"NaN",0,2.744555,0,0,11.362477,34.519958,1.811967
1987,4.036031,0.557828,"NaN",0,2.434997,0,0,11.329226,35.469102,1.716943
1988,3.843643,0.573471,"NaN",0,2.702866,0,0,11.300417,34.686151,1.593069
1989,3.755809,0.567568,"NaN",0.045163,3.078126,0,0,10.837475,36.406881,1.729584
1990,4.266365,0.610413,0,0.349880,2.916373,0.000119,0.000119,11.501008,37.311015,1.682901
1991,4.308721,0.682065,0,0.496067,2.645839,0.000234,0.000117,11.887136,38.137686,1.597869
1992,4.277754,0.731038,0,0.450071,3.079374,0.000345,0.000115,11.675221,37.871618,1.586871
1993,4.169085,0.733397,0,0.556387,3.007594,0.000451,0.000113,11.506338,37.139903,1.758558
1994,3.933986,0.689749,0,0.470183,2.248462,0.000555,0.000555,12.020312,39.350832,2.089103
1995,4.021676,0.699783,0,0.921089,3.010875,0.000545,0.000764,12.053337,36.076904,2.288059
1996,3.959771,0.663956,0,0.845760,3.364173,0.000644,0.000644,12.088613,36.335312,2.581714
1997,4.007177,0.621835,0,1.105157,2.786367,0.000634,0.001268,11.962100,36.939298,2.544218
1998,3.988181,0.639061,0,0.964538,2.560263,0.000729,0.001562,12.547265,38.299062,2.561539
1999,3.865330,0.621635,0,1.026006,3.355632,0.000718,0.001744,12.478572,37.392018,2.568307
2000,3.785072,0.642938,0.033065,0.831245,3.344280,0.000708,0.001921,13.072608,38.599500,2.773240
2001,3.603945,0.618848,0.033207,0.864357,2.816671,0.000792,0.001783,12.989859,37.429546,3.003295
2002,3.503534,0.589343,0.030705,0.946146,2.413419,0.000777,0.002039,14.539816,35.305333,4.960241
2003,3.471570,0.661234,0.029896,0.999171,1.888847,0.000761,0.001808,15.544458,35.741297,3.608289
2004,3.446149,0.677111,0.030082,0.857265,2.347507,0.000839,0.001865,16.541073,36.683350,3.641498
2005,3.509149,0.743360,0.032931,0.987025,2.531250,0.000822,0.001736,17.901424,37.043703,4.531346
2006,3.377338,0.669843,0.033119,0.972125,2.723829,0.000895,0.004026,19.508881,36.135258,4.792796
2007,3.332833,0.722629,0.031315,0.912776,2.394746,0.000788,0.021723,18.809932,36.983728,4.339098
2008,3.225548,0.677145,0.031925,0.840753,3.363697,0.001629,0.021868,19.490787,36.345671,3.818635
2009,2.966623,0.633785,0.033971,0.881855,2.244049,0.002267,0.050080,20.860713,34.599738,3.833117
2010,2.974224,0.612591,0.035048,0.483689,3.057012,0.002550,0.101942,20.839177,34.253748,4.673623
2011,2.879101,0.594042,0.031939,0.813557,2.924717,0.003306,0.132915,22.032890,34.342379,5.331041
2012,2.909789,0.534579,0.036533,0.693402,2.523140,0.005456,0.291630,22.609719,34.427002,4.582064
2013,3.141033,0.567954,0.036005,0.915261,2.173483,0.008222,0.324576,23.568874,33.035315,4.490689
2014,3.033074,0.543255,0.054951,0.736649,2.960597,0.016823,0.489175,23.584738,31.139538,4.425070
2015,2.959931,0.570393,0.057718,0.865224,2.308696,0.015111,0.653569,23.865309,30.402030,4.361966
2016,2.937907,0.558558,0.060430,0.775681,2.253331,0.010555,0.761801,24.235786,30.256432,4.221728
2017,3.238417,0.585959,0.063095,0.784964,2.297123,0.085500,0.765989,24.821875,28.796115,5.099565
2018,2.845485,0.683087,0.062011,0.685201,2.303340,0.225473,0.928028,24.986684,27.778986,4.494493
2019,2.852953,0.574790,0.061760,0.799228,1.649620,0.514729,1.168781,24.824813,25.367820,4.244493
2020,2.822921,0.523263,0.061510,0.786623,1.848679,0.817917,1.357519,24.094443,19.116935,1.619811
