"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,1.369667,0.133322,"NaN",0.038492,1.989741,0,0,14.973142,23.092117,11.607279
1966,1.404523,0.140620,"NaN",0.058104,1.999369,0,0,16.137922,24.232483,12.171046
1967,1.374734,0.140736,"NaN",0.080581,2.272208,0,0,17.039478,25.159659,11.941188
1968,1.455796,0.155460,"NaN",0.131878,2.281547,0,0,18.240534,26.848660,12.359075
1969,1.477708,0.162271,"NaN",0.146609,2.560285,0,0,19.634785,28.194616,12.410055
1970,1.468657,0.162359,"NaN",0.229521,2.534924,0,0,20.695170,29.434289,12.292774
1971,1.470574,0.165844,"NaN",0.401100,2.722540,0,0,21.335494,30.462062,11.625123
1972,1.543315,0.186730,"NaN",0.569380,2.787160,0,0,21.553072,32.831686,12.104731
1973,1.570193,0.199897,"NaN",0.878731,2.782127,0,0,21.376654,34.758920,13.001364
1974,1.581554,0.204043,"NaN",1.199745,3.072847,0,0,20.636090,33.377425,12.692041
1975,1.539536,0.197543,"NaN",1.815843,3.062148,0,0,18.941518,32.579419,12.691949
1976,1.760029,0.225648,"NaN",2.011616,2.898225,0,0,19.319005,35.026543,13.615352
1977,1.888320,0.235361,"NaN",2.640877,2.258573,0,0,18.925024,36.977521,13.954166
1978,2.093074,0.246788,"NaN",2.909506,2.863285,0,0,18.991385,37.805090,13.797278
1979,2.210475,0.257560,"NaN",2.685838,2.859353,0,0,19.623232,36.928201,15.074223
1980,2.281777,0.266561,"NaN",2.643322,2.820021,0,0,19.214586,34.032498,15.458329
1981,2.299666,0.273776,"NaN",2.870247,2.665098,0,0,18.751063,31.725918,15.944162
1982,2.332777,0.264050,"NaN",2.976561,3.155293,0,0,17.430156,30.061913,15.356868
1983,2.478581,0.298046,"NaN",3.091338,3.386776,0.000030,0.000027,16.352049,29.921312,15.931048
1984,2.775017,0.355953,"NaN",3.448774,3.275872,0.000053,0.000066,17.465660,30.863943,17.109937
1985,2.726112,0.363929,"NaN",4.038850,2.871824,0.000107,0.000058,16.810346,30.745577,17.518682
1986,2.785266,0.387017,"NaN",4.358295,2.969750,0.000142,0.000042,15.754334,32.240120,17.300157
1987,3.063792,0.426654,"NaN",4.792320,2.554102,0.000106,0.000036,16.749878,32.911751,18.049926
1988,3.032086,0.423941,"NaN",5.547085,2.283846,0.000092,0.000009,17.517677,34.275182,18.889716
1989,2.888219,0.488543,"NaN",5.572155,2.747242,0.002531,0.021334,18.612793,34.263113,19.113681
1990,2.439361,0.574593,0.060238,6.072228,2.922809,0.003708,0.028168,18.614192,33.504886,19.216791
1991,2.500370,0.605518,0.069799,6.448054,2.873260,0.004783,0.029808,19.022301,32.790636,19.035409
1992,2.789175,0.648154,0.079361,6.513434,2.514257,0.004088,0.029167,19.668635,33.470594,19.166511
1993,2.439779,0.669247,0.092734,6.424118,2.792509,0.004752,0.030362,20.157910,33.753762,19.880830
1994,2.479628,0.663549,0.103847,6.741472,2.593413,0.005019,0.034819,20.631892,34.631089,19.955316
1995,2.579149,0.632651,0.111393,7.088443,3.112198,0.005145,0.031962,21.527386,34.551098,20.134993
1996,2.671019,0.648260,0.079899,7.102406,3.475495,0.005413,0.032667,21.920033,35.809701,21.050283
1997,2.572300,0.658201,0.101173,6.617307,3.559731,0.005327,0.033212,22.051136,36.287166,21.494801
1998,2.635326,0.656171,0.111795,7.091601,3.220893,0.005247,0.030563,21.678447,36.904004,21.705618
1999,2.548174,0.664777,0.116235,7.665833,3.166052,0.005183,0.045333,21.753463,37.933534,21.672342
2000,2.599265,0.665828,0.133212,7.935715,2.727614,0.005185,0.056498,22.622064,38.354881,22.631530
2001,2.304117,0.663965,0.141523,8.040357,2.088748,0.005706,0.067612,21.623689,38.292654,21.964738
2002,2.252122,0.708630,0.169065,8.105250,2.548364,0.005938,0.103239,22.324004,38.312687,21.954435
2003,2.381362,0.699604,0.229368,7.884690,2.647792,0.005989,0.110832,21.678842,38.893257,22.372334
2004,2.497613,0.701124,0.289536,8.088826,2.558654,0.006803,0.139226,21.766599,40.312321,22.517936
2005,2.588437,0.703007,0.338311,7.970947,2.579965,0.007252,0.174211,21.426947,40.370682,22.849045
2006,2.536820,0.703244,0.474120,7.973813,2.747688,0.007933,0.258442,21.116800,39.855273,22.498857
