"Year","Emissions","Plus1SD","Minus1SD"
1959,8.856189,9.298998,8.413379
1960,9.386934,9.856280,8.917587
1961,9.417463,9.888336,8.946590
1962,9.750057,10.237559,9.262554
1963,10.271524,10.785101,9.757948
1964,10.828858,11.370300,10.287415
1965,11.317233,11.883095,10.751371
1966,11.865861,12.459154,11.272568
1967,12.243046,12.855198,11.630893
1968,12.909913,13.555408,12.264417
1969,13.766571,14.454899,13.078242
1970,14.897567,15.642445,14.152689
1971,15.498267,16.273180,14.723353
1972,16.221152,17.032210,15.410095
1973,17.078792,17.932732,16.224852
1974,17.009594,17.860074,16.159115
1975,17.046497,17.898822,16.194172
1976,17.983973,18.883171,17.084774
1977,18.494531,19.419257,17.569804
1978,19.067767,20.021156,18.114379
1979,19.610018,20.590519,18.629517
1980,19.492614,20.467244,18.517983
1981,19.026910,19.978256,18.075565
1982,18.875760,19.819548,17.931972
1983,18.998032,19.947933,18.048130
1984,19.656717,20.639553,18.673881
1985,20.317484,21.333358,19.301609
1986,20.619624,21.650605,19.588642
1987,21.266195,22.329504,20.202885
1988,22.101399,23.206469,20.996330
1989,22.406833,23.527174,21.286491
1990,22.749574,23.887053,21.612096
1991,23.238102,24.400007,22.076197
1992,22.569624,23.698105,21.441143
1993,22.803495,23.943670,21.663321
1994,22.964583,24.112813,21.816354
1995,23.453944,24.626642,22.281247
1996,24.154961,25.362709,22.947213
1997,24.300550,25.515578,23.085523
1998,24.206271,25.416585,22.995958
1999,24.518962,25.744910,23.293014
2000,25.234207,26.495918,23.972497
2001,25.451054,26.723607,24.178502
2002,26.039191,27.341151,24.737232
2003,27.366723,28.735059,25.998387
2004,28.627533,30.058910,27.196156
2005,29.602777,31.082916,28.122638
2006,30.583530,32.112707,29.054354
2007,31.493742,33.068429,29.919055
2008,32.069444,33.672916,30.465972
2009,31.607042,33.187395,30.026690
2010,33.343300,35.010465,31.676135
2011,34.468451,36.191874,32.745028
2012,34.974075,36.722779,33.225371
2013,35.283025,37.047177,33.518874
2014,35.534443,37.311165,33.757721
2015,35.496406,37.271227,33.721586
2016,35.452459,37.225082,33.679836
2017,35.925738,37.722025,34.129451
2018,36.646140,38.478447,34.813833
2019,36.702503,38.537628,34.867378
2020,34.807259,36.547622,33.066896
2021,36.422640,38.522614,34.309871
