"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,0.909210,10.061689,409356,848759710
1972,0.968646,10.846553,424952,869485964
1973,1.008293,11.449056,457928,889485372
1974,1.028100,11.805455,468506,908464198
1975,1.183215,13.221454,509360,926240885
1976,1.226421,13.920863,501363,942685411
1977,1.340831,15.180784,539316,957891272
1978,1.492778,16.647430,602237,972205442
1979,1.525661,17.147246,648007,986132202
1980,1.494496,17.482638,698594,1000089235
1981,1.476488,17.247545,734729,1014022212
1982,1.606585,18.009721,800372,1027948987
1983,1.694217,19.166484,887095,1042431412
1984,1.844828,20.564973,1021393,1058171976
1985,1.998083,22.242503,1158703,1075589361
1986,2.104213,23.311136,1262288,1095014109
1987,2.257739,25.139287,1409836,1116095476
1988,2.425894,27.002853,1568224,1137724227
1989,2.463654,28.334377,1633868,1158357397
1990,2.484855,28.701087,1697705,1176883674
1991,2.606096,30.152811,1855491,1192897284
1992,2.730788,31.752807,2119271,1206711244
1993,2.921651,34.189815,2413162,1218817055
1994,3.100002,36.292269,2728132,1230020031
1995,3.357909,37.407439,3026841,1240920535
1996,3.503234,39.355676,3327357,1251636186
1997,3.510169,39.584712,3634498,1261996012
1998,3.360455,39.638913,3919356,1271982350
1999,3.350340,41.028396,4219872,1281514832
2000,3.439152,42.453161,4578203,1290550765
2001,3.514934,44.841786,4960021,1299129752
2002,3.872595,48.849127,5412903,1307352257
2003,4.545014,56.886289,5956120,1315303521
2004,5.223755,66.547016,6558357,1323084641
2005,5.876555,75.601599,7305732,1330776380
2006,6.488804,82.885971,8234983,1338408647
2007,6.978612,90.085614,9406936,1345993888
2008,7.496832,93.445826,10315108,1353569484
2009,7.886533,97.530160,11284709,1361169419
2010,8.616653,104.290174,12484967,1368810615
2011,9.528556,112.542994,13675589,1376497639
2012,9.775622,117.048986,14749979,1384206401
2013,9.952744,121.384579,15894228,1391883330
2014,9.985583,124.823664,17054136,1399453965
2015,9.848420,126.533906,18230906,1406847870
2016,9.720444,128.631528,19452377,1414049351
2017,9.920459,132.804467,20794591,1421021791
2018,10.289990,137.576579,22198433.838410,1427647786
2019,10.489989,142.028730,23519462.636134,1433783686
2020,10.667887,145.455995,24070288.451072,1439323776
