"Year","LUC","LUC_upper","LUC_lower"
1959,6.761981,9.326781,4.197181
1960,6.791999,9.356799,4.227199
1961,6.822809,9.387609,4.258009
1962,6.560754,9.125554,3.995954
1963,6.052422,8.617222,3.487622
1964,5.730903,8.295703,3.166103
1965,5.192520,7.757320,2.627720
1966,4.942244,7.507044,2.377444
1967,5.027824,7.592624,2.463024
1968,5.054606,7.619406,2.489806
1969,4.735443,7.300243,2.170643
1970,4.713789,7.278589,2.148989
1971,4.664764,7.229564,2.099964
1972,4.676369,7.241169,2.111569
1973,4.538366,7.103166,1.973566
1974,4.368462,6.933262,1.803662
1975,5.191953,7.756753,2.627153
1976,4.770264,7.335064,2.205464
1977,4.643330,7.208130,2.078530
1978,4.228091,6.792891,1.663291
1979,4.252958,6.817758,1.688158
1980,4.143886,6.708686,1.579086
1981,4.314896,6.879696,1.750096
1982,4.233685,6.798485,1.668885
1983,4.661190,7.225990,2.096390
1984,5.172877,7.737677,2.608077
1985,4.901381,7.466181,2.336581
1986,4.828224,7.393024,2.263424
1987,4.630071,7.194871,2.065271
1988,4.503999,7.068799,1.939199
1989,4.353715,6.918515,1.788915
1990,4.299178,6.863978,1.734378
1991,4.212086,6.776886,1.647286
1992,4.391597,6.956397,1.826797
1993,4.293192,6.857992,1.728392
1994,4.814919,7.379719,2.250119
1995,4.766209,7.331009,2.201409
1996,4.841018,7.405818,2.276218
1997,6.670643,9.235443,4.105843
1998,5.134418,7.699218,2.569618
1999,5.073022,7.637822,2.508222
2000,4.537287,7.102087,1.972487
2001,4.164914,6.729714,1.600114
2002,4.718125,7.282925,2.153325
2003,5.093357,7.658157,2.528557
2004,4.576294,7.141094,2.011494
2005,4.099913,6.664713,1.535113
2006,4.639984,7.204784,2.075184
2007,4.046596,6.611396,1.481796
2008,4.138871,6.703671,1.574071
2009,4.529241,7.094041,1.964441
2010,4.278861,6.843661,1.714061
2011,4.831138,7.395938,2.266338
2012,4.676440,7.241240,2.111640
2013,4.316789,6.881589,1.751989
2014,4.563695,7.128495,1.998895
2015,4.766906,7.331706,2.202106
2016,3.703575,6.268375,1.138775
2017,3.662879,6.227679,1.098079
2018,3.857539,6.422339,1.292739
2019,3.825411,6.390211,1.260611
2020,3.209993,5.774793,0.645193
