"Year","IND_prod","IND_cons","EU27_prod","EU27_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,0.578518,0.577962,3.863410,4.374738,5.113455,5.031786,2.484855,2.320440
1991,0.615925,0.599255,3.799887,4.264847,5.057931,4.949136,2.606096,2.400207
1992,0.656033,0.648605,3.672347,4.564998,5.167481,5.134515,2.730788,2.577037
1993,0.677916,0.653986,3.603904,4.268749,5.267343,5.194300,2.921651,2.757562
1994,0.716918,0.687337,3.585958,4.157437,5.358824,5.295360,3.100002,2.747143
1995,0.762121,0.722209,3.635345,4.218746,5.421502,5.356474,3.357909,2.990767
1996,0.825919,0.770262,3.720561,4.173700,5.610582,5.526463,3.503234,3.120878
1997,0.859686,0.805435,3.654818,4.087352,5.686465,5.632188,3.510169,3.053715
1998,0.877698,0.822335,3.645888,4.143131,5.731050,5.795627,3.360455,2.955870
1999,0.951749,0.905933,3.589873,4.121612,5.804669,5.961355,3.350340,2.992905
2000,0.978919,0.897026,3.601249,4.187636,6.010508,6.255891,3.439152,3.041417
2001,0.992560,0.920994,3.658646,4.175422,5.904882,6.163755,3.514934,3.186140
2002,1.023027,0.940248,3.659456,4.229172,5.946771,6.285678,3.872595,3.424304
2003,1.059616,0.990400,3.743619,4.297639,6.011837,6.380355,4.545014,3.831083
2004,1.125471,1.054051,3.754793,4.414591,6.114007,6.560312,5.223755,4.324427
2005,1.185953,1.095810,3.735105,4.423056,6.134521,6.596274,5.876555,4.754123
2006,1.259744,1.179948,3.744767,4.598930,6.051668,6.595172,6.488804,5.052366
2007,1.358152,1.277397,3.702618,4.515555,6.131004,6.618792,6.978612,5.481465
2008,1.462815,1.363872,3.616942,4.450553,5.914078,6.313033,7.496832,5.978994
2009,1.612817,1.539689,3.324520,4.023488,5.478210,5.795485,7.886533,6.729098
2010,1.677888,1.588695,3.425813,4.155950,5.675786,5.998163,8.616653,7.297770
2011,1.780130,1.664061,3.326279,4.149293,5.540173,5.942503,9.528556,8.063335
2012,1.963586,1.822407,3.252490,3.870669,5.338698,5.714303,9.775622,8.367184
2013,2.036937,1.828507,3.171554,3.727061,5.474257,5.797617,9.952744,8.599146
2014,2.185856,1.981264,3.035948,3.602586,5.522807,5.823158,9.985583,8.697497
2015,2.268567,2.078202,3.088882,3.575251,5.371771,5.699688,9.848420,8.680580
2016,2.382223,2.178527,3.095704,3.537199,5.248024,5.576720,9.720444,8.700417
2017,2.433856,2.243221,3.120029,3.584566,5.207751,5.550772,9.920459,8.888677
2018,2.599806,2.363275,3.046089,3.591650,5.375491,5.726611,10.289990,9.285067
2019,2.625968,2.410473,2.909711,3.444756,5.255816,5.625784,10.489989,9.442835
