"Year","Coal","Oil","Gas","Cement","Flaring"
2000,0,46.617072,60.331424,2.358029,2.480528
2001,0.069616,34.954560,61.928928,2.311487,1.326368
2002,0.359056,10.310047,69.525034,2.599116,0.904969
2003,0.421345,28.904297,72.211281,2.909378,1.172439
2004,0.476304,29.278069,77.073389,3.204380,1.769654
2005,0.549600,30.429520,78.226400,3.484123,1.788032
2006,1.066224,31.693600,82.560912,4.588403,1.828336
2007,0.512960,33.796736,91.295888,5.793455,1.864976
2008,1.377697,35.068976,107.804765,7.834927,1.883341
2009,1.040553,42.299945,113.467908,6.829999,1.861271
2010,2.476864,52.955792,116.866944,6.453416,1.868640
2011,1.674416,53.595976,130.168459,5.661906,1.890588
2012,5.246848,56.517200,132.607488,5.216293,1.784609
2013,6.719776,54.828096,136.410720,5.467905,2.331482
2014,7.481888,51.984832,133.343952,7.159856,1.742854
2015,6.503490,66.756952,134.155094,7.159856,1.801698
2016,6.979920,63.083088,134.912144,5.902516,1.466644
2017,8.073695,62.469945,135.901258,6.077146,1.633964
2018,7.281986,62.043578,133.565894,5.692959,1.633964
2019,7.498098,60.495002,133.140760,5.727885,1.633964
2020,7.168701,53.970787,130.583105,5.727885,1.633964
2021,6.695359,59.842791,130.186569,5.727885,1.633964
