"Year","Coal","Oil","Gas","Cement"
1959,4.107344,32.474032,0.091600,1.897096
1960,4.964720,39.017936,0.113584,2.209645
1961,4.679277,41.472243,0.113592,2.308675
1962,5.667821,44.825979,0.109912,2.462119
1963,5.419056,46.910192,0.164880,2.492637
1964,6.169777,46.998754,0.161206,2.679453
1965,6.943731,45.766336,0.194205,2.651179
1966,8.364912,51.856592,0.245488,2.825237
1967,8.123088,53.725232,0.256480,2.965016
1968,8.533052,63.977738,0.230821,3.337405
1969,9.416480,69.421808,0.234496,3.552057
1970,8.903868,78.255109,0.153894,4.047266
1971,8.984128,87.052976,0.249152,4.407019
1972,9.372512,97.726208,0.274800,5.116804
1973,9.009776,115.364704,0.377392,6.023212
1974,9.541056,124.836144,0.692496,6.707495
1975,11.061616,129.705600,0.780432,7.524738
1976,11.519616,132.208112,0.916000,8.607915
1977,15.055376,135.293200,1.132176,9.496334
1978,17.707745,145.468777,1.483889,10.795310
1979,18.462536,154.526191,1.630448,11.338602
1980,19.986728,150.210064,1.883259,12.083044
1981,19.723312,135.527696,1.685440,11.929799
1982,21.551648,133.193728,2.381600,11.555760
1983,23.926447,125.740255,3.378282,9.251676
1984,28.996896,122.062496,4.169632,8.245668
1985,34.870994,127.517108,4.994133,8.758983
1986,35.123104,142.375712,5.986976,10.496747
1987,40.234384,145.541408,6.639168,10.664273
1988,39.776384,147.651872,6.840688,10.500034
1989,39.930272,151.579680,7.306016,10.514784
1990,37.094715,151.775296,7.483989,11.062000
1991,42.466107,156.700232,7.335661,11.776000
1992,41.203075,163.251665,7.983260,9.770000
1993,42.342610,171.252419,8.729970,10.164000
1994,43.666838,179.161864,8.985299,10.086000
1995,45.582308,190.346969,9.602722,11.528000
1996,46.468484,206.281426,10.608090,13.884000
1997,47.044057,219.832627,11.863316,15.267000
1998,45.590741,229.578140,12.411119,16.175000
1999,46.804688,235.468487,14.068825,16.439000
2000,50.460434,239.488193,18.442373,16.047000
2001,49.426704,241.794706,23.185590,15.227000
2002,48.688815,239.219326,29.292858,14.390000
2003,51.933112,232.433668,30.919220,13.096000
2004,53.832656,239.768252,38.215091,13.273000
2005,50.948421,240.221198,39.619381,14.349000
2006,50.837875,242.248571,42.052554,15.440000
2007,54.989055,256.003342,43.245603,17.200000
2008,55.315497,267.238809,51.302693,18.884000
2009,43.586053,262.705409,40.958538,19.031000
2010,56.688185,286.079991,55.048824,21.288000
2011,62.292401,303.885017,53.100582,22.845000
2012,61.016471,327.733969,63.396560,24.998000
2013,65.604089,342.338124,74.703787,26.652000
2014,69.033897,356.753378,81.285725,26.908000
2015,69.451663,330.358576,80.464761,25.082000
2016,63.831218,312.939113,69.665669,22.415000
2017,67.321878,316.425222,70.687790,19.080788
2018,65.840737,300.605153,67.417072,19.342169
2019,61.887745,302.333585,67.121321,19.864930
2020,56.240806,281.089414,59.026096,22.052686
2021,68.229888,296.986854,75.974385,23.792942
