"Year","Coal","Oil","Gas","Cement"
1959,1.256752,1.271408,0,0.170811
1960,1.040576,1.179808,0,0.098126
1961,1.057252,1.229192,0,0.068944
1962,0.839056,1.234768,0,0.098126
1963,0.818379,1.354179,0,0.120123
1964,0.939727,0.921373,0,0.112872
1965,1.178060,1.167084,0,0.123383
1966,0.908672,1.363008,0,0.130834
1967,0.948976,1.194464,0,0.145371
1968,0.740128,2.480528,0,0.145371
1969,0.886688,2.601440,0,0.159909
1970,0.787760,1.714752,0,0.207154
1971,0.875696,1.857648,0,0.225326
1972,0.850048,1.930928,0,0.236228
1973,0.828064,2.095808,0,0.265303
1974,0.831728,2.224048,0,0.308914
1975,0.670512,2.253360,0,0.308914
1976,0.875696,2.209392,0,0.319797
1977,0.886688,2.352288,0,0.237995
1978,0.842720,2.458544,0,0.224711
1979,0.747456,2.780976,0,0.211673
1980,0.842720,2.436560,0,0.205740
1981,0.861040,2.667392,0,0.226992
1982,0.824400,1.974896,0,0.247669
1983,0.806080,2.960512,0,0.231408
1984,0.824400,2.868912,0,0.238328
1985,0.821563,2.596727,0,0.193618
1986,0.839056,2.315648,0,0.190959
1987,0.850048,2.755328,0,0.210487
1988,0.930656,2.839600,0,0.207736
1989,0.842720,3.319584,0,0.189688
1990,0.890352,3.169360,0,0.189253
1991,0,3.030128,0,0.102476
1992,0,2.737008,0,0.071215
1993,0,2.601440,0,0.060890
1994,0,1.630480,0,0.067734
1995,0,2.007872,0,0.095742
1996,0,2.213056,0,0.098036
1997,0,1.824672,0,0.050771
1998,0,1.601168,0,0.054343
1999,0,1.253088,0,0.064382
2000,0,0.824400,0,0.068326
2001,0,0.688832,0,0.080942
2002,0,0.743792,0,0.106289
2003,0,0.905008,0,0.132151
2004,0,0.989280,0,0.160149
2005,0,1.238432,0,0.206609
2006,0,1.326368,0.021984,0.203840
2007,0,1.447280,0.043968,0.205283
2008,0,1.608496,0.043968,0.158085
2009,0,1.472928,0.043968,0.177150
2010,0,1.728946,0.044050,0.188951
2011,0,2.220384,0.043968,0.175168
2012,0,2.198400,0,0.157911
2013,0,3.363552,0,0.173991
2014,0,4.499392,0.003664,0.127873
2015,0,2.634416,0.003664,0.154610
2016,0,1.916092,0,0.098036
2017,0,2.125120,0,0.348744
2018,0,2.065897,0,0.406093
2019,0,2.154432,0,0.451042
2020,0,2.031839,0,0.451042
2021,0,2.155643,0,0.451042
