"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.274273,3.817485,1.292879,0.083978,0.352087,0.069085
2001,0.301225,3.754114,1.302859,0.088558,0.300733,0.067924
2002,0.504381,3.590014,1.478478,0.098278,0.261241,0.065592
2003,0.371946,3.684249,1.602339,0.105211,0.207266,0.073974
2004,0.380591,3.833958,1.728789,0.091524,0.261179,0.076788
2005,0.480346,3.926825,1.897644,0.106880,0.285637,0.085617
2006,0.515514,3.886714,2.098378,0.106811,0.311877,0.079057
2007,0.473702,4.037532,2.053490,0.101791,0.278302,0.088080
2008,0.423163,4.027655,2.159877,0.095172,0.396797,0.084461
2009,0.431087,3.891221,2.346077,0.101310,0.268657,0.084387
2010,0.533228,3.908112,2.377603,0.056372,0.371286,0.089661
2011,0.616777,3.973258,2.549106,0.096149,0.360207,0.092366
2012,0.537358,4.037398,2.651536,0.083067,0.314989,0.107320
2013,0.533616,3.925493,2.800622,0.111097,0.274931,0.117916
2014,0.532580,3.747803,2.838544,0.090566,0.379312,0.140657
2015,0.531542,3.704738,2.908185,0.107702,0.299484,0.167712
2016,0.520680,3.731628,2.989081,0.097725,0.295841,0.183550
2017,0.636310,3.593102,3.097207,0.100052,0.305121,0.200374
2018,0.567164,3.505452,3.153089,0.123889,0.309413,0.238633
2019,0.541493,3.236313,3.167039,0.101896,0.224029,0.310510
2020,0.239368,2.465847,3.014298,0.101413,0.254663,0.354623
2021,0.231587,2.559650,3.176138,0.107778,0.327083,0.386763
