"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,"NaN",0,"NaN",0,0.235226,0,0,0.039912,0.464625,4.790537
1966,"NaN",0,"NaN",0,0.239366,0,0,0.048619,0.596880,5.124643
1967,"NaN",0,"NaN",0,0.206340,0,0,0.052973,0.589294,4.555238
1968,"NaN",0,"NaN",0,0.243459,0,0,0.050796,0.644524,4.521325
1969,"NaN",0,"NaN",0,0.247599,0,0,0.071115,0.864160,5.459797
1970,"NaN",0,"NaN",0,0.255879,0,0,0.104133,1.195364,6.946739
1971,6.458822,0,"NaN",0,0.309511,0,0,0.135699,1.625680,8.009558
1972,6.619505,0,"NaN",0,0.350769,0,0,0.175611,1.870907,8.470524
1973,6.772393,0,"NaN",0,0.392028,0,0,0.216973,2.282339,8.581475
1974,6.913763,0,"NaN",0,0.443636,0,0,0.273212,2.624663,8.490830
1975,7.036972,0,"NaN",0,0.464242,0,0,0.321106,2.894682,9.569559
1976,7.146705,0,"NaN",0,0.470452,0,0,0.366460,3.309071,9.803392
1977,7.244765,0,"NaN",0,0.491105,0,0,0.439752,3.495750,10.783941
1978,7.342365,0,"NaN",0,0.460149,0,0,0.498168,3.875893,11.841108
1979,7.440963,0,"NaN",0,0.516886,0,0,0.526469,3.885478,12.249739
1980,7.534877,0,"NaN",0,0.619774,0,0,0.517761,3.501118,12.740469
1981,7.621133,0,"NaN",0,0.697398,0,0,0.462248,3.317511,12.672702
1982,7.708974,0,"NaN",0,0.792148,0,0,0.432858,3.282311,13.409416
1983,7.787382,0,"NaN",0,0.919922,0,0,0.443018,3.348357,14.360416
1984,7.836222,0,"NaN",0,0.924156,0,0,0.451000,3.473605,15.617759
1985,7.894774,0,"NaN",0,0.983480,0,0,0.469142,3.638161,17.050552
1986,7.983778,0,"NaN",0,1.006486,0,0,0.499257,3.867914,17.825126
1987,8.072335,0,"NaN",0,1.064775,0,0,0.503973,4.112041,19.340071
1988,8.163445,0,"NaN",0,1.162111,0,0,0.517398,4.425689,20.776405
1989,8.279229,0,"NaN",0,1.260483,0,0,0.546026,4.635816,21.768846
1990,8.392235,0.000663,0,0,1.349210,0.000021,0.000022,0.555060,4.588461,22.084261
1991,8.473543,0.000663,0,0,1.327334,0.000021,0.000097,0.562027,4.964918,23.160340
1992,8.521378,0.001163,0,0,1.391174,0.000032,0.001398,0.572912,5.385283,24.233389
1993,8.565497,0.001204,0,0.016385,1.616427,0.000043,0.002258,0.608288,5.989594,25.813284
1994,8.584801,0.005146,0,0.150733,1.782308,0.000053,0.004086,0.637096,6.086299,27.510002
1995,8.573514,0.034496,0,0.131090,2.028755,0.000075,0.006559,0.643664,6.572271,27.852662
1996,8.563016,0.017478,0,0.146463,2.000971,0.000096,0.001000,0.674504,7.282903,29.143402
1997,8.578850,0.031142,0,0.147281,2.086239,0.000117,0.002108,0.712747,7.997564,28.554885
1998,8.483056,0.028361,0,0.144032,2.117216,0.000149,0.003785,0.734988,8.235326,28.338180
1999,8.449294,0.028820,0,0.152705,2.092626,0.000181,0.005043,0.779871,8.774082,29.156518
2000,8.297043,0.029016,0,0.170969,2.367590,0.000234,0.006280,0.889047,9.456825,29.561062
2001,7.963928,0.029204,0,0.177318,2.934110,0.000328,0.007606,0.995248,9.659697,31.088717
2002,7.860847,0.029105,0.006176,0.253362,3.025932,0.000504,0.008799,1.058888,10.424153,34.082847
2003,7.591015,0.028983,0.017044,0.434227,2.961746,0.000668,0.010409,1.230290,11.645145,40.619011
2004,7.261212,0.028884,0.021493,0.502409,3.667647,0.000788,0.013256,1.439423,13.599980,47.359007
2005,7.020973,0.060976,0.030151,0.525135,4.092566,0.000866,0.020061,1.691104,13.818554,55.458381
2006,6.930434,0.081763,0.043569,0.539084,4.463955,0.000973,0.038022,2.080215,14.820369,60.906174
2007,6.449787,0.113145,0.047034,0.606895,4.939714,0.001160,0.055776,2.558804,15.528843,66.326087
2008,5.983425,0.170582,0.060182,0.663933,6.443621,0.001538,0.132522,2.949585,15.869130,67.377314
2009,5.752380,0.239433,0.071599,0.675815,6.189539,0.002805,0.277635,3.248065,16.489075,70.578071
2010,5.350082,0.285879,0.071268,0.716654,7.108200,0.007004,0.493605,3.919466,18.772164,73.220806
2011,5.031592,0.317300,0.078843,0.831007,6.833083,0.025920,0.735899,4.865863,19.406642,79.706312
2012,4.736724,0.346032,0.093037,0.931286,8.516613,0.035481,1.017202,5.431593,20.355479,80.706561
2013,4.461288,0.426470,0.127382,1.049789,8.924665,0.082160,1.356579,6.187628,21.266892,82.430682
2014,4.476435,0.531445,0.134633,1.246743,10.334911,0.229308,1.558126,6.781073,22.113060,82.480215
2015,4.466359,0.621049,0.094211,1.594330,10.804893,0.382752,1.799253,7.008823,23.795624,80.917940
2016,4.393905,0.713771,0.102176,1.971463,11.114426,0.641152,2.321253,7.539879,24.564882,80.185853
2017,4.572088,0.914458,0.094518,2.280919,11.162074,1.128600,2.918265,8.685079,25.859419,80.560382
2018,4.698498,1.076790,0.122529,2.696237,11.418941,1.684905,3.484105,10.221336,27.124783,81.053223
2019,4.994027,1.295132,0.109890,3.175292,12.075750,2.125648,3.846095,11.101566,28.494639,81.698553
2020,5.303446,1.558291,0.085928,3.322399,12.496284,2.468607,4.410590,12.118221,28.744029,82.376123
2021,4.901715,1.952520,0.107645,3.683567,12.246048,3.080352,6.175776,13.632999,30.598500,86.169817
