"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,"NaN",0,"NaN",0.154605,0.049095,0,0,0.030940,3.188590,4.915178
1966,"NaN",0,"NaN",0.206518,0.048286,0,0,0.030187,3.416097,4.677912
1967,"NaN",0,"NaN",0.237776,0.052002,0,0,0.050786,3.671203,4.369805
1968,"NaN",0,"NaN",0.267532,0.039621,0,0,0.114676,3.886185,4.373113
1969,"NaN",0,"NaN",0.297513,0.034661,0,0,0.223450,4.177225,4.262581
1970,"NaN",0,"NaN",0.265714,0.048286,0,0,0.425798,4.423624,4.020333
1971,"NaN",0,"NaN",0.281404,0.035906,0,0,0.686551,4.447030,3.562967
1972,"NaN",0,"NaN",0.300098,0.035906,0,0,0.974268,4.715318,3.120924
1973,"NaN",0,"NaN",0.285991,0.040856,0,0,1.054111,4.840203,3.380339
1974,"NaN",0,"NaN",0.343399,0.043336,0,0,1.260813,4.495919,2.975977
1975,"NaN",0,"NaN",0.309904,0.040856,0,0,1.321103,3.932062,2.993771
1976,"NaN",0,"NaN",0.369325,0.048286,0,0,1.401280,3.909032,3.046567
1977,"NaN",0,"NaN",0.408817,0.042091,0,0,1.489370,3.941764,3.056573
1978,"NaN",0,"NaN",0.380245,0.043336,0,0,1.544887,4.043731,2.977694
1979,"NaN",0,"NaN",0.391318,0.045806,0,0,1.692598,4.080009,3.200809
1980,"NaN",0,"NaN",0.378192,0.042091,0,0,1.687573,3.488846,2.975349
1981,"NaN",0,"NaN",0.387855,0.047041,0,0,1.710433,3.230172,2.959188
1982,"NaN",0,"NaN",0.449176,0.048286,0,0,1.701892,3.267357,2.759897
1983,"NaN",0,"NaN",0.510017,0.048286,0,0,1.774031,3.141976,2.785562
1984,"NaN",0,"NaN",0.551398,0.048286,0.000011,0,1.815020,3.862232,1.979352
1985,"NaN",0,"NaN",0.624089,0.042093,0.000011,0,1.952012,3.355793,2.632618
1986,"NaN",0,"NaN",0.603495,0.050759,0.000011,0,1.984501,3.363461,2.843172
1987,"NaN",0,"NaN",0.564259,0.044569,0,0,2.038176,3.270850,2.912715
1988,"NaN",0,"NaN",0.648206,0.051997,0.000011,0,1.941419,3.479411,2.827430
1989,0.026496,0,"NaN",0.732767,0.050759,0,0.000096,1.897290,3.556793,2.721587
1990,0.023840,0.006847,0,0.671630,0.054473,0,0.000096,1.975458,3.602596,2.719117
1991,0.025362,0.007905,0,0.720601,0.048283,0,0.000096,2.133970,3.585803,2.723723
1992,0.036849,0.010736,0,0.784588,0.056949,0,0.000351,2.123712,3.625860,2.560982
1993,0.039713,0.013767,0,0.912746,0.045807,0,0.002310,2.420180,3.644059,2.230141
1994,0.053937,0.017451,0,0.901805,0.054473,0,0.003662,2.492109,3.605999,2.082263
1995,0.057577,0.018865,0,0.908772,0.049521,0,0.004173,2.657111,3.563833,1.986888
1996,0.059971,0.020738,0,0.967069,0.036151,0,0.005195,3.095427,3.652566,1.857516
1997,0.063539,0.024246,0,1.002567,0.046798,0,0.007100,3.183057,3.547596,1.656633
1998,0.065116,0.030502,0,1.016254,0.054478,0,0.009336,3.309858,3.533663,1.615288
1999,0.066588,0.039407,0,0.971788,0.056798,0.000011,0.009048,3.523957,3.484325,1.436102
2000,0.072555,0.044609,0,0.868921,0.054139,0.000011,0.010070,3.648302,3.428405,1.537732
2001,0.076570,0.052013,0,0.914326,0.042882,0.000021,0.010206,3.630715,3.403289,1.629163
2002,0.083104,0.058380,0.000065,0.885797,0.050306,0.000032,0.013229,3.583229,3.389638,1.495110
2003,0.095515,0.070948,0.000684,0.888513,0.033699,0.000031,0.013447,3.593131,3.430327,1.595334
2004,0.109585,0.084625,0.000619,0.796375,0.050256,0.000041,0.020115,3.671565,3.520970,1.533209
2005,0.131147,0.104603,0.002916,0.807349,0.050747,0.000082,0.030018,3.577917,3.646107,1.567089
2006,0.135068,0.106610,0.007428,0.741648,0.047052,0.000113,0.043391,3.393369,3.614099,1.713754
2007,0.135833,0.107157,0.014493,0.615670,0.051684,0.000143,0.053684,3.430819,3.497782,1.607210
2008,0.143923,0.110889,0.033263,0.509505,0.052009,0.000172,0.071797,3.521971,3.416921,1.491133
2009,0.155544,0.123135,0.041231,0.666624,0.052560,0.000201,0.093309,3.284053,3.247539,1.247356
2010,0.177994,0.140925,0.047938,0.595818,0.035885,0.000402,0.102775,3.545742,3.197476,1.294885
2011,0.188619,0.153001,0.044379,0.657377,0.056526,0.002420,0.158531,2.949066,3.143806,1.316706
2012,0.199763,0.169368,0.037315,0.666887,0.052406,0.013363,0.195910,2.768355,3.053092,1.631095
2013,0.228887,0.208060,0.042652,0.664769,0.046129,0.019724,0.278619,2.747727,3.002302,1.547990
2014,0.272049,0.259962,0.048727,0.596598,0.057423,0.039538,0.311691,2.521998,2.999027,1.245752
2015,0.336893,0.336242,0.038947,0.654418,0.061050,0.073029,0.390451,2.593636,3.082847,0.966070
2016,0.361658,0.345511,0.039466,0.663319,0.051758,0.100305,0.358118,2.904251,3.183307,0.464016
2017,0.381852,0.366574,0.038976,0.646641,0.056352,0.109942,0.475594,2.827768,3.188332,0.379242
2018,0.423178,0.401943,0.053701,0.594670,0.051845,0.120662,0.542023,2.828377,3.144810,0.317431
2019,0.449519,0.428872,0.068655,0.511616,0.055478,0.119379,0.605384,2.796683,3.063677,0.217545
2020,0.467826,0.451889,0.064881,0.456157,0.063856,0.124404,0.712588,2.629084,2.353001,0.204346
2021,0.512675,0.459758,0.057583,0.414616,0.047241,0.116662,0.607211,2.770112,2.495896,0.210323
