"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1966,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1967,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1968,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1969,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1970,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1971,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1972,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1973,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1974,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1975,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1976,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1977,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1978,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1979,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1980,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1981,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1982,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1983,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1984,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1985,"NaN",0,"NaN",7.099761,11.898891,0,0,89.708720,73.974032,58.041956
1986,"NaN",0,"NaN",7.461780,12.144203,0,0,90.024520,74.260005,59.142434
1987,"NaN",0,"NaN",8.766238,11.906346,0,0,94.389171,74.215208,59.521787
1988,"NaN",0,"NaN",9.402492,11.696071,0,0,98.822821,73.050135,58.181839
1989,"NaN",0,"NaN",9.452224,11.539915,0,0,99.694988,73.969927,55.923971
1990,3.446104,0.004805,"NaN",8.166553,12.000202,0,0,100.746262,72.596362,51.570771
1991,3.241741,0.004782,"NaN",8.255954,12.053369,0,0,103.050298,70.529757,47.115023
1992,3.027623,0.004619,"NaN",8.216380,12.353562,0,0,99.568710,67.230572,44.192416
1993,2.898831,0.004391,"NaN",8.176721,12.460501,0,0,99.164714,55.996351,39.841772
1994,1.953092,0.004444,"NaN",6.713986,12.583295,0,0,93.204370,49.491220,34.861530
1995,1.745547,0.004306,"NaN",6.843983,12.629895,0,0,90.254821,43.266893,33.643849
1996,1.493698,0.004178,"NaN",7.513195,11.081471,0,0,90.956761,37.388561,33.093033
1997,1.286299,0.004177,"NaN",7.491639,11.328313,0,0,84.052316,37.156065,30.574655
1998,1.065640,0.004254,"NaN",7.174616,11.425442,0,0,87.656867,35.656603,28.679788
1999,1.413120,0.004281,"NaN",8.449708,11.595664,0,0,87.587189,36.536378,28.978405
2000,1.110785,0.005695,"NaN",9.093004,11.894293,0,0.000138,89.774260,35.935223,30.155668
2001,1.079703,0.008131,"NaN",9.503267,12.576713,0,0.000224,91.619848,37.158675,29.539120
2002,1.034740,0.012168,"NaN",9.808907,11.704726,0,0.000447,93.140220,36.007729,29.794478
2003,1.028819,0.025712,"NaN",10.391528,11.212839,0,0.000619,95.769171,37.483202,30.112365
2004,0.991863,0.031467,"NaN",9.979166,12.624995,0,0.000503,98.662461,37.120767,28.972647
2005,1.016836,0.031502,"NaN",10.280169,12.373599,0,0.000487,100.239445,37.397408,27.535801
2006,1.030880,0.035190,"NaN",10.727741,12.383521,0,0.000372,105.920482,39.420832,28.339217
2007,1.099689,0.033241,"NaN",10.924330,12.592560,0,0.000469,107.865200,39.282362,27.474428
2008,0.924336,0.033472,"NaN",11.064161,11.649935,0,0.000368,106.361624,40.548450,29.470795
2009,0.848735,0.033948,"NaN",11.023542,12.233242,0,0.000267,100.028298,38.883807,26.950253
2010,0.861804,0.036422,"NaN",11.407208,11.613299,0,0.000292,106.540430,40.335145,26.464639
2011,0.882729,0.037522,"NaN",11.495959,11.295169,0.000083,0.000374,109.391769,43.233691,27.456606
2012,0.926872,0.033798,"NaN",11.708094,11.233442,0.000289,0.000361,107.432995,43.892323,28.691090
2013,0.879770,0.032030,"NaN",11.282390,12.346509,0.000736,0.000305,106.248683,43.735241,26.325703
2014,0.801407,0.036442,"NaN",11.724391,11.720365,0.010815,0.006496,105.341022,45.749754,25.405392
2015,0.842022,0.031398,"NaN",12.569840,11.257790,0.022490,0.009920,101.696671,43.844116,26.660145
2016,0.841236,0.028912,"NaN",12.530426,12.260877,0.031102,0.009837,104.357784,44.824433,25.751090
2017,0.774528,0.034146,"NaN",12.839835,12.196288,0.035832,0.009156,106.698870,44.544630,24.158955
2018,0.794831,0.032817,"NaN",12.837606,12.466333,0.040835,0.015509,112.335858,44.971326,24.910565
2019,0.847565,0.034067,"NaN",13.057580,12.656124,0.064138,0.020498,109.750289,45.908336,24.472890
2020,0.826811,0.033514,"NaN",13.452462,13.793191,0.120905,0.073889,104.694975,43.514494,22.602004
2021,0.859970,0.033866,"NaN",13.854276,13.927456,0.150097,0.167807,117.751776,46.219801,23.515117
