"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,7.220049,0.806287,"NaN",0.207268,11.165391,0,0,78.929272,121.727559,61.186494
1966,7.321670,0.841069,"NaN",0.309407,11.094979,0,0,84.125736,126.322053,63.446720
1967,7.094214,0.832382,"NaN",0.424776,12.482051,0,0,87.930973,129.834566,61.621622
1968,7.437266,0.909662,"NaN",0.688218,12.407792,0,0,93.185934,137.162511,63.139159
1969,7.468478,0.938243,"NaN",0.756910,13.774761,0,0,99.236085,142.498292,62.721609
1970,7.331249,0.927799,"NaN",1.170361,13.470222,0,0,103.306251,146.930231,61.363130
1971,7.247494,0.935591,"NaN",2.019272,14.283266,0,0,105.148654,150.127516,57.292604
1972,7.519621,1.035884,"NaN",2.833900,14.456246,0,0,105.014819,159.968541,58.978882
1973,7.573956,1.095330,"NaN",4.329786,14.285616,0,0,103.112070,167.662541,62.713161
1974,7.557193,1.104693,"NaN",5.856066,15.630382,0,0,98.606127,159.488482,60.646811
1975,7.286898,1.053852,"NaN",8.779540,15.428770,0,0,89.653576,154.204190,60.073256
1976,8.252585,1.193097,"NaN",9.635094,14.466200,0,0,90.584718,164.235660,63.840908
1977,8.765052,1.233122,"NaN",12.521826,11.160026,0,0,87.844652,171.639278,64.771326
1978,9.606482,1.283289,"NaN",13.640795,13.989320,0,0,87.163851,173.512212,63.324706
1979,10.026507,1.318858,"NaN",12.444703,13.806517,0,0,89.009139,167.502855,68.375261
1980,10.225763,1.342259,"NaN",12.100776,13.453248,0,0,86.109994,152.516336,69.276362
1981,10.191115,1.360397,"NaN",12.993224,12.572519,0,0,83.096523,140.595410,70.657562
1982,10.231414,1.302342,"NaN",13.335762,14.731752,0,0,76.447575,131.849676,67.354263
1983,10.758199,1.451222,"NaN",13.706406,15.648590,0.000139,0.000125,70.975528,129.872464,69.148185
1984,11.921903,1.712685,"NaN",15.135102,14.981633,0.000242,0.000300,75.035182,132.596283,73.506939
1985,11.593265,1.725271,"NaN",17.545285,13.000860,0.000486,0.000263,71.488918,130.750910,74.501239
1986,11.726805,1.814228,"NaN",18.744348,13.310216,0.000635,0.000190,66.330468,135.740566,72.838845
1987,12.773615,1.983819,"NaN",20.409905,11.335613,0.000471,0.000159,69.833882,137.216243,75.254064
1988,12.514397,1.953650,"NaN",23.386966,10.034312,0.000404,0.000039,72.301104,141.464736,77.963955
1989,11.790858,2.211905,"NaN",23.236951,11.938903,0.011001,0.092712,75.984820,139.875649,78.029644
1990,9.832813,2.578056,0.242813,25.002904,12.541642,0.015911,0.120866,75.031895,135.054749,77.460906
1991,9.939450,2.680856,0.277466,26.183481,12.158648,0.020238,0.126135,75.617293,130.349066,75.669402
1992,10.930425,2.833988,0.311006,26.074260,10.488737,0.017056,0.121676,77.078901,131.167039,75.111142
1993,9.428013,2.884806,0.358351,25.358518,11.487264,0.019546,0.124897,77.896007,130.434322,76.825290
1994,9.454356,2.827829,0.395948,26.256741,10.526146,0.020370,0.141325,78.665534,132.041846,76.085876
1995,9.708438,2.669033,0.419304,27.256147,12.470745,0.020615,0.128074,81.033430,130.057312,75.792179
1996,9.930016,2.697989,0.297040,26.972371,13.754407,0.021424,0.129282,81.491853,133.129313,78.258393
1997,9.443257,2.704183,0.371421,24.815448,13.911361,0.020818,0.129794,80.952663,133.215027,78.910283
1998,9.553994,2.661774,0.405298,26.262469,12.430228,0.020248,0.117949,78.592078,133.790135,78.690583
1999,9.127300,2.665036,0.416341,28.048733,12.072119,0.019764,0.172855,77.918688,135.874058,77.628123
2000,9.204243,2.642447,0.471715,28.705443,10.281882,0.019546,0.212971,80.106868,135.818261,80.140389
2001,8.071297,2.622279,0.495752,28.770988,7.788917,0.021278,0.252124,75.747543,134.138747,76.942235
2002,7.810369,2.786578,0.586318,28.713540,9.407914,0.021923,0.381133,77.419747,132.868576,76.138082
2003,8.180287,2.739084,0.787910,27.667404,9.682317,0.021901,0.405283,74.469636,133.603383,76.851871
2004,8.496788,2.731188,0.984991,28.109675,9.266023,0.024638,0.504200,74.049176,137.141048,76.605198
2005,8.719895,2.727189,1.139699,27.429901,9.252087,0.026007,0.624744,72.182842,136.000265,76.973586
2006,8.463032,2.716786,1.581703,27.173341,9.757890,0.028173,0.917808,70.447311,132.960336,75.057964
2007,8.278119,2.716309,1.978035,27.389094,8.172107,0.036832,1.170044,74.217899,130.824718,75.317445
2008,8.105974,2.673822,2.675833,26.948943,8.308000,0.054042,1.850610,74.061038,120.987630,73.403239
2009,7.549329,2.630723,3.012178,26.295964,8.848696,0.067651,2.432116,72.070485,113.623057,63.973371
2010,7.974421,2.674024,3.433301,26.173494,8.261092,0.096749,3.069984,74.987952,114.429253,67.105081
2011,7.836041,2.673569,3.685836,25.254868,10.001358,0.149940,3.840834,75.493326,111.191480,62.773257
2012,7.632926,2.691309,3.660579,24.224600,8.542335,0.281711,4.434175,78.232486,107.693586,55.007688
2013,8.132004,2.794573,4.006370,24.484166,8.188661,0.492754,5.208277,79.695684,108.521872,56.611092
2014,8.394469,2.889378,4.030179,24.385917,7.745370,0.884807,5.556974,80.741100,108.360485,56.016084
2015,7.765171,2.851488,4.183391,24.048917,7.360542,1.177500,5.753515,82.465251,109.691113,48.010803
2016,7.333803,2.791051,4.502378,23.969835,7.768642,1.632293,6.753153,82.416630,109.598277,43.576478
2017,7.203209,2.768428,4.476145,23.620504,8.622416,2.267622,7.462278,80.777530,109.790642,42.054889
2018,8.000957,2.714450,4.385602,23.378150,8.302269,2.704427,7.898133,89.064060,111.636736,39.989311
2019,7.998381,2.524405,4.478147,23.206754,8.102860,3.064782,8.483313,91.603649,110.738791,33.924583
2020,7.421477,2.421459,4.054141,22.454637,7.958481,3.716130,9.606886,89.147798,96.792395,27.392388
2021,5.763397,2.449898,4.399939,21.971248,7.203167,4.622184,10.722797,88.314653,104.828478,31.369874
