,"Historical","1.5C / 380 GtCO2","1.7C / 730 GtCO2","2.0C / 1230 GtCO2"
1870,3.105520,,,
1871,3.250756,,,
1872,3.366922,,,
1873,3.477051,,,
1874,3.485680,,,
1875,3.566329,,,
1876,3.615409,,,
1877,3.674999,,,
1878,3.730599,,,
1879,3.819925,,,
1880,3.954426,,,
1881,3.979340,,,
1882,4.091756,,,
1883,4.211566,,,
1884,4.242372,,,
1885,4.253533,,,
1886,4.297550,,,
1887,4.402571,,,
1888,4.516375,,,
1889,4.537520,,,
1890,4.765091,,,
1891,4.922725,,,
1892,4.969235,,,
1893,5.021088,,,
1894,5.103696,,,
1895,5.228659,,,
1896,5.310308,,,
1897,5.421135,,,
1898,5.540244,,,
1899,5.738546,,,
1900,5.955007,,,
1901,6.068762,,,
1902,6.184921,,,
1903,6.384034,,,
1904,6.472708,,,
1905,6.655936,,,
1906,6.778501,,,
1907,7.169814,,,
1908,7.090032,,,
1909,7.229621,,,
1910,7.353065,,,
1911,7.390277,,,
1912,7.483336,,,
1913,7.739617,,,
1914,7.407436,,,
1915,7.317689,,,
1916,7.514850,,,
1917,7.669791,,,
1918,7.642686,,,
1919,7.150804,,,
1920,7.778264,,,
1921,7.456097,,,
1922,7.662062,,,
1923,8.109082,,,
1924,8.149706,,,
1925,8.245303,,,
1926,8.166384,,,
1927,8.513298,,,
1928,8.513080,,,
1929,8.810773,,,
1930,8.501173,,,
1931,8.144817,,,
1932,7.851927,,,
1933,8.045979,,,
1934,8.372714,,,
1935,8.553061,,,
1936,8.954548,,,
1937,9.247225,,,
1938,9.007471,,,
1939,9.258473,,,
1940,9.872750,,,
1941,10.134820,,,
1942,10.155038,,,
1943,10.251881,,,
1944,10.325627,,,
1945,9.433603,,,
1946,9.805434,,,
1947,10.252945,,,
1948,10.478014,,,
1949,10.247087,,,
1950,11.428435,,,
1951,11.978877,,,
1952,12.190116,,,
1953,12.479874,,,
1954,12.793677,,,
1955,13.628809,,,
1956,14.315246,,,
1957,14.768167,,,
1958,15.192604,,,
1959,15.960473,,,
1960,15.955755,,,
1961,15.524516,,,
1962,15.643748,,,
1963,15.924230,,,
1964,16.305338,,,
1965,16.384297,,,
1966,16.714650,,,
1967,17.168934,,,
1968,17.888314,,,
1969,18.433381,,,
1970,19.497402,,,
1971,20.091358,,,
1972,20.819233,,,
1973,21.533800,,,
1974,21.338431,,,
1975,21.424681,,,
1976,22.296720,,,
1977,22.910027,,,
1978,23.300563,,,
1979,23.677930,,,
1980,23.585891,,,
1981,23.427911,,,
1982,23.293378,,,
1983,23.811387,,,
1984,24.970836,,,
1985,25.405867,,,
1986,25.744012,,,
1987,26.386772,,,
1988,27.166313,,,
1989,27.279247,,,
1990,27.634753,,,
1991,28.002021,,,
1992,27.470731,,,
1993,27.689317,,,
1994,28.265322,,,
1995,28.746964,,,
1996,29.444458,,,
1997,31.407445,,,
1998,29.699978,,,
1999,30.221427,,,
2000,30.569543,,,
2001,30.407066,,,
2002,31.458269,,,
2003,33.304416,,,
2004,33.998959,,,
2005,34.331269,,,
2006,35.666413,,,
2007,35.943771,,,
2008,36.728857,,,
2009,36.597756,,,
2010,38.202048,,,
2011,39.451121,,,
2012,39.833221,,,
2013,39.947322,,,
2014,40.495233,,,
2015,40.944279,,,
2016,40.052042,,,
2017,40.428686,,,
2018,41.007863,,,
2019,41.639842,,,
2020,39.321844,,,
2021,41.062895,,,
2022,41.361106,41.361106,41.361106,41.361106
2023,,39.099741,40.186556,40.664694
2024,,36.838377,39.012007,39.968282
2025,,34.577012,37.837457,39.271871
2026,,32.315648,36.662908,38.575459
2027,,30.054283,35.488358,37.879047
2028,,27.792918,34.313809,37.182636
2029,,25.531554,33.139259,36.486224
2030,,23.270189,31.964710,35.789812
2031,,21.008825,30.790160,35.093401
2032,,18.747460,29.615611,34.396989
2033,,16.486096,28.441062,33.700577
2034,,14.224731,27.266512,33.004166
2035,,11.963367,26.091963,32.307754
2036,,9.702002,24.917413,31.611342
2037,,7.440638,23.742864,30.914931
2038,,5.179273,22.568314,30.218519
2039,,2.917909,21.393765,29.522107
2040,,0.656544,20.219215,28.825696
2041,,0,19.044666,28.129284
2042,,0,17.870116,27.432872
2043,,0,16.695567,26.736461
2044,,0,15.521017,26.040049
2045,,0,14.346468,25.343637
2046,,0,13.171918,24.647226
2047,,0,11.997369,23.950814
2048,,0,10.822820,23.254402
2049,,0,9.648270,22.557991
2050,,0,8.473721,21.861579
2051,,0,7.299171,21.165167
2052,,0,6.124622,20.468755
2053,,0,4.950072,19.772344
2054,,0,3.775523,19.075932
2055,,0,2.600973,18.379520
2056,,0,1.426424,17.683109
2057,,0,0.251874,16.986697
2058,,0,0,16.290285
2059,,0,0,15.593874
2060,,0,0,14.897462
2061,,0,0,14.201050
2062,,0,0,13.504639
2063,,0,0,12.808227
2064,,0,0,12.111815
2065,,0,0,11.415404
2066,,0,0,10.718992
2067,,0,0,10.022580
2068,,0,0,9.326169
2069,,0,0,8.629757
2070,,0,0,7.933345
2071,,0,0,7.236934
2072,,0,0,6.540522
2073,,0,0,5.844110
2074,,0,0,5.147699
2075,,0,0,4.451287
2076,,0,0,3.754875
2077,,0,0,3.058464
2078,,0,0,2.362052
2079,,0,0,1.665640
2080,,0,0,0.969229
2081,,0,0,0.272817
2082,,0,0,0
2083,,0,0,0
2084,,0,0,0
2085,,0,0,0
2086,,0,0,0
2087,,0,0,0
2088,,0,0,0
2089,,0,0,0
2090,,0,0,0
2091,,0,0,0
2092,,0,0,0
2093,,0,0,0
2094,,0,0,0
2095,,0,0,0
2096,,0,0,0
2097,,0,0,0
2098,,0,0,0
2099,,0,0,0
2100,,0,0,0
