"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1959,2.831923,2.426030,0.192620,0.383515,0.720152,0.101447,0.849684,1.137480,0.213369
1960,2.897315,2.619601,0.232500,0.404694,0.798800,0.111325,0.884645,1.200690,0.238099
1961,2.886873,2.718111,0.282787,0.414805,0.570630,0.120404,0.912314,1.249318,0.263218
1962,2.993902,2.868053,0.292864,0.440262,0.459618,0.132582,0.957528,1.333348,0.272902
1963,3.126487,3.031400,0.324835,0.459613,0.456779,0.142444,1.026907,1.417499,0.285688
1964,3.264314,3.154176,0.358891,0.508886,0.460637,0.139488,1.092143,1.538102,0.312975
1965,3.399547,3.192212,0.386471,0.544630,0.500286,0.153702,1.158564,1.658892,0.323291
1966,3.571421,3.265139,0.419245,0.567980,0.549459,0.159374,1.223502,1.760995,0.349818
1967,3.705461,3.285864,0.489307,0.615772,0.460226,0.159556,1.279356,1.874217,0.374270
1968,3.840920,3.464975,0.561913,0.653578,0.495507,0.174070,1.315310,2.008752,0.395870
1969,4.035145,3.668709,0.653215,0.684230,0.607683,0.177414,1.369809,2.156790,0.414403
1970,4.339686,3.833074,0.767963,0.754278,0.807953,0.181723,1.440679,2.336503,0.436856
1971,4.365465,3.924312,0.796544,0.795599,0.909210,0.191964,1.528855,2.532237,0.461310
1972,4.573015,4.035756,0.852170,0.845586,0.968646,0.203036,1.608550,2.650051,0.491919
1973,4.785049,4.206369,0.914265,0.893492,1.008293,0.209095,1.676483,2.866515,0.526631
1974,4.621046,4.128246,0.914306,0.917018,1.028100,0.215853,1.740323,2.963499,0.489085
1975,4.478226,4.026837,0.868511,0.944481,1.183215,0.234209,1.829332,3.042205,0.447612
1976,4.747762,4.287310,0.907145,0.986013,1.226421,0.244750,1.899786,3.253866,0.438834
1977,4.889607,4.248078,0.933238,1.037463,1.340831,0.258962,1.964405,3.381241,0.449020
1978,4.941362,4.355321,0.901590,1.091193,1.492778,0.263150,2.031869,3.544178,0.455752
1979,5.008579,4.502600,0.953071,1.156801,1.525661,0.276285,2.048720,3.689347,0.457396
1980,4.808520,4.398945,0.944869,1.204416,1.494496,0.291711,2.129329,3.782562,0.446415
1981,4.686369,4.159312,0.926835,1.224164,1.476488,0.314966,2.088785,3.747051,0.412147
1982,4.447256,4.045158,0.897408,1.241836,1.606585,0.325380,2.128165,3.819517,0.373181
1983,4.429374,3.997266,0.880909,1.212011,1.694217,0.352199,2.158351,3.923910,0.358303
1984,4.662141,4.029699,0.937070,1.258682,1.844828,0.361560,2.177516,4.033638,0.359619
1985,4.652580,4.105850,0.912401,1.292253,1.998083,0.397592,2.348382,4.251029,0.367317
1986,4.663370,4.096899,0.912260,1.301066,2.104213,0.426310,2.348803,4.380894,0.393544
1987,4.825651,4.119776,0.902530,1.380290,2.257739,0.455343,2.357851,4.447374,0.527352
1988,5.050475,4.081764,0.985464,1.439634,2.425894,0.491693,2.436908,4.650581,0.545381
1989,5.132134,4.126715,1.021682,1.513783,2.463654,0.540651,2.404825,4.641926,0.565031
1990,5.122496,4.232952,1.158129,1.549808,2.484855,0.577997,2.534865,4.546014,0.550365
1991,5.064987,4.228563,1.169778,1.586731,2.606096,0.615366,2.405532,5.022506,0.545247
1992,5.175220,4.116675,1.179504,1.647259,2.730788,0.655448,1.965610,4.553582,0.555937
1993,5.274363,4.046161,1.172487,1.698506,2.921651,0.677300,1.865939,4.596901,0.559592
