"Year","LUC","LUC_upper","LUC_lower"
1959,1.938933,2.638933,1.238933
1960,1.792600,2.492600,1.092600
1961,1.666500,2.366500,0.966500
1962,1.608267,2.308267,0.908267
1963,1.542733,2.242733,0.842733
1964,1.494467,2.194467,0.794467
1965,1.382833,2.082833,0.682833
1966,1.323067,2.023067,0.623067
1967,1.344133,2.044133,0.644133
1968,1.358467,2.058467,0.658467
1969,1.273467,1.973467,0.573467
1970,1.255100,1.955100,0.555100
1971,1.251600,1.951600,0.551600
1972,1.252867,1.952867,0.552867
1973,1.213867,1.913867,0.513867
1974,1.179300,1.879300,0.479300
1975,1.192700,1.892700,0.492700
1976,1.174900,1.874900,0.474900
1977,1.202833,1.902833,0.502833
1978,1.152667,1.852667,0.452667
1979,1.107933,1.807933,0.407933
1980,1.114800,1.814800,0.414800
1981,1.198633,1.898633,0.498633
1982,1.203300,1.903300,0.503300
1983,1.311367,2.011367,0.611367
1984,1.448167,2.148167,0.748167
1985,1.386567,2.086567,0.686567
1986,1.396467,2.096467,0.696467
1987,1.395433,2.095433,0.695433
1988,1.380600,2.080600,0.680600
1989,1.328833,2.028833,0.628833
1990,1.331133,2.031133,0.631133
1991,1.298367,1.998367,0.598367
1992,1.334800,2.034800,0.634800
1993,1.330900,2.030900,0.630900
1994,1.445367,2.145367,0.745367
1995,1.443300,2.143300,0.743300
1996,1.442433,2.142433,0.742433
1997,1.939100,2.639100,1.239100
1998,1.497467,2.197467,0.797467
1999,1.498100,2.198100,0.798100
2000,1.396267,2.096267,0.696267
2001,1.293400,1.993400,0.593400
2002,1.413000,2.113000,0.713000
2003,1.542800,2.242800,0.842800
2004,1.463500,2.163500,0.763500
2005,1.287300,1.987300,0.587300
2006,1.384633,2.084633,0.684633
2007,1.210967,1.910967,0.510967
2008,1.267200,1.967200,0.567200
2009,1.373833,2.073833,0.673833
2010,1.320333,2.020333,0.620333
2011,1.354833,2.054833,0.654833
2012,1.317400,2.017400,0.617400
2013,1.263133,1.963133,0.563133
2014,1.342167,2.042167,0.642167
2015,1.469900,2.169900,0.769900
2016,1.235767,1.935767,0.535767
2017,1.182300,1.882300,0.482300
2018,1.141200,1.841200,0.441200
2019,1.243800,1.943800,0.543800
2020,1.107467,1.807467,0.407467
2021,1.075067,1.775067,0.375067
