"Year","Emissions","Intensity","Crisis1","Crisis2","Crisis3","Crisis4","Crisis5","Crisis6"
1959,2.417091,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1960,2.562137,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1961,2.570540,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1962,2.661315,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1963,2.803399,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1964,2.955680,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1965,3.088864,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1966,3.238792,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1967,3.341711,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1968,3.523715,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1969,3.757478,"NaN",3.793437,"NaN","NaN","NaN","NaN","NaN"
1970,4.066243,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1971,4.231849,177.154328,"NaN","NaN","NaN","NaN","NaN","NaN"
1972,4.429238,175.453312,"NaN","NaN","NaN","NaN","NaN","NaN"
1973,4.663262,172.739554,"NaN","NaN","NaN","NaN","NaN","NaN"
1974,4.644508,166.901606,"NaN","NaN","NaN","NaN","NaN","NaN"
1975,4.654647,165.018566,"NaN",4.676111,"NaN","NaN","NaN","NaN"
1976,4.910449,164.501671,"NaN","NaN","NaN","NaN","NaN","NaN"
1977,5.049903,162.343964,"NaN","NaN","NaN","NaN","NaN","NaN"
1978,5.206657,161.348244,5.750544,"NaN","NaN","NaN","NaN","NaN"
1979,5.354384,159.616496,"NaN","NaN","NaN","NaN","NaN","NaN"
1980,5.322397,155.578853,"NaN","NaN","NaN","NaN","NaN","NaN"
1981,5.195447,149.165021,"NaN","NaN","NaN","NaN","NaN","NaN"
1982,5.154063,146.850653,"NaN","NaN","NaN","NaN","NaN","NaN"
1983,5.187374,144.219997,"NaN","NaN","NaN","NaN","NaN","NaN"
1984,5.367018,143.329055,"NaN",6.202224,"NaN","NaN","NaN","NaN"
1985,5.547349,143.387358,"NaN","NaN",5.499535,"NaN","NaN","NaN"
1986,5.629738,140.490055,"NaN","NaN","NaN","NaN","NaN","NaN"
1987,5.806197,139.968892,"NaN","NaN","NaN","NaN","NaN","NaN"
1988,6.033787,139.472792,"NaN","NaN","NaN","NaN","NaN","NaN"
1989,6.116376,136.532521,"NaN","NaN","NaN","NaN","NaN","NaN"
1990,6.211103,134.738418,"NaN","NaN","NaN","NaN","NaN","NaN"
1991,6.344106,135.965632,"NaN","NaN","NaN","NaN","NaN","NaN"
1992,6.162670,129.669131,"NaN","NaN","NaN","NaN","NaN","NaN"
1993,6.226228,128.604972,"NaN","NaN","NaN",6.177643,"NaN","NaN"
1994,6.268968,125.755253,"NaN","NaN",6.887428,"NaN","NaN","NaN"
1995,6.402487,124.288879,"NaN","NaN","NaN","NaN","NaN","NaN"
1996,6.593718,123.257608,"NaN","NaN","NaN","NaN","NaN","NaN"
1997,6.632801,119.273623,"NaN","NaN","NaN","NaN","NaN","NaN"
1998,6.608423,115.913164,"NaN","NaN","NaN","NaN","NaN","NaN"
1999,6.750106,114.408772,"NaN","NaN","NaN","NaN","NaN","NaN"
2000,6.946949,112.449210,"NaN","NaN","NaN","NaN","NaN","NaN"
2001,7.005472,110.745892,"NaN","NaN","NaN","NaN","NaN","NaN"
2002,7.172772,110.312111,"NaN","NaN","NaN",7.201749,"NaN","NaN"
2003,7.546833,111.857688,"NaN","NaN","NaN","NaN","NaN","NaN"
2004,7.815692,110.070538,"NaN","NaN","NaN","NaN",7.797393,"NaN"
2005,8.082588,108.622761,"NaN","NaN","NaN","NaN","NaN","NaN"
2006,8.349650,106.492973,"NaN","NaN","NaN","NaN","NaN","NaN"
2007,8.599015,104.043809,"NaN","NaN","NaN","NaN","NaN","NaN"
2008,8.757051,102.993178,"NaN","NaN","NaN","NaN","NaN","NaN"
2009,8.614637,101.598107,"NaN","NaN","NaN","NaN","NaN","NaN"
2010,9.105990,102.026500,"NaN","NaN","NaN","NaN","NaN","NaN"
2011,9.412394,101.352900,"NaN","NaN","NaN","NaN","NaN","NaN"
2012,9.554112,99.576036,"NaN","NaN","NaN","NaN","NaN","NaN"
2013,9.639520,97.160720,"NaN","NaN","NaN","NaN",9.956624,"NaN"
2014,9.710026,94.563672,"NaN","NaN","NaN","NaN","NaN","NaN"
2015,9.704849,91.443248,"NaN","NaN","NaN","NaN","NaN",9.645862
2016,9.695468,88.537163,"NaN","NaN","NaN","NaN","NaN","NaN"
2017,9.851730,86.757088,"NaN","NaN","NaN","NaN","NaN","NaN"
2018,10.050902,85.429609,"NaN","NaN","NaN","NaN","NaN","NaN"
2019,10.120786,83.674842,"NaN","NaN","NaN","NaN","NaN","NaN"
2020,9.624478,81.992801,"NaN","NaN","NaN","NaN","NaN","NaN"
2021,10.132055,81.414959,"NaN","NaN","NaN","NaN","NaN","NaN"
2022,10.231378,79.669993,"NaN","NaN","NaN","NaN","NaN","NaN"
2024,"NaN","NaN","NaN","NaN","NaN","NaN","NaN",10.714440
