"Year","China","USA","EU27","India","Russia","Japan"
1959,0.196548,0.772905,0.529687,0.027688,0.231901,0.052571
1960,0.218013,0.790752,0.572942,0.030384,0.241442,0.063455
1961,0.155740,0.787902,0.600126,0.032861,0.248994,0.077180
1962,0.125442,0.817113,0.642403,0.036185,0.261334,0.079930
1963,0.124667,0.853299,0.685602,0.038877,0.280269,0.088656
1964,0.125720,0.890915,0.721403,0.038070,0.298074,0.097951
1965,0.136541,0.927824,0.730358,0.041949,0.316202,0.105478
1966,0.149962,0.974733,0.752607,0.043497,0.333925,0.114423
1967,0.125608,1.011316,0.769421,0.043547,0.349169,0.133545
1968,0.135237,1.048286,0.816699,0.047508,0.358982,0.153360
1969,0.165852,1.101295,0.870912,0.048421,0.373856,0.178279
1970,0.220511,1.184412,0.908945,0.049597,0.393198,0.209597
1971,0.248147,1.191448,0.934566,0.052392,0.417264,0.217397
1972,0.264368,1.248094,0.970124,0.055414,0.439015,0.232579
1973,0.275189,1.305963,1.017372,0.057067,0.457555,0.249527
1974,0.280595,1.261202,1.012131,0.058912,0.474979,0.249538
1975,0.322930,1.222223,0.992301,0.063922,0.499272,0.237039
1976,0.334722,1.295787,1.067566,0.066798,0.518501,0.247583
1977,0.365947,1.334500,1.057073,0.070677,0.536137,0.254705
1978,0.407418,1.348625,1.092687,0.071820,0.554549,0.246067
1979,0.416392,1.366970,1.122566,0.075405,0.559149,0.260118
1980,0.407886,1.312369,1.112859,0.079616,0.581149,0.257879
1981,0.402972,1.279031,1.054406,0.085962,0.570083,0.252957
1982,0.438478,1.213771,1.029340,0.088805,0.580831,0.244926
1983,0.462395,1.208890,1.017609,0.096124,0.589070,0.240423
1984,0.503501,1.272419,1.027184,0.098679,0.594300,0.255751
1985,0.545328,1.269809,1.042743,0.108513,0.640934,0.249018
1986,0.574294,1.272754,1.038344,0.116351,0.641049,0.248979
1987,0.616195,1.317044,1.047586,0.124275,0.643518,0.246324
1988,0.662089,1.378405,1.036116,0.134196,0.665095,0.268959
1989,0.672395,1.400692,1.046465,0.147558,0.656339,0.278843
1990,0.678181,1.398061,1.054992,0.157750,0.691830,0.316083
1991,0.711271,1.382365,1.037946,0.167949,0.656532,0.319262
1992,0.745302,1.412451,1.002832,0.178889,0.536466,0.321917
1993,0.797394,1.439509,0.984455,0.184853,0.509263,0.320002
1994,0.846070,1.464405,0.979411,0.195488,0.449493,0.335020
1995,0.916460,1.481386,0.992556,0.207819,0.441853,0.338403
1996,0.956123,1.532869,1.015471,0.225219,0.432907,0.341825
1997,0.958016,1.553456,0.997472,0.234426,0.404372,0.339831
1998,0.917155,1.565810,0.995004,0.239343,0.399712,0.328944
1999,0.969662,1.585789,0.979952,0.259539,0.407520,0.338929
2000,0.994668,1.642017,0.983196,0.266950,0.403435,0.345140
2001,1.016302,1.613534,0.998900,0.270669,0.413404,0.341154
2002,1.122396,1.624645,0.999294,0.278978,0.410895,0.349171
2003,1.317534,1.641868,1.021984,0.288953,0.419021,0.351444
2004,1.425697,1.669750,1.025002,0.306910,0.420784,0.350185
2005,1.603863,1.675110,1.019622,0.323397,0.425514,0.352238
2006,1.770962,1.653156,1.022291,0.343516,0.441661,0.345967
2007,1.904643,1.674478,1.012717,0.370347,0.441754,0.355721
2008,2.046079,1.615412,0.989925,0.398886,0.449500,0.336376
2009,2.152438,1.496446,0.909444,0.439797,0.420116,0.317515
2010,2.351707,1.550598,0.936854,0.457559,0.443828,0.331621
2011,2.600588,1.513818,0.909641,0.485391,0.458318,0.345261
2012,2.669018,1.458912,0.889777,0.535643,0.462494,0.356491
2013,2.717333,1.495886,0.867119,0.556063,0.445610,0.359053
2014,2.728881,1.508971,0.829747,0.596982,0.445323,0.345091
2015,2.692932,1.467407,0.844084,0.619751,0.444791,0.333953
2016,2.665115,1.433340,0.846000,0.650605,0.443438,0.328572
2017,2.732289,1.422205,0.852409,0.664538,0.451461,0.324334
2018,2.825840,1.467428,0.832205,0.709729,0.464097,0.312067
2019,2.931495,1.435356,0.793236,0.716828,0.461890,0.301860
2020,2.990233,1.287034,0.715556,0.667307,0.443292,0.284450
2021,3.131104,1.366631,0.762286,0.739542,0.479134,0.291321
