"Year","China","USA","EU27","India","Russia","Japan","World"
1750,"NaN","NaN","NaN","NaN","NaN","NaN",0.003136
1751,"NaN","NaN","NaN","NaN","NaN","NaN",0.003122
1752,"NaN","NaN","NaN","NaN","NaN","NaN",0.003109
1753,"NaN","NaN","NaN","NaN","NaN","NaN",0.003095
1754,"NaN","NaN","NaN","NaN","NaN","NaN",0.003082
1755,"NaN","NaN","NaN","NaN","NaN","NaN",0.003070
1756,"NaN","NaN","NaN","NaN","NaN","NaN",0.003268
1757,"NaN","NaN","NaN","NaN","NaN","NaN",0.003255
1758,"NaN","NaN","NaN","NaN","NaN","NaN",0.003243
1759,"NaN","NaN","NaN","NaN","NaN","NaN",0.003231
1760,"NaN","NaN","NaN","NaN","NaN","NaN",0.003218
1761,"NaN","NaN","NaN","NaN","NaN","NaN",0.003511
1762,"NaN","NaN","NaN","NaN","NaN","NaN",0.003498
1763,"NaN","NaN","NaN","NaN","NaN","NaN",0.003486
1764,"NaN","NaN","NaN","NaN","NaN","NaN",0.003473
1765,"NaN","NaN","NaN","NaN","NaN","NaN",0.003461
1766,"NaN","NaN","NaN","NaN","NaN","NaN",0.003847
1767,"NaN","NaN","NaN","NaN","NaN","NaN",0.003834
1768,"NaN","NaN","NaN","NaN","NaN","NaN",0.003821
1769,"NaN","NaN","NaN","NaN","NaN","NaN",0.003808
1770,"NaN","NaN","NaN","NaN","NaN","NaN",0.003795
1771,"NaN","NaN","NaN","NaN","NaN","NaN",0.004193
1772,"NaN","NaN","NaN","NaN","NaN","NaN",0.004179
1773,"NaN","NaN","NaN","NaN","NaN","NaN",0.004165
1774,"NaN","NaN","NaN","NaN","NaN","NaN",0.004151
1775,"NaN","NaN","NaN","NaN","NaN","NaN",0.004137
1776,"NaN","NaN","NaN","NaN","NaN","NaN",0.004549
1777,"NaN","NaN","NaN","NaN","NaN","NaN",0.004533
1778,"NaN","NaN","NaN","NaN","NaN","NaN",0.004518
1779,"NaN","NaN","NaN","NaN","NaN","NaN",0.004503
1780,"NaN","NaN","NaN","NaN","NaN","NaN",0.004489
1781,"NaN","NaN","NaN","NaN","NaN","NaN",0.005004
1782,"NaN","NaN","NaN","NaN","NaN","NaN",0.004986
1783,"NaN","NaN","NaN","NaN","NaN","NaN",0.004970
1784,"NaN","NaN","NaN","NaN","NaN","NaN",0.004953
1785,"NaN","NaN","NaN","NaN","NaN","NaN",0.004938
1786,"NaN","NaN","NaN","NaN","NaN","NaN",0.005585
1787,"NaN","NaN","NaN","NaN","NaN","NaN",0.005566
1788,"NaN","NaN","NaN","NaN","NaN","NaN",0.005546
1789,"NaN","NaN","NaN","NaN","NaN","NaN",0.005527
1790,"NaN","NaN","NaN","NaN","NaN","NaN",0.005508
1791,"NaN","NaN","NaN","NaN","NaN","NaN",0.006128
1792,"NaN","NaN","NaN","NaN","NaN","NaN",0.006240
1793,"NaN","NaN","NaN","NaN","NaN","NaN",0.006221
1794,"NaN","NaN","NaN","NaN","NaN","NaN",0.006186
1795,"NaN","NaN","NaN","NaN","NaN","NaN",0.006164
1796,"NaN","NaN","NaN","NaN","NaN","NaN",0.006436
1797,"NaN","NaN","NaN","NaN","NaN","NaN",0.006729
1798,"NaN","NaN","NaN","NaN","NaN","NaN",0.006979
1799,"NaN","NaN","NaN","NaN","NaN","NaN",0.007319
1800,"NaN","NaN","NaN","NaN","NaN","NaN",0.007746
1801,"NaN","NaN","NaN","NaN","NaN","NaN",0.007676
1802,"NaN","NaN","NaN","NaN","NaN","NaN",0.010054
1803,"NaN","NaN","NaN","NaN","NaN","NaN",0.008569
1804,"NaN","NaN","NaN","NaN","NaN","NaN",0.009295
1805,"NaN","NaN","NaN","NaN","NaN","NaN",0.009014
1806,"NaN","NaN","NaN","NaN","NaN","NaN",0.009410
1807,"NaN","NaN","NaN","NaN","NaN","NaN",0.009856
1808,"NaN","NaN","NaN","NaN","NaN","NaN",0.009329
1809,"NaN","NaN","NaN","NaN","NaN","NaN",0.009293
1810,"NaN","NaN","NaN","NaN","NaN","NaN",0.009854
1811,"NaN","NaN","NaN","NaN","NaN","NaN",0.010386
1812,"NaN","NaN","NaN","NaN","NaN","NaN",0.010710
1813,"NaN","NaN","NaN","NaN","NaN","NaN",0.010715
1814,"NaN","NaN","NaN","NaN","NaN","NaN",0.010899
1815,"NaN","NaN","NaN","NaN","NaN","NaN",0.011198
1816,"NaN","NaN","NaN","NaN","NaN","NaN",0.012215
1817,"NaN","NaN","NaN","NaN","NaN","NaN",0.012606
1818,"NaN","NaN","NaN","NaN","NaN","NaN",0.012600
1819,"NaN","NaN","NaN","NaN","NaN","NaN",0.012616
1820,"NaN",0.021642,"NaN","NaN","NaN","NaN",0.012741
1821,"NaN",0.021944,"NaN","NaN","NaN","NaN",0.012866
1822,"NaN",0.022211,"NaN","NaN","NaN","NaN",0.013308
1823,"NaN",0.022464,"NaN","NaN","NaN","NaN",0.014007
1824,"NaN",0.024564,"NaN","NaN","NaN","NaN",0.014425
1825,"NaN",0.026719,"NaN","NaN","NaN","NaN",0.014901
1826,"NaN",0.030097,"NaN","NaN","NaN","NaN",0.014989
1827,"NaN",0.032243,"NaN","NaN","NaN","NaN",0.016007
1828,"NaN",0.034577,"NaN","NaN","NaN","NaN",0.016102
1829,"NaN",0.037966,"NaN","NaN","NaN","NaN",0.015963
1830,"NaN",0.043050,"NaN","NaN","NaN","NaN",0.021321
1831,"NaN",0.045246,"NaN","NaN","NaN","NaN",0.020120
1832,"NaN",0.058603,"NaN","NaN","NaN","NaN",0.020157
1833,"NaN",0.066431,"NaN","NaN","NaN","NaN",0.020456
1834,"NaN",0.061886,"NaN","NaN","NaN","NaN",0.020747
1835,"NaN",0.076823,"NaN","NaN","NaN","NaN",0.021099
1836,"NaN",0.081955,"NaN","NaN","NaN","NaN",0.024319
1837,"NaN",0.089543,"NaN","NaN","NaN","NaN",0.024177
1838,"NaN",0.082758,"NaN","NaN","NaN","NaN",0.024825
1839,"NaN",0.088541,"NaN","NaN","NaN","NaN",0.025515
1840,"NaN",0.091895,"NaN","NaN","NaN","NaN",0.027050
1841,"NaN",0.093929,"NaN","NaN","NaN","NaN",0.027747
1842,"NaN",0.101139,"NaN","NaN","NaN","NaN",0.029157
1843,"NaN",0.109913,"NaN","NaN","NaN","NaN",0.029759
1844,"NaN",0.127700,"NaN","NaN","NaN","NaN",0.031517
1845,"NaN",0.149151,"NaN","NaN","NaN","NaN",0.034414
1846,"NaN",0.164296,"NaN","NaN","NaN","NaN",0.034809
1847,"NaN",0.189314,"NaN","NaN","NaN","NaN",0.037838
1848,"NaN",0.205082,"NaN","NaN","NaN","NaN",0.037955
1849,"NaN",0.216688,"NaN","NaN","NaN","NaN",0.039868
