"Year","BLUE","H&C2023","OSCAR"
1850,11.575602,62.690674,18.793206
1851,12.035214,65.086636,19.476505
1852,12.062474,67.520888,20.079746
1853,12.150044,70.012884,20.676502
1854,12.176791,72.538773,21.275089
1855,12.286748,75.079903,21.868877
1856,12.447597,77.674345,22.461786
1857,12.528132,80.305610,23.039195
1858,12.731594,82.952777,23.611988
1859,12.815170,85.498341,24.186943
1860,13.717466,87.675490,25.041864
1861,14.210494,89.259547,25.942146
1862,14.583343,90.224278,26.662122
1863,14.963996,90.603575,27.334173
1864,15.146023,90.697447,27.997613
1865,15.241874,90.934874,28.662922
1866,15.494506,91.573289,29.336512
1867,15.673346,92.706784,30.019958
1868,15.765423,94.416260,30.706079
1869,15.831081,96.752866,31.395424
1870,16.855389,99.758739,32.177908
1871,17.469366,103.451868,32.978748
1872,18.083269,107.861931,33.739101
1873,18.198062,112.953755,34.500151
1874,18.493527,118.504752,35.265047
1875,18.747699,124.095137,36.022176
1876,18.952919,129.469968,36.791726
1877,19.104316,134.430291,37.539585
1878,19.394651,138.810823,38.286528
1879,19.391573,142.650402,39.051462
1880,19.610607,146.180373,39.774296
1881,20.031161,149.530918,40.458071
1882,20.290133,152.830386,41.183287
1883,20.565776,156.167081,41.923195
1884,20.658695,159.576910,42.663213
1885,20.631288,163.073685,43.380111
1886,20.910485,166.623148,44.118004
1887,21.114679,170.163818,44.852856
1888,21.114423,173.785792,45.581406
1889,21.344669,177.550955,46.289071
1890,23.145415,181.592603,48.144520
1891,24.613689,185.765753,50.296497
1892,25.583257,189.940258,51.631512
1893,26.494347,194.269091,52.858366
1894,27.493227,198.902219,54.085623
1895,27.868677,203.994519,55.344170
1896,28.455393,209.500888,56.647895
1897,28.707843,215.293672,57.992876
1898,29.417780,221.417572,59.401318
1899,29.628423,227.568255,60.871608
1900,61.587626,233.193008,63.939511
1901,81.391620,238.080564,67.254332
1902,93.437862,242.076560,69.254546
1903,102.164851,244.850208,71.187380
1904,108.699045,246.477646,74.289066
1905,113.591878,247.284716,75.777346
1906,116.113259,247.986298,78.294404
1907,120.702419,249.049335,79.950459
1908,124.038308,250.307589,83.477022
1909,125.048400,251.540745,85.181002
1910,138.006539,252.503571,89.009992
1911,145.063842,253.332074,92.479910
1912,150.253312,254.328829,97.540480
1913,155.612462,255.332215,101.788228
1914,156.839022,256.229309,105.101400
1915,161.784616,256.843908,106.147729
1916,161.515312,257.255705,106.790761
1917,165.492181,257.527721,110.155925
1918,166.156794,257.676809,114.974525
1919,168.654909,257.718798,120.308393
1920,187.651833,257.629983,121.012394
1921,202.458021,257.596201,120.805744
1922,209.368435,257.623608,123.434078
1923,214.412956,257.545125,124.583035
1924,218.902346,257.189717,123.705690
1925,223.019509,256.345421,129.782764
1926,224.170885,255.205771,132.795451
1927,227.004842,253.963235,131.832699
