"Year","BLUE","H&C2023","OSCAR"
1850,25.267200,31.850273,19.571586
1851,23.954353,29.543821,18.581426
1852,23.889610,28.284724,18.797529
1853,23.587183,26.709131,18.729708
1854,23.037730,24.855294,18.370453
1855,22.037568,22.558442,17.518170
1856,21.951244,21.221998,17.544588
1857,21.211556,19.323313,16.889538
1858,20.622677,17.685762,16.362508
1859,20.225243,16.280361,16.006734
1860,21.494636,16.200669,16.944534
1861,21.110722,14.718288,16.435128
1862,20.601536,13.199047,15.817708
1863,19.857414,11.491147,14.963666
1864,19.861372,10.571629,14.856677
1865,19.674288,9.503830,14.559197
1866,19.202694,8.198017,13.978160
1867,19.834954,8.054535,14.505336
1868,19.304920,6.810863,13.871171
1869,19.278686,6.114630,13.747072
1870,19.090686,4.922840,13.110085
1871,19.161181,4.294428,12.993094
1872,19.671283,4.224702,13.350627
1873,19.686928,3.756809,13.238692
1874,19.687698,3.346991,13.132362
1875,19.432684,2.722059,12.787580
1876,19.589173,2.543292,12.869763
1877,19.329102,1.976838,12.544327
1878,19.272420,1.625167,12.428032
1879,19.206761,1.275951,12.307339
1880,18.757298,1.703394,12.874124
1881,17.874384,1.173030,12.401761
1882,17.158036,0.724849,12.049101
1883,16.321728,0.126078,11.540208
1884,15.962472,-0.014766,11.480558
1885,15.585154,-0.185582,11.381007
1886,14.921713,-0.643875,10.976281
1887,15.226008,-0.136154,11.533686
1888,14.390946,-0.788016,10.927807
1889,14.188400,-0.695647,10.939971
1890,14.736315,-0.972096,10.583720
1891,15.806789,-0.107722,11.439228
1892,16.872757,0.882511,12.354092
1893,17.490507,3.190611,12.871082
1894,18.066305,6.919244,13.426142
1895,18.168274,10.126270,13.569111
1896,18.902576,13.927267,14.375411
1897,19.087095,17.139166,14.649735
1898,19.360832,20.235429,15.021887
1899,19.707667,22.746405,15.462703
1900,29.617175,26.776805,18.556584
1901,31.138907,27.418884,19.116297
1902,31.899260,28.022822,19.174078
1903,33.621780,29.652092,19.266851
1904,34.901395,30.949075,19.585289
1905,35.743273,31.872696,20.203992
1906,36.292946,32.542512,19.893028
1907,37.410686,33.798715,20.675622
1908,37.665224,34.178048,20.660343
1909,38.089368,32.638069,21.026927
1910,27.366672,27.599886,19.247945
1911,24.368092,20.455306,18.142479
1912,20.888354,16.532115,18.087812
1913,18.141490,14.660946,16.870155
1914,15.346371,12.024185,16.128781
1915,13.362828,9.579272,16.263653
1916,11.461432,6.759017,15.565038
1917,9.377825,3.453833,15.175006
1918,8.497659,1.056001,14.582573
1919,6.431969,-2.698499,14.340969
1920,8.550274,-5.689826,12.824000
1921,9.904415,-8.229197,12.870313
1922,9.497088,-12.376626,14.193896
1923,10.164522,-15.454422,13.385032
1924,9.763497,-19.639919,12.868701
1925,10.898751,-22.249127,13.014308
1926,10.838698,-25.940351,12.436092
1927,10.861268,-29.437602,12.887570
1928,11.847910,-31.929855,13.026949
1929,12.070901,-35.109767,13.420206
1930,13.480625,-38.139529,13.064358
1931,13.269066,-41.910737,13.871244
1932,14.763612,-43.666783,13.854866
1933,15.192226,-46.295116,14.569566
1934,15.966063,-48.381948,13.602344
1935,15.567786,-51.461540,14.338881
1936,15.837493,-53.742343,14.445833
1937,16.205469,-55.833241,14.486906
1938,17.317053,-57.102854,15.263674
1939,16.988942,-59.710486,15.575444
1940,13.058130,-62.087836,16.109729
1941,11.824864,-63.864876,15.216079
1942,11.079057,-65.537931,14.594921
1943,10.807115,-66.856239,13.088980
1944,9.689301,-69.092708,14.130582
1945,8.593033,-71.360320,12.743319
1946,7.582135,-73.583819,12.767684
1947,7.380835,-75.031355,12.530917
1948,6.785984,-76.830892,12.092006
1949,6.513639,-78.191116,11.826659
1950,6.195604,-80.183892,12.942237
1951,4.802038,-81.427673,12.984556
1952,3.156096,-82.354336,14.302644
1953,1.736370,-82.905548,12.530294
1954,-0.297627,-84.163692,14.518307
1955,-1.789608,-84.582597,14.301398
1956,-3.502821,-82.961644,14.916913
1957,-4.112840,-79.938551,13.092718
1958,-5.937842,-77.962409,13.282110
1959,-83.170418,-77.775728,7.404431
1960,-74.302036,-79.703432,0.952200
1961,-72.199633,-81.737794,-2.950216
1962,-69.048923,-81.907731,-0.332838
1963,-63.382327,-82.056636,-0.527543
1964,-57.585696,-81.932976,-1.851822
1965,-56.447987,-82.363789,0.884746
1966,-56.570914,-82.676365,-1.224582
1967,-55.451159,-80.920979,-2.480125
1968,-53.407014,-81.871970,-1.843542
1969,-54.433703,-83.050789,-1.884285
1970,-52.444371,-85.087167,-1.181164
1971,-48.286390,-86.402396,-3.842693
1972,-47.352364,-87.443009,-3.502234
1973,-45.647578,-84.227702,-4.249104
1974,-42.944608,-81.800632,-3.080728
1975,-40.632917,-83.423821,-4.974173
1976,-39.535220,-82.678270,-4.775511
1977,-38.064636,-84.361768,-3.875779
1978,-37.588023,-87.223205,-2.470415
1979,-36.964520,-88.941988,-2.447808
1980,-36.377071,-90.201524,-1.791293
1981,-35.625182,-91.193662,-2.357198
1982,-34.718122,-92.341704,-5.659561
1983,-33.668716,-93.503008,-6.418888
1984,-32.569552,-94.823624,-4.202168
1985,-31.313863,-95.392753,-3.295438
1986,-30.811272,-95.838845,-3.893879
1987,-27.854534,-96.270244,-2.594662
1988,-27.272618,-96.245073,-4.475576
1989,-24.814550,-96.514303,-3.779343
1990,-39.965373,-100.383964,3.970494
1991,-40.577188,-103.362759,3.043099
1992,-19.370872,-107.602154,-6.716222
1993,-15.355531,-110.990438,-6.328058
1994,-15.477652,-85.396592,-10.293678
1995,-18.850217,-62.076331,-6.778290
1996,-19.220575,-73.254645,-1.655322
1997,-14.956485,-93.525908,-3.996508
1998,-19.543703,-97.268025,-3.522570
1999,-21.001645,-97.804031,-5.178441
2000,-20.246824,-99.515046,-4.692155
2001,-21.189681,-99.616832,-0.614892
2002,-16.597810,-94.595357,-1.579624
2003,-13.719518,-86.036729,-0.838103
2004,-13.734138,-84.770451,4.156442
2005,-16.162673,-82.629539,7.110798
2006,-14.307334,-78.925308,8.739153
2007,-13.164679,-85.363909,12.998883
2008,-13.516240,-83.745007,13.203884
2009,-16.762837,-82.482686,9.069279
2010,-12.653441,-85.756250,11.599015
2011,-14.450816,-82.032783,7.547510
2012,-9.780828,-85.987375,9.968462
2013,-8.328895,-82.545963,11.499830
2014,-6.192453,-82.910787,6.269690
2015,-7.143591,-85.517357,6.026987
2016,-4.832340,-82.170330,6.845451
2017,-4.333010,-81.222599,6.786094
2018,-9.062025,-78.895300,4.634704
2019,-8.792098,-76.872332,7.806372
2020,-8.653049,-74.997280,6.560832
2021,-8.358024,-75.005597,9.640350
2022,-8.088793,-75.005597,5.516445
