"Year","BLUE","H&C2023","OSCAR"
1850,-0.256517,0.071595,-6.538225
1851,-0.264431,0.074049,-5.997492
1852,-0.271905,0.076504,-5.404327
1853,-0.279050,0.079032,-4.881034
1854,-0.285865,0.081597,-4.428164
1855,-0.292351,0.084199,-4.036995
1856,-0.298543,0.086837,-3.698955
1857,-0.304332,0.089512,-3.406677
1858,-0.309828,0.092223,-3.153788
1859,-0.314957,0.094971,-2.934864
1860,-0.325400,0.097792,-2.745362
1861,-0.332508,0.100613,-2.582094
1862,-0.338114,0.103508,-2.440664
1863,-0.342877,0.106439,-2.317883
1864,-0.347127,0.109370,-2.211151
1865,-0.351048,0.112375,-2.118342
1866,-0.354675,0.115453,-2.037550
1867,-0.358156,0.118494,-1.967128
1868,-0.361490,0.121645,-1.905683
1869,-0.364678,0.124796,-1.852042
1870,-0.347237,0.128020,-1.813057
1871,-0.337711,0.131244,-1.809393
1872,-0.331629,0.134542,-1.813387
1873,-0.327525,0.137840,-1.817014
1874,-0.324594,0.141211,-1.819652
1875,-0.322432,0.144618,-1.821448
1876,-0.320820,0.148062,-1.822547
1877,-0.319757,0.151580,-1.822987
1878,-0.319134,0.155097,-1.822877
1879,-0.318915,0.158651,-1.822327
1880,-0.318402,0.162279,-1.824122
1881,-0.318035,0.165906,-1.835847
1882,-0.317815,0.169607,-1.848195
1883,-0.317852,0.173344,-1.858637
1884,-0.318145,0.177118,-1.867211
1885,-0.318658,0.180928,-1.874099
1886,-0.319501,0.184776,-1.879595
1887,-0.320563,0.188659,-1.883882
1888,-0.321919,0.192616,-1.887107
1889,-0.323421,0.196574,-1.889415
1890,-0.333314,0.200604,-1.891687
1891,-0.338920,0.204634,-1.896413
1892,-0.342950,0.208738,-1.900847
1893,-0.346321,0.212878,-1.904291
1894,-0.349399,0.217055,-1.906746
1895,-0.352367,0.221269,-1.908394
1896,-0.355371,0.225519,-1.909274
1897,-0.358412,0.229806,-1.909494
1898,-0.361527,0.234166,-1.909127
1899,-0.364715,0.238526,-1.908211
1900,-0.377026,0.242960,-1.906892
1901,-0.384683,0.247393,-1.927374
1902,-0.390399,0.251900,-1.915429
1903,-0.395162,0.256443,-1.888975
1904,-0.399486,0.261023,-1.900590
1905,-0.403553,0.265640,-1.903521
1906,-0.407510,0.270293,-1.908834
1907,-0.411467,0.275020,-1.898099
1908,-0.415424,0.279746,-1.915722
1909,-0.419418,0.284510,-1.927154
1910,-0.481120,0.289346,-1.865342
1911,-0.522999,0.294219,-1.733145
1912,-0.555059,0.299129,-1.619708
1913,-0.581184,0.304039,-1.498320
1914,-0.603314,0.309058,-1.410530
1915,-0.622514,0.314078,-1.331095
1916,-0.639478,0.319134,-1.246529
1917,-0.654610,0.324227,-1.171820
1918,-0.668240,0.329394,-1.104549
1919,-0.680515,0.334560,-1.054279
1920,-0.618740,0.339799,-1.039843
1921,-0.577630,0.345076,-1.191826
1922,-0.546632,0.350352,-1.365426
1923,-0.521607,0.355701,-1.508615
1924,-0.500612,0.361087,-1.639310
1925,-0.482585,0.366547,-1.736113
1926,-0.466977,0.372006,-1.826211
1927,-0.453420,0.377502,-1.907845
1928,-0.441659,0.383071,-1.971012
1929,-0.431509,0.388677,-2.020220
1930,-0.442611,0.394283,-2.068181
1931,-0.444736,0.399962,-2.115777
1932,-0.443820,0.405678,-2.151940
1933,-0.441842,0.411431,-2.176086
1934,-0.439753,0.417220,-2.222766
1935,-0.437885,0.423082,-2.266477
1936,-0.436529,0.428944,-2.276260
1937,-0.435686,0.434844,-2.297108
1938,-0.435430,0.440816,-2.303923
1939,-0.435686,0.446825,-2.323819
1940,-0.462617,0.452834,-2.333785
1941,-0.477529,0.458916,-2.348734
1942,-0.487312,0.465035,-2.361155
1943,-0.494530,0.471190,-2.352068
1944,-0.500502,0.477419,-2.376214
1945,-0.505888,0.483648,-2.370571
1946,-0.510981,0.489950,-2.394900
1947,-0.516074,0.496948,-2.412561
1948,-0.521167,0.506365,-2.378449
1949,-0.526407,0.520325,-2.362474
1950,-0.044921,0.541466,-2.564653
1951,0.243766,0.572793,-3.556462
1952,0.429970,0.616395,-4.679881
1953,0.550956,0.672454,-5.734343
1954,0.624126,0.740091,-6.713950
1955,0.672088,0.817475,-7.585176
1956,0.710413,0.901784,-8.190212
1957,0.757862,0.990709,-8.974052
1958,0.824180,1.081540,-9.707768
1959,0.902736,1.303871,-10.318264
1960,0.283740,1.437460,-10.926048
1961,0.541026,1.565664,-9.710369
1962,0.730931,1.708010,-8.551959
1963,1.053290,1.821704,-7.435465
1964,1.016210,1.793894,-6.338024
1965,1.074944,1.802541,-5.562025
1966,1.072892,1.856988,-4.850073
1967,1.609815,1.900407,-4.142262
1968,1.983287,2.006003,-3.645790
1969,2.051437,2.148680,-3.202666
1970,2.224451,2.373576,-2.780207
1971,2.462464,2.594149,-2.426228
1972,2.733307,2.885547,-2.122152
1973,3.360694,3.092489,-1.891577
1974,2.976707,3.341788,-1.679797
1975,3.435696,3.526747,-1.491541
1976,3.359998,3.669459,-1.338606
1977,3.302033,3.735082,-1.212454
1978,3.327462,3.833240,-1.095536
1979,3.368132,3.852806,-0.991478
1980,3.346295,3.904102,-0.870640
1981,3.478235,4.470117,-0.749691
1982,7.608259,5.085742,-0.739798
1983,8.285110,6.027243,-1.292220
1984,10.161371,7.015388,-2.519037
1985,9.866932,8.298264,-3.865227
1986,11.139403,9.088552,-5.428399
1987,10.426278,9.858322,-7.303634
1988,10.526525,10.469624,-9.053634
1989,11.921630,11.103569,-10.448922
1990,12.093582,11.119068,-11.466451
1991,8.920704,10.853061,-11.815301
1992,6.544783,10.281147,-12.041699
1993,4.196306,9.359725,-12.885006
1994,3.040094,8.143643,-13.564531
1995,2.234967,7.038691,-14.956998
1996,1.739374,6.070882,-16.826847
1997,1.448086,5.230140,-18.356493
1998,1.280495,4.503312,-20.139579
1999,1.190177,3.907253,-20.825663
2000,1.251073,3.439836,-20.319372
2001,1.158337,2.995173,-19.413960
2002,2.228775,2.546553,-17.629409
2003,0.605329,2.128088,-15.373081
2004,0.682273,1.713799,-13.319959
2005,-0.042026,1.283719,-11.522584
2006,0.448254,0.895152,-10.023202
2007,-0.721368,0.544031,-8.684889
2008,-1.945401,0.268644,-7.480899
2009,-1.804264,0.078373,-6.492828
2010,-1.558812,-0.034698,-5.667585
2011,-1.640336,-0.108491,-4.788701
2012,-1.754067,0.365850,-4.165858
2013,5.977450,0.888044,-3.681331
2014,3.829686,1.253967,-3.339223
2015,1.506967,1.710025,-2.966484
2016,1.480769,2.192025,-2.623717
2017,3.676641,1.630846,-2.359982
2018,3.486772,1.416099,-2.117096
2019,3.502088,1.177133,-1.857648
2020,3.668690,0.938167,-1.645722
2021,3.854015,0.938167,-1.488756
2022,3.962469,0.938167,-1.319663
