"Year","BLUE","H&C2023","OSCAR"
1850,0.768597,-0.023999,0.152459
1851,0.803185,-0.023779,0.158395
1852,0.816083,-0.023596,0.161363
1853,0.818794,-0.023376,0.163891
1854,0.816449,-0.023156,0.166162
1855,0.811686,-0.022900,0.168324
1856,0.805787,-0.022680,0.170266
1857,0.799265,-0.022460,0.172098
1858,0.791974,-0.022240,0.173784
1859,0.783876,-0.022057,0.175286
1860,0.779113,-0.021837,0.176898
1861,0.768634,-0.021618,0.179023
1862,0.760903,-0.021434,0.181038
1863,0.754711,-0.021215,0.182907
1864,0.750167,-0.020995,0.184666
1865,0.746430,-0.020848,0.186241
1866,0.743242,-0.020628,0.187707
1867,0.740788,-0.020408,0.189099
1868,0.737636,-0.020225,0.190418
1869,0.734705,-0.020042,0.191627
1870,0.794025,-0.019859,0.195877
1871,0.822824,-0.019676,0.201740
1872,0.840448,-0.019492,0.205697
1873,0.851294,-0.019273,0.209214
1874,0.858512,-0.019126,0.212365
1875,0.863568,-0.018943,0.215370
1876,0.867086,-0.018723,0.218118
1877,0.870017,-0.018576,0.220646
1878,0.870969,-0.018357,0.223028
1879,0.872252,-0.018210,0.225226
1880,0.961507,-0.018027,0.231675
1881,1.005695,-0.017844,0.240285
1882,1.034311,-0.017660,0.246184
1883,1.053803,-0.017514,0.251350
1884,1.067030,-0.017331,0.256150
1885,1.077656,-0.017184,0.260584
1886,1.087109,-0.017038,0.264761
1887,1.092458,-0.016928,0.268644
1888,1.096672,-0.016891,0.272235
1889,1.100885,-0.016854,0.275606
1890,1.230921,-0.016781,0.285536
1891,1.304824,-0.016854,0.298689
1892,1.352016,-0.017404,0.307556
1893,1.642351,-0.018210,0.315617
1894,1.495535,-0.018906,0.322945
1895,1.468311,-0.019053,0.328991
1896,1.464208,-0.018796,0.334633
1897,1.465380,-0.018540,0.340019
1898,1.469447,-0.018064,0.345112
1899,1.473258,-0.014143,0.350462
1900,3.888310,-0.003371,0.562790
1901,4.628182,0.021251,0.854262
1902,5.502778,0.066648,1.065235
1903,6.235212,0.135238,1.147272
1904,6.189229,0.228121,1.265362
1905,6.820023,0.346761,1.401040
1906,7.153520,0.488631,1.593657
1907,6.822771,0.647062,1.827273
1908,7.412565,0.817915,1.928949
1909,7.615148,0.996864,2.003915
1910,4.649286,1.179405,1.877653
1911,3.123010,1.363008,1.562110
1912,2.193710,1.547564,1.389059
1913,1.558666,1.731753,1.259647
1914,1.092825,1.914110,1.067140
1915,0.733020,2.093353,1.015697
1916,0.443491,2.269848,0.939120
1917,0.203718,2.443228,0.880239
1918,0.000806,2.611186,0.776805
1919,-0.173747,2.772182,0.821249
1920,2.395303,2.924898,1.004302
1921,3.787110,3.070322,1.414854
1922,4.686769,3.210104,1.605931
1923,5.329838,3.343547,1.857648
1924,5.821730,3.470504,2.043156
1925,6.213375,3.591196,2.273292
1926,6.788842,3.705623,2.489358
1927,7.147401,3.813528,2.552562
1928,7.565391,3.914544,2.802117
1929,8.314056,4.008782,3.018660
1930,8.146208,4.096352,3.143052
1931,8.458674,4.177400,3.251250
1932,8.540857,4.252035,3.247367
1933,8.390963,4.319490,3.308958
1934,8.716070,4.379103,3.522460
1935,8.391879,4.432854,3.532975
1936,8.988232,4.481292,3.660336
1937,8.329738,4.522585,3.880872
1938,9.035900,4.556624,3.908865
1939,9.000469,4.583847,3.979544
1940,12.117508,4.604292,4.264859
1941,14.471115,4.617922,4.827393
1942,15.711892,4.624737,4.955047
1943,15.632419,4.624664,5.079000
1944,16.455427,4.617666,5.488562
1945,15.997244,4.603633,5.639592
1946,16.590995,4.582858,5.736468
1947,16.177439,4.555415,5.945426
1948,16.929036,4.521339,6.065642
1949,16.611257,4.480559,6.213961
1950,16.256582,4.432890,5.895413
1951,14.661643,4.378443,5.773145
1952,14.119480,4.317218,5.704225
1953,14.642846,4.249214,5.745335
1954,14.153189,4.174432,5.648496
1955,14.217419,4.092871,5.489258
1956,14.012968,4.004532,5.425505
1957,14.921896,3.909451,5.161697
1958,14.507571,3.807629,4.970143
1959,14.694802,3.691700,4.757594
1960,10.404148,3.573646,4.362578
1961,8.278185,3.449656,4.167031
1962,12.977155,3.318192,4.438240
1963,9.350638,3.180792,4.448462
1964,13.894657,3.044674,4.340484
1965,9.251234,2.897528,4.345321
1966,13.025960,2.742321,4.398302
1967,19.618558,2.579493,4.930938
1968,7.345221,2.410106,4.956879
1969,3.492745,2.235626,3.512970
1970,6.879563,2.053452,3.735155
1971,4.243462,1.862338,3.523376
1972,6.100230,1.668512,3.545543
1973,7.683115,1.453436,3.517367
1974,5.030965,1.287530,3.190575
1975,3.790958,1.028375,2.861144
1976,-1.535399,0.781165,2.550254
1977,-1.580503,0.561545,2.084889
1978,-1.241766,0.452394,1.703137
1979,-1.089710,0.378674,1.721970
1980,-0.201703,0.255711,1.685184
1981,0.358889,0.228084,1.492787
1982,-0.139855,0.182504,1.442444
1983,-0.076944,0.086507,1.397230
1984,-0.044994,0.106439,1.165775
1985,0.308729,0.250178,1.079304
1986,0.316240,0.421836,1.071573
1987,0.887054,0.681467,1.073662
1988,0.406631,0.847850,1.015148
1989,0.639368,0.997451,1.066590
1990,-2.005197,1.557237,1.057101
1991,1.774219,2.202430,0.895665
1992,2.286446,3.175589,1.195600
1993,6.905248,4.241043,1.632312
1994,1.439696,5.901458,1.808697
1995,8.632274,5.551143,2.180776
