"Year","Bioenergy","Other","Biofuels","Nuclear","Hydro","Solar","Wind","Gas","Oil","Coal"
1965,"NaN",0.060357,0.009741,0.078178,2.944939,0,0,6.800424,19.414244,17.411655
1966,"NaN",0.065246,0.009733,0.103257,3.074459,0,0,7.259170,20.452447,17.251774
1967,"NaN",0.064588,0.009720,0.120525,3.080549,0,0,7.638337,21.487737,16.636391
1968,"NaN",0.070067,0.009697,0.150089,3.179278,0,0,8.164996,22.836525,16.545604
1969,"NaN",0.072145,0.009669,0.174311,3.298058,0,0,8.783053,24.224576,16.702902
1970,"NaN",0.078264,0.013153,0.218031,3.383766,0,0,9.366629,25.835797,16.618269
1971,6.648909,0.083397,0.012950,0.297238,3.465153,0,0,9.828626,26.756398,16.200042
1972,6.643749,0.087455,0.013879,0.404306,3.556773,0,0,10.170151,28.220696,16.066136
1973,6.642502,0.092057,0.013086,0.531309,3.538238,0,0,10.448364,29.900668,16.224535
1974,6.644400,0.096294,0.012916,0.681597,3.813196,0,0,10.505652,28.941159,15.931701
1975,6.627893,0.095672,0.012109,0.928389,3.790106,0,0,10.314711,28.084700,15.945285
1976,6.657469,0.104781,0.011950,1.066930,3.708485,0,0,10.736235,29.358165,16.241026
1977,6.676123,0.108678,0.015643,1.304932,3.766592,0,0,10.896090,29.853870,16.430840
1978,6.697418,0.113318,0.019452,1.490218,4.006231,0,0.000007,11.156654,30.673795,16.329615
1979,6.722220,0.119172,0.023109,1.522951,4.133590,0,0.000015,11.642184,30.605610,16.792429
1980,6.737261,0.124581,0.026559,1.636438,4.147987,0,0.000025,11.533072,28.778187,16.896324
1981,6.738290,0.131208,0.023669,1.898126,4.161727,0,0.000025,11.454014,27.265214,16.827650
1982,6.768312,0.149401,0.029341,2.022130,4.160378,0,0.000043,11.304518,25.943891,16.707439
1983,6.784468,0.162488,0.037612,2.250791,4.260368,0.000007,0.000074,11.281992,25.287029,16.915771
1984,6.883619,0.178137,0.043574,2.683401,4.327249,0.000014,0.000100,11.987357,25.387904,17.338092
1985,6.868924,0.180051,0.050656,3.128395,4.333720,0.000026,0.000141,12.041802,24.929715,17.762437
1986,6.834328,0.191769,0.061238,3.290930,4.314063,0.000033,0.000299,11.942473,25.245423,17.641981
1987,6.896369,0.201706,0.060938,3.515264,4.293530,0.000022,0.000413,12.341800,25.283892,18.005358
1988,6.854183,0.204022,0.062821,3.764245,4.352302,0.000021,0.000688,12.688254,25.638684,18.214402
1989,6.842606,0.222153,0.065946,3.803505,4.254205,0.000534,0.005400,13.017436,25.612201,18.066955
1990,6.845568,0.244591,0.072216,3.844153,4.322910,0.000778,0.007274,13.192200,25.513763,17.543411
1991,6.825176,0.250918,0.073734,3.960959,4.349042,0.000995,0.008046,13.299843,25.079689,17.085693
1992,6.830338,0.265300,0.071307,3.928218,4.280129,0.000904,0.009172,13.149950,25.002304,16.751425
1993,6.731036,0.269955,0.073869,4.001756,4.468940,0.001062,0.010887,13.080522,24.502459,16.581132
1994,6.712748,0.276422,0.078971,4.016885,4.430907,0.001123,0.013411,12.966992,24.663861,16.400743
1995,6.712128,0.284739,0.082241,4.130918,4.603559,0.001184,0.015333,13.228848,24.735042,16.276392
1996,6.728382,0.288196,0.077816,4.220273,4.599746,0.001278,0.016841,13.694650,24.927225,16.429798
1997,6.708001,0.304714,0.079347,4.133533,4.616298,0.001351,0.021678,13.427524,25.265874,16.176214
1998,6.656088,0.312992,0.080294,4.147902,4.589111,0.001443,0.028321,13.488923,25.055090,15.857019
1999,6.647297,0.324028,0.080351,4.248651,4.562531,0.001588,0.037240,13.688556,25.145958,15.713767
2000,6.555627,0.334685,0.077819,4.287216,4.582097,0.001834,0.054377,14.047934,25.162383,16.062170
2001,6.424642,0.343027,0.075894,4.322115,4.377135,0.002417,0.065146,14.049776,25.062482,16.099804
2002,6.434114,0.364536,0.090680,4.306420,4.371820,0.002995,0.087196,14.274843,24.908684,16.517727
2003,6.483162,0.379925,0.100405,4.138690,4.283122,0.003683,0.103336,14.486722,25.140842,17.739128
2004,6.514648,0.405476,0.116864,4.244878,4.512127,0.004761,0.137158,14.854817,25.787915,18.726456
2005,6.541172,0.433656,0.135326,4.175928,4.576095,0.006582,0.164456,15.061782,25.738242,19.862237
2006,6.570075,0.456023,0.166150,4.148723,4.661395,0.008888,0.205909,15.264979,25.686812,20.635347
2007,6.556664,0.488769,0.212670,3.987989,4.650114,0.011833,0.259570,15.690969,25.661019,21.533389
2008,6.521472,0.516177,0.284585,3.901253,4.829249,0.018859,0.328834,15.869138,25.124221,21.552695
2009,6.414896,0.547524,0.318680,3.774264,4.731450,0.030713,0.403413,15.345690,24.261176,20.949943
2010,6.474951,0.604966,0.360620,3.799690,4.906400,0.048508,0.495498,16.281672,24.721857,21.612297
2011,6.370181,0.627246,0.374286,3.573717,4.903956,0.092175,0.618742,16.464752,24.589617,22.341661
2012,6.422444,0.671057,0.383275,3.267567,5.019560,0.139927,0.731193,16.690291,24.688178,22.128984
2013,6.463355,0.715998,0.411434,3.233681,5.126081,0.187544,0.859969,16.753234,24.622138,22.179462
2014,6.419768,0.765671,0.431111,3.240439,5.168088,0.262139,0.938049,16.666885,24.494417,22.004216
2015,6.345187,0.818561,0.442561,3.226024,5.064249,0.334156,1.085281,16.863293,24.704512,21.168695
2016,6.352042,0.821647,0.456969,3.217015,5.149180,0.421249,1.234104,17.053796,24.911674,20.466497
2017,6.390125,0.865057,0.461412,3.189996,5.132349,0.561590,1.439052,17.299877,25.042592,20.430416
2018,6.457017,0.924854,0.491895,3.211888,5.193509,0.713697,1.573673,17.970426,25.021311,20.518968
2019,6.486605,0.960795,0.521390,3.278632,5.185697,0.861851,1.736136,18.108260,24.809717,20.183593
2020,6.501551,1.002137,0.492992,3.111448,5.256108,1.030207,1.921993,17.723899,22.318043,19.390527
2021,6.606106,1.062942,0.520190,3.202997,5.107977,1.261628,2.208255,18.511685,23.372343,20.284151
2022,6.559839,1.089604,0.541328,3.025468,5.100791,1.556551,2.477129,17.791234,23.910722,20.247324
