"Year","Bunkers","All others","India","China","EU27","USA"
1959,0.213369,3.047274,0.101447,0.720152,1.940496,2.831923
1960,0.238100,3.241510,0.111325,0.798800,2.099371,2.897315
1961,0.263219,3.374271,0.120404,0.570630,2.198986,2.886873
1962,0.272902,3.533661,0.132582,0.459618,2.353890,2.993902
1963,0.285689,3.742457,0.142444,0.456779,2.512190,3.126487
1964,0.312976,4.002803,0.139488,0.460637,2.643400,3.264314
1965,0.323292,4.256651,0.153702,0.500286,2.676211,3.399547
1966,0.349819,4.473908,0.159373,0.549459,2.757727,3.571421
1967,0.374271,4.717480,0.159556,0.460226,2.819335,3.705461
1968,0.395871,5.005395,0.174069,0.495507,2.992575,3.840920
1969,0.414405,5.334974,0.177413,0.607683,3.191218,4.035145
1970,0.436857,5.801255,0.181723,0.807953,3.330682,4.339686
1971,0.461312,6.150284,0.191964,0.909210,3.424552,4.365465
1972,0.491921,6.432061,0.203036,0.968646,3.554761,4.573015
1973,0.526351,6.826736,0.209095,1.008293,3.727923,4.785103
1974,0.488901,6.946750,0.215853,1.028100,3.708678,4.621100
1975,0.447467,7.070825,0.234209,1.183215,3.635988,4.478275
1976,0.438734,7.415813,0.244749,1.226421,3.911710,4.747817
1977,0.448916,7.683107,0.258962,1.340831,3.873171,4.889665
1978,0.455641,7.907300,0.263150,1.492778,4.003664,4.941423
1979,0.457282,8.221997,0.276285,1.525661,4.113135,5.008642
1980,0.446260,8.363916,0.291711,1.494496,4.077501,4.808556
1981,0.411955,8.263739,0.314966,1.476488,3.863381,4.686420
1982,0.372919,8.341780,0.325380,1.606585,3.771411,4.447298
1983,0.358049,8.423527,0.352199,1.694217,3.728486,4.429423
1984,0.359347,8.650226,0.361559,1.844828,3.763594,4.662174
1985,0.367023,9.069219,0.397592,1.998083,3.820581,4.652633
1986,0.393265,9.215034,0.426309,2.104213,3.805261,4.663430
1987,0.527033,9.340321,0.455343,2.257739,3.839636,4.825712
1988,0.545008,9.766355,0.491692,2.425894,3.797893,5.050543
1989,0.564672,9.842749,0.540651,2.463654,3.835037,5.132206
1990,0.548852,10.149613,0.577996,2.484855,3.870427,5.120957
1991,0.543689,10.596810,0.615365,2.606096,3.804558,5.062957
1992,0.554550,9.773563,0.655447,2.730788,3.678623,5.174228
1993,0.558100,9.758612,0.677299,2.921651,3.609838,5.272851
1994,0.585276,9.676655,0.714064,3.103739,3.590762,5.364279
1995,0.618332,9.721744,0.760462,3.361637,3.637058,5.425260
1996,0.669645,9.913184,0.823621,3.508818,3.721912,5.612983
1997,0.704244,9.974423,0.858011,3.515594,3.655535,5.688143
1998,0.747168,9.964304,0.875772,3.364588,3.645832,5.733281
1999,0.774138,10.157344,0.950460,3.557275,3.590361,5.803918
2000,0.784586,10.478330,0.977526,3.649201,3.601509,6.010136
2001,0.779067,10.610375,0.990970,3.728513,3.658265,5.907740
2002,0.798401,10.719968,1.021664,4.103043,3.658905,5.946308
2003,0.830915,11.164228,1.059160,4.841119,3.743083,6.010145
2004,0.903401,11.507695,1.125096,5.217351,3.753995,6.112655
2005,0.939524,11.717723,1.185674,5.882143,3.734855,6.132183
2006,0.991839,12.029892,1.292485,6.494338,3.744527,6.052686
2007,1.049062,12.236222,1.392506,6.983577,3.708245,6.130123
2008,1.059104,12.452386,1.489438,7.501498,3.624359,5.915118
2009,1.014988,12.163723,1.612216,7.891089,3.330523,5.480726
2010,1.079749,12.817455,1.677337,8.620627,3.431445,5.679715
2011,1.108283,13.154036,1.764712,9.532409,3.330913,5.546116
2012,1.096656,13.531228,1.925700,9.779354,3.258429,5.344086
2013,1.112683,13.509628,1.995098,9.956376,3.178525,5.480157
2014,1.120414,13.628501,2.148344,9.998674,3.041581,5.528681
2015,1.160088,13.732721,2.234220,9.866951,3.092762,5.376473
2016,1.173679,13.815731,2.354658,9.765030,3.097996,5.252932
2017,1.226143,14.029606,2.426607,10.011152,3.119782,5.212162
2018,1.261421,14.134495,2.593058,10.353934,3.046239,5.377797
2019,1.264191,14.275676,2.612888,10.721042,2.904162,5.262145
2020,0.858777,13.468799,2.421552,10.914012,2.629971,4.714628
2021,0.908013,14.060099,2.674222,11.336234,2.805762,5.032213
2022,1.049341,14.054811,2.829644,11.396777,2.761907,5.057304
2023,1.174517,13.994446,3.062750,11.854945,2.557225,4.903295
