"Year","deforestation_tot mean","deforestation_tot min","deforestation_tot max","forest_regrowth_tot mean","forest_regrowth_tot min","forest_regrowth_tot max","wood_harvest mean","wood_harvest min","wood_harvest max","other_transitions mean","other_transitions min","other_transitions max","peat_emissions mean","peat_emissions min","peat_emissions max"
1959,7.551260,4.608946,11.076822,-2.893400,-3.921176,-2.018937,0.482329,-0.776805,1.875272,1.617534,1.398329,1.841966,1.015539,0.524392,1.571453
1960,6.959170,4.739750,9.269737,-2.930223,-3.939789,-2.046417,0.498646,-0.796297,1.919606,1.578317,1.437460,1.732449,0.725264,0.524392,0.887567
1961,6.734896,4.811565,8.762822,-2.961086,-3.985736,-2.077598,0.513473,-0.814361,1.985265,1.455719,1.439622,1.483041,0.806336,0.524392,1.083848
1962,6.590083,4.890671,8.302184,-3.003393,-4.035420,-2.111014,0.522584,-0.834513,2.029050,1.422401,1.343552,1.479780,0.542333,0.335476,0.767132
1963,6.472908,4.893748,7.985065,-3.039801,-4.080817,-2.141535,0.527872,-0.853968,2.063345,1.354031,1.287383,1.465124,0.562229,0.382228,0.780066
1964,6.377485,4.893016,7.726680,-3.068698,-4.104779,-2.172532,0.545631,-0.860674,2.099802,1.281899,1.178489,1.370996,0.598771,0.453383,0.818538
1965,6.100597,4.780091,7.120324,-3.103909,-4.151129,-2.196312,0.559700,-0.858219,2.123251,1.157787,1.078462,1.298448,0.491379,0.247613,0.702132
1966,5.981382,4.707507,6.923788,-3.132598,-4.170182,-2.201295,0.572024,-0.854078,2.152820,1.095341,1.051605,1.177353,0.518383,0.307226,0.723530
1967,5.983165,4.621220,7.070860,-3.133660,-4.158530,-2.222949,0.577422,-0.844149,2.182315,1.179417,1.059226,1.295444,0.564317,0.418099,0.750460
1968,5.982469,4.573148,7.086286,-3.150283,-4.158164,-2.241269,0.594191,-0.838909,2.201441,1.239348,1.055708,1.587941,0.566613,0.468369,0.707079
1969,5.903938,4.611620,6.841677,-3.198501,-4.209863,-2.267063,0.601763,-0.832168,2.208916,1.060643,1.042518,1.081100,0.543701,0.392817,0.713894
1970,5.942629,4.604622,6.937418,-3.222476,-4.257128,-2.280987,0.605183,-0.831398,2.227456,0.969592,0.793512,1.090956,0.819258,0.524392,1.071317
1971,5.933091,4.596305,6.935769,-3.226067,-4.248664,-2.307221,0.614428,-0.815716,2.237898,0.926955,0.667434,1.126057,0.570912,0.451478,0.736867
1972,5.957908,4.555744,7.108929,-3.251397,-4.231883,-2.327300,0.615699,-0.808791,2.235480,0.931938,0.753172,1.127743,0.568067,0.457414,0.722394
1973,5.966677,4.548087,7.072729,-3.276105,-4.216898,-2.357381,0.615613,-0.796810,2.242808,0.827221,0.484454,1.176950,0.561923,0.480204,0.681174
1974,5.853277,4.505767,6.831088,-3.267555,-4.204880,-2.380574,0.626666,-0.787284,2.232732,0.782056,0.360574,1.181457,0.569740,0.448290,0.736537
