"Year","Coal","Oil","Gas","Others","Land-use change"
1850,0.196752,0,0,0,2.643246
1851,0.198668,0,0,0,2.732904
1852,0.207414,0,0,0,2.780219
1853,0.217120,0,0,0,2.839539
1854,0.255033,0,0,0,2.875177
1855,0.260068,0.000037,0,0,2.885278
1856,0.277256,0.000040,0,0,2.901228
1857,0.279881,0.000051,0,0,2.940482
1858,0.284163,0.000062,0,0,2.960146
1859,0.301426,0.000055,0,0,3.009365
1860,0.330685,0.000278,0,0,2.855062
1861,0.346839,0.000947,0,0,2.751994
1862,0.353085,0.001404,0,0,2.727225
1863,0.376882,0.001298,0,0,2.713937
1864,0.406611,0.001115,0,0,2.687471
1865,0.431535,0.001324,0,0,2.640217
1866,0.444581,0.001973,0,0,2.658366
1867,0.476154,0.002006,0,0,2.670812
1868,0.489251,0.002301,0,0,2.641842
1869,0.519320,0.002634,0,0,2.626355
1870,0.530183,0.003155,0,0,2.853340
1871,0.563572,0.003320,0,0,2.954442
1872,0.623566,0.003735,0,0,3.003943
1873,0.660789,0.005692,0,0,3.071287
1874,0.617965,0.006267,0,0,3.129374
1875,0.671256,0.005858,0,0,3.152335
1876,0.680220,0.006560,0,0,3.182599
1877,0.691561,0.008843,0,0,3.241064
1878,0.695906,0.010067,0,0,3.299994
1879,0.743307,0.012683,0,0,3.330613
1880,0.838524,0.015392,0,0.000000,3.373640
1881,0.866278,0.017266,0,0.000000,3.339467
1882,0.914231,0.018964,0.000165,0.000000,3.405419
1883,0.975842,0.016530,0.000381,0.000000,3.475560
1884,0.984619,0.018342,0.001172,0.000000,3.483597
1885,0.988945,0.018976,0.003715,0.000000,3.477759
1886,0.997900,0.021841,0.007676,0.000000,3.525831
1887,1.043464,0.023495,0.011787,0.000001,3.583563
1888,1.152984,0.024594,0.016774,0.000001,3.592967
1889,1.153973,0.028424,0.012227,0.000001,3.585053
1890,1.254007,0.034667,0.011688,0.000001,3.848922
1891,1.311956,0.040846,0.008947,0.000001,3.955886
1892,1.324399,0.040222,0.007775,0.000001,3.998364
1893,1.305624,0.042565,0.007288,0.000001,4.075540
1894,1.354596,0.041724,0.006698,0.000001,4.111423
1895,1.431833,0.048557,0.007042,0.000001,4.151446
1896,1.476926,0.052591,0.006848,0.000001,4.193656
1897,1.546389,0.055554,0.007288,0.000001,4.207738
1898,1.631507,0.057198,0.008460,0.000001,4.239016
1899,1.782736,0.060068,0.010904,0.000001,4.298519
1900,1.873319,0.067347,0.011542,0.000001,4.377320
1901,1.929101,0.074781,0.012861,0.000002,4.417966
1902,1.973146,0.080840,0.013696,0.000002,4.486312
1903,2.153965,0.085605,0.014528,0.000003,4.496058
1904,2.166616,0.096130,0.015165,0.000003,4.583285
1905,2.311083,0.097082,0.017170,0.000004,4.597966
1906,2.415614,0.097960,0.019027,0.000004,4.623968
1907,2.746872,0.119510,0.019877,0.000005,4.666470
1908,2.625935,0.128881,0.019676,0.000115,4.705248
1909,2.730045,0.134464,0.023523,0.000116,4.745857
1910,2.862503,0.144189,0.024915,0.000135,4.642703
1911,2.898434,0.152928,0.025718,0.000148,4.608445
1912,3.047816,0.157309,0.028315,0.000177,4.549796
1913,3.291915,0.182140,0.029598,0.000203,4.538633
1914,2.961655,0.186143,0.030136,0.000147,4.536374
1915,2.902744,0.197664,0.031866,0.000160,4.490195
1916,3.129284,0.215302,0.038377,0.000181,4.442881
1917,3.257807,0.239469,0.040509,0.000148,4.428371
1918,3.209438,0.245061,0.036519,0.000120,4.455424
1919,2.715307,0.273426,0.037948,0.000125,4.413312
1920,3.125913,0.351333,0.041685,0.000149,4.608408
1921,2.668378,0.384909,0.034992,0.000130,4.731824
1922,2.770647,0.426946,0.040107,0.000193,4.794063
1923,3.146399,0.474386,0.052526,0.000208,4.787981
1924,3.152611,0.471969,0.059709,0.000216,4.806960
1925,3.151386,0.494216,0.063923,0.014429,4.874732
1926,3.081691,0.492446,0.069146,0.014740,4.858305
1927,3.361453,0.540275,0.076019,0.015448,4.866830
1928,3.305244,0.552377,0.082625,0.035583,4.875074
1929,3.522153,0.606125,0.102896,0.036873,4.889083
1930,3.213992,0.582546,0.104225,0.035561,4.963951
1931,2.830445,0.563841,0.092889,0.030894,5.035301
1932,2.519801,0.539439,0.088222,0.024694,5.091617
1933,2.635444,0.589772,0.090923,0.023839,5.112330
