"Year","China","USA","India","EU27","Russia","Japan","United Kingdom","All others"
1850,0,10.059837,0,27.542278,0.035287,0,62.184971,0.177627
1851,0,11.235141,0,28.194727,0.017558,0,60.381693,0.170882
1852,0,11.813722,0,29.157679,0.011517,0,58.848502,0.168579
1853,0,12.364002,0,30.117884,0.008467,0,57.334509,0.175137
1854,0,12.515342,0,30.630308,0.006458,0,56.663829,0.184062
1855,0,12.935359,0,31.465516,0.020969,0,55.374348,0.203808
1856,0,13.193810,0,32.032589,0.017362,0,54.538949,0.217290
1857,0,13.411607,0,32.602405,0.014794,0,53.741056,0.230138
1858,0,13.573769,0.018124,33.208955,0.026444,0,52.918093,0.254614
1859,0,13.751235,0.041605,33.365508,0.035880,0,52.521197,0.284575
1860,0,13.819813,0.059597,33.444756,0.046403,0,52.312044,0.317387
1861,0,13.744285,0.068784,33.683473,0.057963,0,52.093902,0.351594
1862,0,13.708025,0.077512,34.101318,0.065633,0,51.661120,0.386392
1863,0,13.784354,0.085657,34.371899,0.072034,0,51.271675,0.414380
1864,0,13.841475,0.090953,34.622159,0.078177,0,50.919395,0.447841
1865,0,13.818383,0.094614,34.917244,0.082292,0,50.603939,0.483528
1866,0,13.770586,0.098812,35.156881,0.107727,0,50.328813,0.537181
1867,0,13.894737,0.090456,35.375876,0.132797,0,49.917150,0.588982
1868,0,14.123366,0.083222,35.627454,0.148340,0.000179,49.394078,0.623361
1869,0,14.422970,0.076708,35.798251,0.169441,0.000440,48.882565,0.649626
1870,0,14.724250,0.071027,35.898230,0.189764,0.000661,48.435232,0.680835
1871,0,14.975911,0.065844,36.002191,0.217055,0.000943,48.016378,0.721678
1872,0,15.361358,0.060924,36.112364,0.239917,0.001266,47.465880,0.758290
1873,0,15.771038,0.056444,36.233938,0.256253,0.001617,46.895458,0.785252
1874,0,16.141127,0.052806,36.172387,0.278328,0.007565,46.528457,0.819330
1875,0,16.396383,0.049356,36.268757,0.301656,0.020965,46.108112,0.854770
1876,0,16.579298,0.046289,36.424943,0.331246,0.032361,45.695071,0.890792
1877,0,16.843565,0.043530,36.465466,0.357892,0.041408,45.319343,0.928797
1878,0,17.044199,0.055247,36.554359,0.394799,0.053974,44.926241,0.971181
1879,0,17.397013,0.064834,36.614232,0.427536,0.068412,44.419212,1.008762
1880,0,17.753375,0.074311,36.729418,0.462545,0.080955,43.835007,1.064389
1881,0,18.110119,0.082223,36.766971,0.495625,0.092322,43.333412,1.119330
1882,0,18.527917,0.091219,36.803410,0.526397,0.102721,42.769987,1.178349
1883,0,18.942379,0.100316,36.846570,0.559595,0.112745,42.195985,1.242410
1884,0,19.375157,0.109951,36.882113,0.589657,0.122950,41.610953,1.309221
1885,0,19.778267,0.117081,36.923792,0.621468,0.134093,41.051666,1.373632
1886,0,20.201258,0.124959,36.940919,0.651072,0.145276,40.502744,1.433773
1887,0,20.627295,0.133140,36.952655,0.679517,0.159118,39.948033,1.500241
1888,0,21.201867,0.141339,36.907725,0.704031,0.173850,39.299381,1.571807
1889,0,21.553596,0.151316,36.966097,0.730669,0.191713,38.767229,1.639381
1890,0,22.045634,0.161296,36.969957,0.759340,0.208983,38.155215,1.699574
1891,0,22.534008,0.171185,36.961867,0.789723,0.229241,37.544424,1.769551
1892,0,23.048903,0.181753,36.912118,0.820666,0.247217,36.952740,1.836603
1893,0,23.541209,0.192455,36.917629,0.860716,0.265366,36.310998,1.911627
1894,0,23.855198,0.202118,36.948273,0.897136,0.289560,35.822771,1.984943
1895,0,24.250296,0.214839,36.928465,0.938697,0.314569,35.294505,2.058629
1896,0,24.576489,0.227811,36.952376,0.976526,0.338912,34.793749,2.134138
1897,0,24.877507,0.240988,36.992351,1.021000,0.362145,34.294105,2.211903
1898,0,25.214695,0.254779,37.013369,1.069373,0.392548,33.759600,2.295635
1899,0,25.626869,0.268677,36.969635,1.123505,0.418602,33.208949,2.383763
1900,0,26.029802,0.285257,36.945882,1.183153,0.446481,32.642014,2.467410
