"Year","World","China","USA","EU27","India","RoW"
2000,2.705113,1.407006,14.168111,6.352689,0.530353,2.433002
2001,2.696207,1.476773,13.681619,6.467344,0.522990,2.427416
2002,2.718276,1.597997,13.746261,6.409195,0.530509,2.431255
2003,2.779024,1.849894,13.658547,6.514017,0.540098,2.450655
2004,2.880119,2.151257,13.791995,6.583197,0.576704,2.505839
2005,2.937220,2.428803,13.663886,6.563935,0.600948,2.524014
2006,2.982435,2.645645,13.424611,6.592889,0.623498,2.547216
2007,3.035276,2.856990,13.474064,6.485862,0.666796,2.571987
2008,3.032290,2.948283,13.019405,6.435002,0.695797,2.576270
2009,2.945952,3.056860,12.265408,6.031993,0.737403,2.478998
2010,3.049310,3.248353,12.570069,6.261117,0.758715,2.554991
2011,3.080905,3.480369,12.353759,6.061563,0.789342,2.572074
2012,3.086510,3.598288,11.922686,5.991123,0.821049,2.583550
2013,3.101981,3.707885,12.141864,5.937592,0.837359,2.565618
2014,3.097019,3.778976,12.167272,5.726820,0.882838,2.547290
2015,3.085979,3.799696,11.955094,5.796881,0.902666,2.531639
2016,3.087017,3.792960,11.849010,5.853482,0.932120,2.537847
2017,3.115915,3.916977,11.800096,5.927074,0.956553,2.545496
2018,3.166067,4.086062,12.145909,5.912737,0.999858,2.549462
2019,3.167150,4.262112,11.980967,5.806685,1.014650,2.521066
2020,3.024852,4.391206,11.038503,5.370686,0.952143,2.366738
2021,3.162381,4.637625,11.604114,5.659504,1.026379,2.451313
2022,3.171089,4.680229,11.870222,5.433178,1.076688,2.449019
