"Year","Coal","Oil","Gas","Cement","Flaring"
2000,65.667550,238.715188,84.160324,8.560925,4.227421
2001,56.010290,248.683805,88.274233,8.655330,4.188375
2002,58.578615,242.251677,87.872564,8.642742,3.942268
2003,59.183882,244.120450,91.563759,8.555680,3.902859
2004,58.253692,244.202106,93.193848,9.064842,3.928574
2005,62.071422,241.280279,94.907553,9.108285,3.931042
2006,59.520725,236.189082,92.312692,9.307099,4.230860
2007,61.413051,226.862758,89.180054,9.477921,4.527252
2008,56.224630,222.804963,91.985857,8.879584,4.802859
2009,45.205028,218.919321,90.678942,7.679229,4.518417
2010,49.121602,215.220619,96.098775,7.887542,4.119429
2011,42.130709,208.439416,87.628408,8.065248,3.887997
2012,46.798952,204.283473,90.402427,7.501860,3.315244
2013,49.560443,203.475782,91.015626,7.299551,3.058398
2014,39.554058,196.835776,76.290593,6.974620,2.966132
2015,38.042769,198.717737,81.258138,6.606094,2.865357
2016,35.924131,196.022212,88.940858,6.639023,2.875750
2017,39.939311,194.974615,89.162745,6.483218,2.823911
2018,35.137881,188.515789,84.658132,6.701300,2.913080
2019,29.450610,186.420226,85.921024,6.806672,2.511418
2020,23.937105,164.502757,80.005250,6.197229,2.138736
2021,30.505194,178.538276,84.289199,6.494590,1.706209
2022,25.993764,179.440916,76.353305,6.396732,1.591822
2023,19.635839,174.552801,66.651055,6.396732,1.568606
