"Year","Coal","Oil","Gas","Cement","Flaring"
2000,0.572876,0.312847,0.052791,0.045957,0.001973
2001,0.582081,0.316721,0.053128,0.046740,0.001857
2002,0.598597,0.325220,0.057609,0.049111,0.001602
2003,0.625890,0.330615,0.058565,0.050880,0.001787
2004,0.669968,0.348234,0.058316,0.055545,0.001765
2005,0.721469,0.352376,0.059357,0.059687,0.001704
2006,0.773564,0.369694,0.082580,0.064905,0.001741
2007,0.842477,0.391897,0.087956,0.068333,0.001842
2008,0.910795,0.413233,0.090277,0.073245,0.001888
2009,0.983947,0.432660,0.112463,0.081268,0.001879
2010,1.015983,0.439500,0.134121,0.086029,0.001704
2011,1.074385,0.460104,0.136260,0.091314,0.002648
2012,1.206452,0.489814,0.125605,0.100237,0.003592
2013,1.276383,0.496940,0.110689,0.107820,0.003266
2014,1.407057,0.512465,0.109468,0.115825,0.003529
2015,1.449587,0.556117,0.106871,0.117508,0.004137
2016,1.499401,0.614597,0.113622,0.123281,0.003756
2017,1.551256,0.632558,0.118922,0.121047,0.002823
2018,1.668318,0.657084,0.126201,0.138965,0.002490
2019,1.661940,0.676154,0.128676,0.143664,0.002454
2020,1.561799,0.606045,0.127994,0.122908,0.002806
2021,1.767297,0.621928,0.133192,0.149033,0.002772
2022,1.855854,0.684057,0.124009,0.164323,0.002924
2023,2.032012,0.717799,0.132420,0.177226,0.002868
2024,2.129776,0.745448,0.148506,0.184836,0.002868
