"Year","Total"
1959,9.921033
1960,11.926437
1961,12.349572
1962,13.569882
1963,15.600216
1964,16.038961
1965,16.829590
1966,17.125745
1967,18.175904
1968,20.841790
1969,20.213411
1970,20.504407
1971,19.440705
1972,18.903049
1973,20.008479
1974,21.387398
1975,23.187848
1976,22.788525
1977,24.319874
1978,26.050556
1979,28.134454
1980,31.931551
1981,34.232832
1982,37.189621
1983,40.022189
1984,42.557326
1985,46.813546
1986,49.058621
1987,52.988504
1988,57.607377
1989,60.316616
1990,67.827369
1991,67.477105
1992,72.014921
1993,77.175721
1994,84.018296
1995,83.614359
1996,93.538964
1997,93.788159
1998,96.740735
1999,99.389325
2000,103.939512
2001,105.400679
2002,112.900211
2003,117.461676
2004,129.795749
2005,133.644612
2006,144.052685
2007,157.677564
2008,155.149125
2009,155.521456
2010,154.201777
2011,154.801114
2012,154.768340
2013,151.847371
2014,156.705217
2015,150.589763
2016,178.032135
2017,218.360752
2018,210.347794
2019,207.622390
2020,230.754135
2021,247.901334
2022,223.834356
2023,200.666686
