"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.013811,0.142156,0.326095,0,0.007973,0.000000
2001,0.014648,0.169800,0.365156,0,0.010502,0.000000
2002,0.015297,0.154354,0.384161,0,0.007870,0.000001
2003,0.014627,0.158017,0.413223,0,0.007820,0.000009
2004,0.014648,0.164636,0.444248,0,0.007770,0.000020
2005,0.030053,0.169187,0.477481,0,0.007721,0.000035
2006,0.045662,0.170178,0.517081,0,0.007672,0.000072
2007,0.037265,0.164568,0.552109,0,0.007624,0.000108
2008,0.039226,0.163418,0.589551,0,0.009610,0.000183
2009,0.049013,0.154533,0.674883,0,0.004192,0.000307
2010,0.031233,0.171479,0.693134,0,0.007284,0.000500
2011,0.046496,0.216071,0.704957,0,0.008660,0.001289
2012,0.038366,0.246085,0.768106,0,0.007670,0.001603
2013,0.053137,0.250702,0.790300,0,0.007146,0.001973
2014,0.033664,0.275993,0.828802,0,0.005524,0.002327
2015,0.110279,0.333664,0.930746,0,0.008707,0.002668
2016,0.082929,0.345998,0.952234,0,0.008526,0.002211
2017,0.090422,0.389713,0.957336,0,0.009864,0.002885
2018,0.102848,0.447098,0.987444,0,0.008243,0.003091
2019,0.173034,0.438742,1.113638,0,0.007811,0.003640
2020,0.188449,0.369794,1.076951,0,0.006625,0.004431
2021,0.152320,0.506043,1.101921,0,0.006423,0.005864
2022,0.199428,0.617047,1.032740,0,0.007274,0.008220
2023,0.281846,0.517731,1.012532,0,0.006392,0.012060
