"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.876548,2.959751,0.637070,0.635438,0.314777,0.067669
2001,0.802526,3.053517,0.686500,0.646555,0.433903,0.090481
2002,0.904265,3.119022,0.784924,0.635406,0.240839,0.128197
2003,0.842761,3.153006,0.893834,0.619902,0.428622,0.163087
2004,0.881280,3.181577,1.053687,0.633185,0.328605,0.201720
2005,0.858838,3.262486,1.249270,0.569164,0.184230,0.249199
2006,0.749772,3.233887,1.307425,0.591013,0.265203,0.271739
2007,0.838909,3.260660,1.330462,0.538254,0.277217,0.336768
2008,0.565385,3.119973,1.461318,0.572479,0.238055,0.431328
2009,0.394815,2.932241,1.307078,0.509017,0.264942,0.539463
2010,0.288764,2.858765,1.303073,0.590772,0.420024,0.631054
2011,0.535534,2.726159,1.211259,0.550171,0.303854,0.653904
2012,0.648619,2.520025,1.196122,0.582253,0.202799,0.781222
2013,0.477170,2.433090,1.091811,0.534130,0.360866,0.785643
2014,0.487302,2.443829,0.990860,0.536300,0.382006,0.754891
2015,0.573023,2.524781,1.027576,0.533108,0.272809,0.732024
2016,0.439452,2.589195,1.048377,0.542105,0.350660,0.728699
2017,0.563075,2.605152,1.141636,0.534256,0.175537,0.747697
2018,0.482479,2.641123,1.133901,0.509689,0.327018,0.769007
2019,0.212343,2.648185,1.295081,0.530677,0.213382,0.802268
2020,0.123790,2.130587,1.169648,0.528929,0.288430,0.881271
2021,0.128632,2.354926,1.235675,0.511306,0.279078,0.999353
2022,0.156336,2.611032,1.187070,0.527689,0.165094,1.080490
2023,0.118554,2.568295,1.054739,0.509744,0.238232,1.172744
