"Year","BLUE","H&C2023","OSCAR","LUCE"
1850,70.846994,70.954239,47.322648,61.292638
1851,98.030393,94.129552,71.090137,86.059995
1852,111.938388,105.401922,82.599604,98.966435
1853,86.922977,78.027701,55.522534,73.289197
1854,74.277487,63.126909,41.029179,60.158556
1855,71.412569,58.100891,36.501244,56.886201
1856,76.357833,60.987243,39.949984,61.535891
1857,95.520443,78.199799,57.762813,80.497017
1858,109.996175,90.833455,71.016601,94.850994
1859,122.922583,102.026388,82.831718,107.723688
1860,124.259504,94.324770,76.676418,107.895274
1861,117.351032,83.415906,67.798033,99.197121
1862,100.110703,63.163879,48.917588,81.072302
1863,118.307116,78.689383,65.637152,98.647997
1864,131.102500,89.033844,77.089681,110.969846
1865,113.483606,69.150342,58.251994,92.773103
1866,140.494285,94.068180,84.156474,119.321934
1867,150.068830,101.713116,92.725911,128.532900
1868,143.245912,93.117006,84.987176,121.430200
1869,182.530221,130.765778,123.425797,160.500201
1870,156.225925,113.075950,105.492349,134.984984
1871,77.342130,36.269863,27.858894,57.659525
1872,133.588744,93.483589,84.841679,114.342192
1873,96.517161,57.120075,48.349814,77.430249
1874,130.204307,91.404855,82.511888,111.161400
1875,133.704453,95.429393,86.391148,114.626738
1876,128.525792,90.719944,81.504434,109.352483
1877,103.597805,66.222073,56.792953,84.277569
1878,103.655110,66.679964,56.998943,84.139876
1879,84.552296,47.958462,37.987106,64.802127
1880,132.238230,91.361803,81.479812,112.023026
1881,114.670523,72.178455,62.534148,93.982040
1882,155.570069,112.035154,102.291735,134.655884
1883,152.560240,108.214261,98.272144,131.299293
1884,141.664786,96.669437,86.466699,120.115373
1885,182.399233,136.892133,126.377882,160.670467
1886,162.314614,116.416419,105.543975,140.435038
1887,138.905574,92.715578,81.441523,116.889038
1888,143.405662,96.932769,85.238636,121.247769
1889,170.735328,124.000276,111.879837,148.431388
1890,139.887636,106.037552,93.023501,116.969316
1891,112.594903,82.151020,67.662685,92.356506
1892,104.776110,76.389014,60.479853,85.408719
1893,148.906792,122.469860,105.123384,129.795954
1894,152.110044,127.697655,108.872316,133.173136
1895,178.991530,156.689604,136.341910,160.044326
1896,121.860829,101.748108,79.838523,102.875960
1897,146.698169,128.863723,105.336886,127.647018
1898,111.099002,95.648757,70.415265,91.942034
1899,111.930400,99.128641,71.965613,92.638451
1900,220.824993,160.283768,134.128744,194.219553
1901,225.305589,146.292015,123.069986,193.713592
1902,220.460315,129.201360,104.810625,186.346680
1903,231.829634,130.920106,104.803993,193.662625
1904,235.570944,126.762712,97.765889,194.045184
1905,271.975386,156.603903,127.393543,227.474677
1906,282.167022,161.303350,129.398447,235.136467
1907,283.923067,157.740146,120.986123,234.741268
1908,280.001634,148.054216,112.852922,229.000623
1909,327.129101,189.445288,151.322321,274.602034
1910,321.320745,175.783185,141.264164,267.028876
1911,324.842875,173.226885,138.979440,268.753337
1912,354.771820,197.189408,166.147158,297.408162
1913,326.495742,162.962629,133.759486,268.235724
1914,337.087011,167.739715,140.631611,278.087048
1915,377.997439,202.917743,181.748946,317.178703
1916,366.144912,185.357290,161.044525,303.672357
1917,414.942797,228.419476,205.212689,351.025087
1918,419.795912,227.465517,209.736996,354.622182
1919,415.105735,216.853400,202.733187,348.846179
1920,365.271341,186.224082,173.890142,302.814724
1921,358.945812,185.742816,175.276453,298.469074
1922,360.020060,189.825135,178.347948,300.441478
1923,340.187561,172.005784,164.416064,282.426103
1924,349.723597,183.015115,177.731920,293.465845
1925,343.599624,177.922777,175.174228,288.704587
1926,362.397776,197.374257,198.551024,308.643599
1927,340.350865,175.639592,177.434293,287.573840
1928,301.853400,137.143410,146.866384,249.909202
1929,307.997489,142.994305,151.065401,256.747472
1930,343.330906,167.047329,184.564327,291.529604
1931,350.862002,169.398042,196.568141,299.508257
1932,328.952088,143.392728,167.041687,278.345616
1933,346.415775,157.078062,181.856265,296.144156
1934,358.292960,165.310923,199.224614,308.400126
1935,361.115999,164.574532,200.542958,312.357172
1936,341.594793,141.535960,181.115734,293.915564
1937,336.357325,132.619909,182.073650,289.728895
1938,343.828294,136.325129,193.974175,298.213729
1939,348.217766,136.844611,195.892756,303.579621
1940,306.053151,104.331887,168.781830,261.446149
