"Year","BLUE","H&C2023","OSCAR","LUCE"
1850,41.771102,31.215558,19.527654,11.281456
1851,36.033461,27.577023,17.168038,8.851088
1852,32.561931,24.905234,16.742465,7.543736
1853,29.009573,22.910369,15.885272,5.732365
1854,26.756177,21.894855,16.040662,4.983626
1855,23.761040,19.913657,15.185631,3.296647
1856,20.840172,17.846978,14.172792,1.559655
1857,18.205317,15.933930,13.244444,-0.000989
1858,16.171540,14.517208,12.741120,-1.054976
1859,13.114958,11.948964,11.061433,-3.207722
1860,12.215776,11.993151,11.934491,-3.446981
1861,10.003636,10.491424,11.206967,-4.838862
1862,8.234474,9.324917,10.784178,-5.847341
1863,6.026730,7.670547,9.813108,-7.338955
1864,4.583994,6.724503,9.480307,-8.103852
1865,3.123926,5.779007,9.072907,-8.628647
1866,0.766582,3.911650,7.676483,-10.115241
1867,1.872231,5.491713,9.670065,-8.206517
1868,0.348740,4.433587,8.969325,-8.983432
1869,-0.285426,4.234448,9.100936,-8.925834
1870,0.347824,3.869624,9.048028,-7.460637
1871,0.489181,3.286022,8.758865,-7.038984
1872,1.095426,3.226299,8.964892,-6.186481
1873,0.984004,2.496393,8.485751,-6.080994
1874,1.741206,2.688350,8.915025,-5.144696
1875,1.745310,2.169418,8.619743,-4.931231
1876,1.500811,1.442370,8.103486,-4.995791
1877,1.268953,0.779003,7.634823,-5.079037
1878,1.248325,0.368855,7.399008,-4.977324
1879,0.424841,-0.801537,6.383421,-5.701953
1880,0.291325,0.063424,7.383436,-5.649155
1881,-0.995729,-0.457377,6.976732,-6.461830
1882,-2.090092,-0.848839,6.683502,-7.109662
1883,-3.362233,-1.450907,6.155337,-7.958831
1884,-4.275888,-1.720541,5.934691,-8.472817
1885,-5.063758,-1.892676,5.789340,-9.001202
1886,-6.825299,-3.049950,4.647161,-10.515570
1887,-5.332989,-0.979241,6.735128,-8.781839
1888,-6.421087,-1.515540,6.225905,-9.638702
1889,-6.688888,-1.156725,6.522250,-9.684575
1890,-8.341059,-0.766289,6.667088,-11.112729
1891,-9.822415,-0.292717,6.786900,-12.022610
1892,-11.229904,0.237244,6.870403,-12.870276
1893,-13.105688,0.290812,6.376789,-14.213462
1894,-13.948262,1.391148,6.711202,-14.523730
1895,-15.227254,2.082984,6.395842,-15.180905
1896,-16.841942,2.650904,5.658865,-16.175717
1897,-18.332018,3.616075,5.006966,-17.056836
1898,-19.567848,4.946510,4.579414,-17.707526
1899,-21.173157,5.857747,3.768644,-18.741763
1900,-20.980430,7.878223,4.298971,-17.547372
1901,-22.344171,8.627914,4.429703,-18.283287
1902,-22.336733,11.124600,4.187586,-17.872442
1903,-22.940341,13.032482,3.575698,-18.173733
1904,-23.944057,14.148096,0.981915,-18.933610
1905,-24.208195,15.155586,3.908389,-18.886784
1906,-24.850677,14.767276,2.156777,-19.251609
1907,-25.753853,13.075021,2.784164,-19.912301
1908,-26.762625,10.735813,1.770628,-20.705520
1909,-27.426249,8.100078,3.243373,-21.177444
1910,-34.033101,5.899333,2.935487,-24.767871
1911,-38.869874,5.662565,-2.505553,-26.349180
1912,-44.082720,4.704686,0.326499,-28.500241
1913,-49.235037,3.493477,-1.854277,-30.878946
1914,-54.236067,2.132448,-1.464391,-33.389812
1915,-58.865568,0.882841,-1.893335,-35.734369
1916,-62.923374,-0.048475,-3.175589,-37.613012
1917,-67.849109,-2.119074,-3.097472,-40.450523
1918,-70.578423,-1.965260,-5.824001,-40.988765
1919,-75.202867,-3.779233,-3.611202,-43.273782
1920,-70.335683,-5.086585,-8.447352,-39.394522
1921,-66.055838,-5.713935,-11.090928,-36.382274
1922,-63.160069,-7.435209,-2.768702,-34.748277
1923,-60.795433,-9.456418,-6.009253,-33.727780
1924,-58.688963,-11.490304,-6.133353,-32.994980
1925,-56.033186,-12.727160,-5.778018,-31.614311
1926,-52.769624,-13.152844,-6.874727,-29.650993
1927,-51.028381,-14.914568,-5.716390,-29.224394
1928,-48.402246,-15.581343,-7.218373,-27.913818
1929,-46.144269,-16.404131,-6.007458,-26.965574
1930,-48.935798,-17.387219,-5.464600,28.057153
1931,-50.817592,-18.762281,-4.724765,71.079805
1932,-51.478797,-19.119375,-5.931247,103.746013
1933,-52.184886,-19.532784,-6.331722,127.057517
1934,-53.071721,-20.107079,-8.949430,142.747938
1935,-54.118196,-20.832918,-5.781572,150.828633
1936,-54.958424,-21.345731,-6.780708,154.616733
1937,-55.943894,-21.990668,-7.618958,154.651688
1938,-56.244305,-21.953369,-7.656258,152.510299
1939,-57.644466,-23.025639,-5.869875,147.034305
1940,-56.799511,-23.595024,-4.866122,133.088571
1941,-55.848227,-23.798449,-5.245529,119.328383
1942,-55.123231,-24.151622,-7.559931,105.898907
1943,-53.913891,-23.987365,-9.852936,93.601130
1944,-53.365904,-24.460168,-6.713950,81.328342
1945,-52.869761,-24.953452,-9.890382,67.446289
1946,-52.598845,-25.604325,-7.454188,54.328949
1947,-51.819952,-25.692151,-8.920521,42.821534
1948,-51.307248,-26.005496,-7.480532,32.078137
1949,-49.946512,-25.471981,-7.936151,23.153146
1950,-47.916363,-26.793769,-6.030834,14.023044
1951,-43.549791,-27.608496,-3.592442,7.270768
1952,-36.926232,-25.074584,-3.087909,2.762473
1953,-30.951127,-21.644237,-3.915314,-0.985653
1954,-25.424972,-20.728201,-0.192067,-4.336600
