"Year","BLUE","H&C2023","OSCAR","LUCE"
1850,14.882179,8.094765,3.995775,7.874192
1851,14.919039,6.493817,3.877281,8.124920
1852,14.932779,5.175327,3.779636,8.183947
1853,14.938165,4.066490,3.672574,8.224947
1854,14.932192,3.093515,3.545140,8.245319
1855,14.923472,2.228078,3.407300,8.234547
1856,14.939630,1.474980,3.286315,8.200215
1857,14.928528,0.754821,3.128213,8.145915
1858,14.926623,0.088852,2.972786,8.114184
1859,14.944577,-0.544654,2.832895,8.102789
1860,14.837734,-1.169659,2.683037,8.100298
1861,14.790982,-1.799280,2.510573,8.090442
1862,14.788783,-2.379621,2.367823,8.115907
1863,14.784350,-2.934571,2.224378,8.119314
1864,14.793437,-3.451305,2.090642,8.165371
1865,14.806993,-3.928431,1.967385,8.184057
1866,14.780759,-4.413032,1.809430,8.170354
1867,14.794682,-4.828859,1.696798,8.191971
1868,14.805858,-5.217426,1.587978,8.207067
1869,14.820367,-5.586977,1.489196,8.229784
1870,13.040689,-5.963526,1.317868,7.018172
1871,12.313055,-6.289696,1.167607,6.658294
1872,11.811600,-6.610955,1.053253,6.400532
1873,11.411381,-6.909498,0.959382,6.216452
1874,11.043223,-7.214306,0.849498,6.034938
1875,10.742298,-7.474487,0.772371,5.874601
1876,10.475266,-7.724665,0.694291,5.730240
1877,10.237143,-7.948059,0.631967,5.618451
1878,10.026463,-8.149762,0.578362,5.482187
1879,9.823440,-8.345273,0.516880,5.382709
1880,9.480527,-8.500077,0.477016,5.177049
1881,9.221079,-8.637001,0.436785,5.009128
1882,8.990577,-8.756740,0.401721,4.907378
1883,8.795285,-8.843504,0.384097,4.774448
1884,8.605197,-8.911691,0.368232,4.682555
1885,8.436690,-8.953534,0.362443,4.625507
1886,8.292878,-8.979072,0.361454,4.539330
1887,8.160607,-8.338568,0.390179,4.501810
1888,8.019873,-7.615184,0.419162,4.438386
1889,7.893978,-6.837244,0.468662,4.366535
1890,7.522815,-5.997858,0.515378,4.240970
1891,7.301033,-5.089259,0.564549,4.161901
1892,7.147658,-4.096792,0.634165,4.068799
1893,6.999449,-3.078749,0.692533,4.051358
1894,6.837390,-2.084633,0.723970,3.979141
1895,6.738352,-1.090590,0.798752,3.972326
1896,6.629825,0.015865,0.851037,3.960198
1897,6.474764,1.311382,0.861516,3.857093
1898,6.416800,2.774088,0.970960,3.918978
1899,6.294166,4.020800,1.007234,3.837564
1900,6.114044,4.947060,1.102534,3.673783
1901,5.962244,5.643732,1.007307,3.660849
1902,5.803263,6.351947,1.249680,3.573060
1903,5.698216,7.231930,1.173066,3.583136
1904,5.590604,7.790946,1.484103,3.547998
1905,5.464709,7.702351,1.190031,3.528725
1906,5.362960,6.812878,1.297716,3.530191
1907,5.265864,4.803394,1.293978,3.514985
1908,5.171663,1.914880,1.166031,3.484464
1909,5.072588,-0.061299,0.875403,3.446212
1910,16.738544,-1.189224,1.265289,10.419830
1911,21.821428,-2.046197,2.020696,13.345644
1912,25.257564,-2.785006,1.998565,15.531916
1913,27.983177,-3.503883,1.985595,16.866968
1914,30.293256,-4.206125,1.938219,18.109503
1915,32.317103,-4.897779,1.731496,19.244171
1916,34.101617,-5.628124,1.628831,20.261077
1917,35.654274,-6.467290,1.579001,21.199794
1918,37.038790,-7.388676,1.462083,22.030496
1919,38.290669,-8.383488,1.310906,22.781103
1920,41.915024,-9.415271,1.519717,25.463847
