"Year","Historical","1.5C / 235 GtCO2","1.7C / 585 GtCO2","2.0C / 1110 GtCO2"
1870,3.371272,,,
1871,3.424298,,,
1872,3.683467,,,
1873,3.650682,,,
1874,3.806669,,,
1875,3.943474,,,
1876,3.973975,,,
1877,3.885493,,,
1878,3.986566,,,
1879,4.029951,,,
1880,4.238370,,,
1881,4.265046,,,
1882,4.494524,,,
1883,4.476418,,,
1884,4.641681,,,
1885,4.648388,,,
1886,4.577955,,,
1887,4.775171,,,
1888,4.767220,,,
1889,4.879210,,,
1890,5.256924,,,
1891,5.529552,,,
1892,5.481639,,,
1893,5.651209,,,
1894,5.715698,,,
1895,5.804726,,,
1896,5.789286,,,
1897,6.021850,,,
1898,6.062897,,,
1899,6.310746,,,
1900,6.467588,,,
1901,6.556726,,,
1902,6.702020,,,
1903,6.858983,,,
1904,6.966584,,,
1905,7.263805,,,
1906,7.381790,,,
1907,7.648860,,,
1908,7.624521,,,
1909,7.847357,,,
1910,7.790212,,,
1911,7.916859,,,
1912,7.932678,,,
1913,8.031085,,,
1914,7.786192,,,
1915,7.711419,,,
1916,7.914632,,,
1917,8.093514,,,
1918,8.048176,,,
1919,7.515104,,,
1920,8.141360,,,
1921,7.945137,,,
1922,8.057032,,,
1923,8.598433,,,
1924,8.624079,,,
1925,8.659077,,,
1926,8.607713,,,
1927,8.978803,,,
1928,8.936300,,,
1929,9.182317,,,
1930,8.978353,,,
1931,8.716253,,,
1932,8.419335,,,
1933,8.653283,,,
1934,8.985961,,,
1935,9.087696,,,
1936,9.498812,,,
1937,9.853425,,,
1938,9.635219,,,
1939,9.814033,,,
1940,10.330673,,,
1941,10.724310,,,
1942,10.739535,,,
1943,10.784489,,,
1944,10.851024,,,
1945,9.972539,,,
1946,10.244859,,,
1947,10.788544,,,
1948,10.982995,,,
1949,10.662985,,,
1950,12.117447,,,
1951,12.918903,,,
1952,12.921128,,,
1953,13.212872,,,
1954,13.740162,,,
1955,14.534098,,,
1956,15.109463,,,
1957,15.470660,,,
1958,15.567208,,,
1959,16.552425,,,
1960,16.042888,,,
1961,16.182266,,,
1962,16.020532,,,
1963,16.367037,,,
1964,16.616536,,,
1965,16.865233,,,
1966,17.009842,,,
1967,17.558875,,,
1968,18.152645,,,
1969,19.507507,,,
1970,20.497490,,,
1971,20.520824,,,
1972,21.504979,,,
1973,22.211305,,,
1974,22.028834,,,
1975,21.988996,,,
1976,22.943137,,,
1977,23.873587,,,
1978,24.333933,,,
1979,24.142026,,,
1980,24.297811,,,
1981,23.691469,,,
1982,23.250501,,,
1983,23.607209,,,
1984,25.112072,,,
1985,25.423173,,,
1986,25.953936,,,
1987,26.392972,,,
1988,27.047620,,,
1989,27.132030,,,
1990,27.499943,,,
1991,27.937980,,,
1992,27.565255,,,
1993,27.493678,,,
1994,28.633629,,,
1995,28.702477,,,
1996,29.998790,,,
1997,31.526407,,,
1998,30.163376,,,
1999,30.561644,,,
2000,30.501692,,,
2001,30.156031,,,
2002,31.073309,,,
2003,33.388756,,,
2004,33.655200,,,
2005,34.098082,,,
2006,35.517130,,,
2007,35.651558,,,
2008,36.461112,,,
2009,36.297400,,,
2010,38.293192,,,
2011,39.186602,,,
2012,40.031820,,,
2013,39.768441,,,
2014,40.168696,,,
2015,40.255203,,,
2016,39.134063,,,
2017,39.517166,,,
2018,39.848955,,,
2019,40.152421,,,
2020,37.807593,,,
2021,39.751397,,,
2022,40.037992,,,
2023,40.632198,,,
2024,41.583411,41.583411,41.583411,41.583411
2025,,37.904304,40.105479,40.804501
2026,,34.225198,38.627548,40.025591
2027,,30.546091,37.149616,39.246681
2028,,26.866985,35.671684,38.467771
2029,,23.187878,34.193752,37.688861
2030,,19.508772,32.715821,36.909951
2031,,15.829665,31.237889,36.131041
2032,,12.150559,29.759957,35.352131
2033,,8.471452,28.282026,34.573221
2034,,4.792346,26.804094,33.794311
2035,,1.113239,25.326162,33.015402
2036,,0,23.848231,32.236492
2037,,0,22.370299,31.457582
2038,,0,20.892367,30.678672
2039,,0,19.414436,29.899762
2040,,0,17.936504,29.120852
2041,,0,16.458572,28.341942
2042,,0,14.980641,27.563032
2043,,0,13.502709,26.784122
2044,,0,12.024777,26.005212
2045,,0,10.546846,25.226302
2046,,0,9.068914,24.447392
2047,,0,7.590982,23.668482
2048,,0,6.113051,22.889572
2049,,0,4.635119,22.110662
2050,,0,3.157187,21.331753
2051,,0,1.679256,20.552843
2052,,0,0.201324,19.773933
2053,,0,0,18.995023
2054,,0,0,18.216113
2055,,0,0,17.437203
2056,,0,0,16.658293
2057,,0,0,15.879383
2058,,0,0,15.100473
2059,,0,0,14.321563
2060,,0,0,13.542653
2061,,0,0,12.763743
2062,,0,0,11.984833
2063,,0,0,11.205923
2064,,0,0,10.427013
2065,,0,0,9.648103
2066,,0,0,8.869194
2067,,0,0,8.090284
2068,,0,0,7.311374
2069,,0,0,6.532464
2070,,0,0,5.753554
2071,,0,0,4.974644
2072,,0,0,4.195734
2073,,0,0,3.416824
2074,,0,0,2.637914
2075,,0,0,1.859004
2076,,0,0,1.080094
2077,,0,0,0.301184
2078,,0,0,0
2079,,0,0,0
2080,,0,0,0
2081,,0,0,0
2082,,0,0,0
2083,,0,0,0
2084,,0,0,0
2085,,0,0,0
2086,,0,0,0
2087,,0,0,0
2088,,0,0,0
2089,,0,0,0
2090,,0,0,0
2091,,0,0,0
2092,,0,0,0
2093,,0,0,0
2094,,0,0,0
2095,,0,0,0
2096,,0,0,0
2097,,0,0,0
2098,,0,0,0
2099,,0,0,0
2100,,0,0,0
