"Year","deforestation_tot","forest_regrowth_tot","deforestation_perm","forest_regrowth_AR"
1959,2.047925,-0.823800,1.578002,-0.355762
1960,1.841128,-0.832863,1.354365,-0.360928
1961,1.833617,-0.836008,1.335775,-0.363065
1962,1.784718,-0.839437,1.277640,-0.362340
1963,1.756248,-0.842463,1.246212,-0.362430
1964,1.712137,-0.845385,1.198620,-0.361643
1965,1.660408,-0.848930,1.142767,-0.361570
1966,1.600383,-0.852480,1.079235,-0.360360
1967,1.594680,-0.851527,1.073038,-0.358015
1968,1.589093,-0.852265,1.064420,-0.354668
1969,1.739083,-0.855225,1.248927,-0.355210
1970,1.696273,-0.860275,1.187820,-0.358852
1971,1.613897,-0.858673,1.102083,-0.356862
1972,1.662397,-0.861712,1.149585,-0.354832
1973,1.642368,-0.863278,1.126487,-0.352660
1974,1.627397,-0.858268,1.110733,-0.348035
1975,1.620685,-0.860442,1.102968,-0.346803
1976,1.603948,-0.858472,1.085328,-0.342465
1977,1.669882,-0.860460,1.150483,-0.340597
1978,1.644935,-0.861035,1.121938,-0.338795
1979,1.543877,-0.865868,1.018487,-0.338243
1980,1.560555,-0.865110,1.034323,-0.335340
1981,1.549340,-0.866382,1.021700,-0.334863
1982,1.517262,-0.867912,0.984448,-0.333405
1983,1.551835,-0.870580,1.019815,-0.331967
1984,1.701113,-0.869640,1.174872,-0.331055
1985,1.615995,-0.869968,1.086062,-0.330440
1986,1.681442,-0.874320,1.148925,-0.333292
1987,1.659925,-0.880787,1.125742,-0.334890
1988,1.621002,-0.883382,1.082315,-0.336580
1989,1.571752,-0.885922,1.039467,-0.338363
1990,1.572625,-0.902807,1.038090,-0.347892
1991,1.599000,-0.916445,1.064192,-0.358240
1992,1.659555,-0.925323,1.126795,-0.363895
1993,1.672583,-0.931710,1.138413,-0.365768
1994,1.896415,-0.943970,1.365047,-0.375060
1995,1.849963,-0.958040,1.309370,-0.383700
1996,1.882437,-0.958442,1.339955,-0.382983
1997,1.926618,-0.968775,1.375512,-0.388418
1998,2.082813,-0.985140,1.531445,-0.398207
1999,2.056600,-0.992968,1.504093,-0.406322
2000,1.955547,-1.007458,1.395247,-0.415730
2001,1.863487,-1.021112,1.292598,-0.423827
2002,1.870360,-1.038132,1.289910,-0.435972
2003,2.114045,-1.053063,1.510975,-0.445995
2004,1.908842,-1.058970,1.318192,-0.448823
2005,1.841867,-1.071227,1.243980,-0.455273
2006,1.780578,-1.083712,1.175003,-0.465088
2007,1.788910,-1.091938,1.174322,-0.469255
2008,1.813715,-1.094988,1.190960,-0.468773
2009,1.843030,-1.106803,1.205955,-0.473132
2010,1.903080,-1.138127,1.254095,-0.498723
2011,1.868877,-1.142397,1.210135,-0.502235
2012,1.916245,-1.144885,1.247365,-0.498592
2013,1.860362,-1.151202,1.190468,-0.500003
2014,1.876872,-1.169170,1.199742,-0.511443
2015,1.846490,-1.177915,1.155003,-0.512475
2016,1.798507,-1.188340,1.100200,-0.515748
2017,1.800495,-1.196052,1.097675,-0.518860
2018,1.712957,-1.198037,0.998345,-0.513805
2019,1.665250,-1.207237,0.937530,-0.513012
2020,1.651115,-1.213383,0.908573,-0.510350
2021,1.686360,-1.213178,0.934098,-0.506188
2022,1.658835,-1.212980,0.905835,-0.502900
2023,1.659935,-1.219870,0.900822,-0.501202
