"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,2.523692,2.870252,0.181228,0.180373,5.633748,5.551620,0.587829,0.548901
1991,2.473403,2.785292,0.188931,0.183146,5.492965,5.380313,0.607599,0.559460
1992,2.383923,2.981769,0.197106,0.194353,5.534155,5.504211,0.629578,0.593843
1993,2.332664,2.775580,0.199549,0.192010,5.561087,5.489678,0.666798,0.629211
1994,2.315404,2.697262,0.206172,0.197252,5.582148,5.525926,0.701648,0.621666
1995,2.341187,2.731765,0.215238,0.203570,5.573628,5.517801,0.753176,0.670813
1996,2.392447,2.699681,0.228609,0.213275,5.695230,5.620354,0.779653,0.694457
1997,2.346675,2.640824,0.233628,0.218941,5.699217,5.655751,0.775162,0.674402
1998,2.337751,2.671190,0.234005,0.219029,5.672811,5.746308,0.736490,0.647898
1999,2.299729,2.669562,0.252011,0.240232,5.673865,5.855272,0.773336,0.689707
2000,2.303117,2.696276,0.254075,0.235894,5.808532,6.042808,0.787888,0.704372
2001,2.335073,2.694536,0.253083,0.233426,5.648130,5.905585,0.799540,0.720204
2002,2.330341,2.675349,0.256482,0.233085,5.628227,5.957960,0.874232,0.777863
2003,2.373222,2.765437,0.260792,0.241644,5.634724,6.083049,1.025133,0.863469
2004,2.369788,2.793763,0.272340,0.250650,5.675499,6.143114,1.098034,0.908326
2005,2.356558,2.846408,0.282370,0.260945,5.638107,6.180569,1.230281,0.986869
2006,2.359547,2.900686,0.300887,0.274499,5.510982,6.106579,1.349850,1.067503
2007,2.318963,2.885552,0.319453,0.297620,5.526358,5.983612,1.442278,1.145612
2008,2.261946,2.856715,0.336864,0.312390,5.281044,5.636322,1.539169,1.224814
2009,2.071321,2.573511,0.359595,0.340180,4.848535,5.110233,1.608272,1.369819
2010,2.124416,2.664824,0.369002,0.347045,4.981446,5.228940,1.745136,1.485308
2011,2.059876,2.575660,0.382973,0.353698,4.822526,5.056733,1.917049,1.637011
2012,2.013846,2.405758,0.412380,0.383580,4.606135,4.869108,1.953093,1.697378
2013,1.961014,2.327409,0.421734,0.376401,4.683132,4.903308,1.974666,1.730351
2014,1.874975,2.249982,0.448529,0.408519,4.685591,4.945078,1.968394,1.735173
2015,1.907908,2.218487,0.460951,0.431989,4.520465,4.866405,1.931522,1.735096
2016,1.904953,2.222804,0.480076,0.445388,4.381467,4.721031,1.900646,1.725037
2017,1.917245,2.245866,0.489060,0.459833,4.313436,4.661243,1.936492,1.767863
2018,1.873299,2.264957,0.516954,0.484822,4.419038,4.769308,1.990121,1.848003
2019,1.781397,2.164866,0.515594,0.483988,4.295814,4.652262,2.056542,1.906334
2020,1.610371,1.962154,0.473296,0.439339,3.830255,4.213907,2.088836,1.910158
2021,1.717790,2.139609,0.518530,0.475063,4.075461,4.510842,2.191209,1.990748
2022,1.671834,2.116744,0.545239,0.494362,4.097536,4.552548,2.172580,1.973361
