"Year","Coal","Oil","Gas","Cement"
1959,1.352056,0.790855,0.206949,0.039641
1960,1.407839,0.851520,0.227789,0.042957
1961,1.349396,0.903138,0.240755,0.044799
1962,1.345138,0.971141,0.264143,0.048134
1963,1.394086,1.038116,0.285740,0.050759
1964,1.422821,1.120180,0.314681,0.056264
1965,1.443529,1.203450,0.335881,0.059069
1966,1.460147,1.298819,0.365715,0.063594
1967,1.436099,1.384973,0.391130,0.065470
1968,1.451872,1.508788,0.425696,0.069671
1969,1.506079,1.631676,0.466354,0.073854
1970,1.555365,1.855627,0.488793,0.078666
1971,1.555692,1.965346,0.527726,0.082712
1972,1.553298,2.119188,0.560139,0.087679
1973,1.599590,2.243365,0.601180,0.092839
1974,1.598715,2.210505,0.615868,0.092961
1975,1.642553,2.184804,0.611699,0.092761
1976,1.699329,2.313221,0.643834,0.097176
1977,1.739908,2.392851,0.658221,0.101722
1978,1.776782,2.492828,0.693706,0.108594
1979,1.855863,2.517554,0.728184,0.110181
1980,1.906384,2.432444,0.748230,0.110850
1981,1.894908,2.315339,0.754196,0.110859
1982,1.928765,2.258804,0.737309,0.110275
1983,1.983963,2.242001,0.748668,0.112793
1984,2.070446,2.248555,0.811143,0.114934
1985,2.222932,2.250986,0.843259,0.116196
1986,2.254767,2.317302,0.822764,0.120574
1987,2.333305,2.341521,0.895624,0.125104
1988,2.411689,2.426130,0.937767,0.131531
1989,2.409333,2.466536,0.983886,0.134299
1990,2.363479,2.509945,1.034438,0.134422
1991,2.340090,2.635504,1.051179,0.137744
1992,2.281980,2.498541,1.064783,0.143538
1993,2.311689,2.503363,1.093833,0.149991
1994,2.323621,2.509890,1.102668,0.160137
1995,2.390404,2.533816,1.145428,0.169270
1996,2.450045,2.609754,1.195851,0.172915
1997,2.436490,2.647983,1.199524,0.179811
1998,2.371452,2.680670,1.212747,0.179202
1999,2.404228,2.746776,1.251683,0.187786
2000,2.499082,2.787015,1.290345,0.196006
2001,2.513217,2.806651,1.302324,0.204898
2002,2.628325,2.802771,1.341062,0.212610
2003,2.856595,2.876869,1.390883,0.234016
2004,2.951253,2.981598,1.434954,0.244522
2005,3.138237,3.010454,1.467328,0.263858
2006,3.312292,3.041192,1.509554,0.285834
2007,3.472831,3.052487,1.565676,0.307369
2008,3.588883,3.041305,1.611763,0.310425
2009,3.548901,2.974781,1.573604,0.319489
2010,3.798642,3.071423,1.693717,0.341652
2011,4.013161,3.086831,1.743813,0.367016
2012,4.057806,3.120283,1.780334,0.375915
2013,4.081101,3.143184,1.793973,0.393377
2014,4.097949,3.155522,1.802668,0.407328
2015,3.999732,3.212342,1.836515,0.393195
2016,3.909113,3.247889,1.887241,0.402879
2017,3.955832,3.298388,1.933574,0.409374
2018,4.029120,3.314091,2.024949,0.422175
2019,4.012816,3.364058,2.067155,0.440973
2020,3.893842,2.983718,2.052625,0.443246
2021,4.085494,3.142240,2.150300,0.454936
2022,4.216478,3.251887,2.117562,0.430879
2023,4.267569,3.351048,2.129598,0.420384
2024,4.313661,3.403547,2.186088,0.401970
2025,4.338140,3.429871,2.207416,0.402974
