"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1959,0.772901,0.665972,0.052653,0.108992,0.196551,0.027685,0.232012,0.301676,0.058347
1960,0.790750,0.719592,0.063545,0.114874,0.218016,0.030382,0.241558,0.318635,0.064589
1961,0.787899,0.746696,0.077274,0.117358,0.155743,0.032860,0.249114,0.331276,0.071374
1962,0.817112,0.787896,0.080043,0.124540,0.125444,0.036184,0.261459,0.353618,0.073976
1963,0.853298,0.832761,0.088774,0.130051,0.124669,0.038875,0.280404,0.375714,0.077522
1964,0.890913,0.866604,0.098077,0.143536,0.125722,0.038069,0.298216,0.408161,0.084980
1965,0.927822,0.877256,0.105614,0.153136,0.136543,0.041948,0.316353,0.440429,0.087854
1966,0.974732,0.897483,0.114569,0.160471,0.149964,0.043497,0.334085,0.467743,0.095074
1967,1.011316,0.903465,0.133711,0.173163,0.125610,0.043547,0.349336,0.498027,0.101719
1968,1.048287,0.952586,0.153539,0.184350,0.135239,0.047508,0.359155,0.533967,0.107552
1969,1.101298,1.008539,0.178453,0.193145,0.165855,0.048420,0.374036,0.573655,0.112547
1970,1.184417,1.053836,0.210084,0.214065,0.220514,0.049597,0.393389,0.621885,0.118571
1971,1.191453,1.079205,0.218244,0.225417,0.248147,0.052392,0.417466,0.673825,0.125254
1972,1.248099,1.109998,0.235004,0.238827,0.264366,0.055414,0.439227,0.703549,0.133622
1973,1.303964,1.156996,0.249527,0.253415,0.275182,0.057068,0.457777,0.763950,0.142952
1974,1.257768,1.135987,0.249538,0.259098,0.280585,0.058912,0.475208,0.789328,0.132744
1975,1.204819,1.108691,0.237395,0.267393,0.322913,0.063922,0.499512,0.810485,0.121462
1976,1.261337,1.180170,0.248246,0.278883,0.334700,0.066799,0.518750,0.867211,0.119038
1977,1.296261,1.169850,0.255337,0.293026,0.365916,0.070677,0.536395,0.901165,0.121755
1978,1.336610,1.199357,0.247022,0.307018,0.407346,0.071820,0.554817,0.944657,0.123695
1979,1.339729,1.239609,0.261230,0.325146,0.416326,0.075405,0.559418,0.983391,0.124143
1980,1.290998,1.211574,0.258884,0.337035,0.407832,0.079616,0.581429,1.008799,0.121265
1981,1.240075,1.145964,0.253924,0.342347,0.402915,0.085963,0.570358,0.999281,0.111946
1982,1.176834,1.114894,0.245831,0.347631,0.438384,0.088805,0.581111,1.016979,0.101361
1983,1.186239,1.101935,0.241382,0.340117,0.462267,0.096126,0.589353,1.043994,0.097368
1984,1.222538,1.110864,0.256698,0.352229,0.503333,0.098681,0.594586,1.073706,0.097749
1985,1.226905,1.132426,0.249802,0.361953,0.545086,0.108516,0.641244,1.132268,0.099853
1986,1.227657,1.128687,0.249467,0.364848,0.574080,0.116353,0.641349,1.168590,0.107036
1987,1.280549,1.134905,0.246236,0.385366,0.615892,0.124278,0.643776,1.185833,0.143589
1988,1.336729,1.124513,0.268750,0.402470,0.661693,0.134198,0.665339,1.239946,0.148556
