"Year","Bunkers","Rest of World","Japan","India","China","EU27","USA"
1959,0.058347,0.778929,0.052653,0.027685,0.196551,0.529723,0.772901
1960,0.064589,0.821083,0.063545,0.030382,0.218016,0.573576,0.790750
1961,0.071374,0.843614,0.077274,0.032860,0.155743,0.600830,0.787899
1962,0.073976,0.884349,0.080043,0.036184,0.125444,0.643166,0.817112
1963,0.077522,0.932604,0.088774,0.038875,0.124669,0.686327,0.853298
1964,0.084980,0.994353,0.098077,0.038069,0.125722,0.722164,0.890913
1965,0.087854,1.056089,0.105614,0.041948,0.136543,0.731085,0.927822
1966,0.095074,1.106424,0.114569,0.043497,0.149964,0.753358,0.974732
1967,0.101719,1.153758,0.133711,0.043547,0.125610,0.770234,1.011316
1968,0.107552,1.212477,0.153539,0.047508,0.135239,0.817580,1.048287
1969,0.112547,1.277488,0.178453,0.048420,0.165855,0.871887,1.101298
1970,0.118571,1.373128,0.210084,0.049597,0.220514,0.910048,1.184417
1971,0.125254,1.460198,0.218244,0.052392,0.248147,0.935715,1.191453
1972,0.133622,1.520348,0.235004,0.055414,0.264366,0.971253,1.248099
1973,0.142952,1.613525,0.249527,0.057068,0.275182,1.018613,1.303964
1974,0.132744,1.646256,0.249538,0.058912,0.280585,1.013365,1.257768
1975,0.121462,1.692599,0.237395,0.063922,0.322913,0.993483,1.204819
1976,0.119038,1.776219,0.248246,0.066799,0.334700,1.068795,1.261337
1977,0.121755,1.842072,0.255337,0.070677,0.365916,1.058364,1.296261
1978,0.123695,1.911962,0.247022,0.071820,0.407346,1.093886,1.336610
1979,0.124143,1.983821,0.261230,0.075405,0.416326,1.123743,1.339729
1980,0.121265,2.024940,0.258884,0.079616,0.407832,1.113896,1.290998
1981,0.111946,2.002534,0.253924,0.085963,0.402915,1.055416,1.240075
1982,0.101361,2.030390,0.245831,0.088805,0.438384,1.030225,1.176834
1983,0.097368,2.056934,0.241382,0.096126,0.462267,1.018464,1.186239
1984,0.097749,2.103366,0.256698,0.098681,0.503333,1.028019,1.222538
1985,0.099853,2.224318,0.249802,0.108516,0.545086,1.043572,1.226905
1986,0.107036,2.264408,0.249467,0.116353,0.574080,1.039067,1.227657
1987,0.143589,2.301602,0.246236,0.124278,0.615892,1.048277,1.280549
1988,0.148556,2.395593,0.268750,0.134198,0.661693,1.036675,1.336729
1989,0.153917,2.406041,0.278738,0.147561,0.671984,1.046993,1.353777
1990,0.149528,2.447021,0.315189,0.157747,0.677821,1.056292,1.400590
1991,0.148109,2.560288,0.318382,0.167955,0.714832,1.038354,1.385484
1992,0.151151,2.332951,0.320812,0.178882,0.745439,1.003749,1.413420
1993,0.152138,2.331847,0.319140,0.184842,0.795383,0.984758,1.440917
1994,0.159615,2.294585,0.333831,0.194881,0.844403,0.979655,1.463391
1995,0.168465,2.317171,0.337302,0.207555,0.914628,0.992325,1.480851
1996,0.182455,2.366691,0.340800,0.224782,0.955052,1.015478,1.528683
1997,0.191944,2.384863,0.338696,0.234164,0.958611,0.997394,1.548347
1998,0.203672,2.384278,0.327875,0.239024,0.915758,0.994719,1.565600
1999,0.211086,2.436039,0.337915,0.262335,0.968873,0.979574,1.583046
2000,0.213843,2.514550,0.343942,0.269395,0.994490,0.982646,1.643875
2001,0.212201,2.561021,0.340048,0.273253,1.016407,0.998117,1.611234
2002,0.217480,2.581038,0.348095,0.281864,1.118499,0.998196,1.623313
2003,0.226326,2.700092,0.350394,0.291593,1.319665,1.019749,1.639312
2004,0.246579,2.791194,0.349105,0.309665,1.422206,1.021666,1.667998
2005,0.256339,2.847743,0.351095,0.326254,1.605347,1.019348,1.672190
2006,0.270359,2.937576,0.344825,0.352981,1.770247,1.024019,1.649925
2007,0.286095,2.991395,0.354523,0.380318,1.903565,1.010335,1.670727
2008,0.288805,3.066314,0.335340,0.406759,2.044870,0.989581,1.615508
2009,0.276760,3.009630,0.316663,0.440319,2.151062,0.908980,1.497299
2010,0.292585,3.180239,0.330538,0.458114,2.349904,0.934587,1.547284
2011,0.301871,3.264430,0.344209,0.481904,2.598295,0.908040,1.511728
2012,0.298606,3.349931,0.355380,0.525924,2.665751,0.889360,1.455095
2013,0.303001,3.347728,0.358045,0.544579,2.713529,0.866957,1.493842
2014,0.304543,3.382983,0.343961,0.586259,2.722715,0.829384,1.509657
2015,0.314579,3.405476,0.332965,0.609120,2.690513,0.844680,1.465201
2016,0.319072,3.434287,0.327493,0.642069,2.660528,0.844573,1.431594
2017,0.327815,3.506957,0.323251,0.662042,2.729261,0.851108,1.417963
2018,0.337439,3.549765,0.310740,0.708304,2.823906,0.832283,1.463219
2019,0.338312,3.624285,0.300781,0.712657,2.923994,0.792836,1.429015
2020,0.229135,3.451184,0.283102,0.661226,2.973941,0.716990,1.280009
2021,0.239924,3.588297,0.288892,0.730289,3.079804,0.764593,1.370118
2022,0.263556,3.601848,0.281017,0.772689,3.196454,0.746983,1.379750
2023,0.295511,3.653442,0.269353,0.835905,3.322055,0.678220,1.342360
2024,0.325454,3.720373,0.262518,0.871582,3.353995,0.662163,1.338461
2025,0.336546,3.751657,0.256077,0.881369,3.359574,0.662704,1.360816
