"Year","Coal","Oil","Gas","Others","Land-use change"
1850,0.053725,0,0,0,0.740727
1851,0.054252,0,0,0,0.769860
1852,0.056658,0,0,0,0.796220
1853,0.059290,0,0,0,0.801160
1854,0.069607,0,0,0,0.812107
1855,0.071022,0.000010,0,0,0.826370
1856,0.075929,0.000011,0,0,0.830750
1857,0.076728,0.000014,0,0,0.843800
1858,0.077917,0.000017,0,0,0.849460
1859,0.082565,0.000015,0,0,0.861330
1860,0.090618,0.000075,0,0,0.790387
1861,0.095046,0.000257,0,0,0.755080
1862,0.096777,0.000382,0,0,0.734787
1863,0.103232,0.000353,0,0,0.726753
1864,0.111467,0.000303,0,0,0.733227
1865,0.118322,0.000360,0,0,0.711867
1866,0.122029,0.000533,0,0,0.715330
1867,0.130685,0.000542,0,0,0.702787
1868,0.134335,0.000625,0,0,0.699580
1869,0.142499,0.000713,0,0,0.697590
1870,0.145467,0.000855,0,0,0.794603
1871,0.154611,0.000896,0,0,0.817970
1872,0.171196,0.001009,0,0,0.861847
1873,0.181441,0.001547,0,0,0.875870
1874,0.169874,0.001704,0,0,0.903573
1875,0.184283,0.001592,0,0,0.909450
1876,0.186694,0.001783,0,0,0.924540
1877,0.189741,0.002408,0,0,0.948870
1878,0.190942,0.002740,0,0,0.963837
1879,0.203913,0.003454,0,0,0.979423
1880,0.229993,0.004192,0,0.000047,0.988840
1881,0.237644,0.004705,0,0.000057,0.983477
1882,0.250761,0.005168,0.000045,0.000074,1.005370
1883,0.267641,0.004503,0.000104,0.000095,1.021877
1884,0.270180,0.005000,0.000320,0.000091,1.023280
1885,0.271417,0.005174,0.001014,0.000094,1.024873
1886,0.273776,0.005955,0.002095,0.000102,1.023497
1887,0.286152,0.006408,0.003217,0.000152,1.039527
1888,0.316443,0.006708,0.004578,0.000148,1.037237
1889,0.316835,0.007752,0.003337,0.000159,1.046680
1890,0.343956,0.009456,0.003190,0.000182,1.123460
1891,0.360027,0.011143,0.002442,0.000187,1.147963
1892,0.363491,0.010973,0.002122,0.000199,1.141290
1893,0.358265,0.011611,0.001989,0.000182,1.151443
1894,0.372035,0.011380,0.001828,0.000190,1.174597
1895,0.392920,0.013247,0.001922,0.000198,1.170870
1896,0.405361,0.014347,0.001869,0.000216,1.175017
1897,0.424311,0.015155,0.001989,0.000249,1.194173
1898,0.447689,0.015603,0.002309,0.000275,1.198487
1899,0.489139,0.016383,0.002976,0.000352,1.208247
1900,0.513822,0.018369,0.003150,0.000381,1.217450
1901,0.528481,0.020400,0.003510,0.000455,1.251487
1902,0.540475,0.022053,0.003738,0.000589,1.263033
1903,0.590053,0.023352,0.003965,0.000696,1.272680
1904,0.593459,0.026221,0.004139,0.000750,1.302377
1905,0.633433,0.026477,0.004686,0.000959,1.311107
1906,0.661967,0.026713,0.005193,0.001227,1.329560
