"Year","China","USA","India","EU27","Bunkers","RoW"
2000,3.643810,6.023158,0.987065,3.600416,0.783520,10.473516
2001,3.724114,5.903562,1.001198,3.657100,0.777503,10.629516
2002,4.098181,5.947819,1.032750,3.657391,0.796846,10.732345
2003,4.835252,6.006440,1.068398,3.736359,0.829259,11.176982
2004,5.210961,6.111545,1.134611,3.743384,0.903466,11.506057
2005,5.881991,6.126903,1.195393,3.734892,0.939227,11.720544
2006,6.486185,6.045326,1.293322,3.752005,0.990595,12.026720
2007,6.974663,6.121543,1.393485,3.701868,1.048253,12.259444
2008,7.492404,5.919221,1.490366,3.625826,1.058181,12.463661
2009,7.881491,5.486104,1.613328,3.330504,1.014049,12.187537
2010,8.610048,5.669250,1.678530,3.424327,1.072032,12.863487
2011,9.520153,5.538973,1.765695,3.327059,1.106056,13.222054
2012,9.767311,5.331467,1.926986,3.258616,1.094093,13.576261
2013,9.942371,5.473436,1.995337,3.176529,1.110196,13.577951
2014,9.976028,5.531385,2.148052,3.038861,1.115847,13.655521
2015,9.858040,5.368497,2.231817,3.094907,1.152619,13.697648
2016,9.748175,5.245362,2.352540,3.094515,1.169079,13.783159
2017,10.000014,5.195418,2.425722,3.118460,1.201115,14.033881
2018,10.346790,5.361236,2.595227,3.049484,1.236376,14.144890
2019,10.713514,5.235912,2.611175,2.904949,1.239574,14.381442
2020,10.896520,4.689954,2.422732,2.627051,0.839551,13.682422
2021,11.284401,5.020111,2.675778,2.801469,0.879083,14.206021
2022,11.711807,5.055403,2.831132,2.736946,0.965669,14.226815
2023,12.172009,4.918407,3.062756,2.484997,1.082754,14.373122
2024,12.289037,4.904120,3.193478,2.426166,1.192464,14.593314
2025,12.309477,4.986031,3.229335,2.428147,1.233106,14.684337
