"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,0.500294,5.530299,260763.461440,723415733
1966,0.549467,6.009509,288534.770090,742402213
1967,0.460233,5.403846,271886.313840,761026026
1968,0.495514,5.460105,260738.975000,781011025
1969,0.607694,6.642670,304908.157350,802140332
1970,0.807964,8.502114,363755.431710,823308967
1971,0.909210,10.080447,389494.346430,844069867
1972,0.968636,10.867812,404397.551290,863677814
1973,1.008269,11.472815,435830.959930,882576946
1974,1.028063,11.832342,446009.806690,900307582
1975,1.183154,13.249589,484832.922180,916116793
1976,1.226339,13.949376,477268.894190,930372292
1977,1.340715,15.210548,513426.662500,943546375
1978,1.492517,16.675318,573309.807990,956161485
1979,1.525417,17.178573,616839.596010,969288069
1980,1.494298,17.379122,665154.377470,983163542
1981,1.476280,17.149859,699154.604770,997721071
1982,1.606239,17.916733,762210.902040,1013588179
1983,1.693747,19.071714,844290.955880,1029064956
1984,1.844213,20.466520,972561.091430,1043849638
1985,1.997193,22.141336,1103183.303000,1059807820.000000
1986,2.103430,23.198783,1201907.246400,1077233607
1987,2.256629,25.020860,1342026.177500,1096217446
1988,2.424444,26.881604,1492627.121000,1115244165
1989,2.462150,28.211172,1555420.672400,1133991008
1990,2.483535,28.577698,1616390.167900,1153582724
1991,2.619143,30.015398,1766106.873600,1170788528
1992,2.731290,31.585351,2017331.610800,1184574237
1993,2.914284,34.047482,2297412.834100,1197308575
1994,3.093891,36.175724,2596916.984700,1209003096
1995,3.351197,37.269570,2881381.504100,1220133927
1996,3.499311,39.266818,3167293.646200,1230944812
1997,3.512350,39.532080,3459842.630300,1241139622
1998,3.355336,39.602039,3731306.320100,1250847127
1999,3.549949,40.989844,4017185.621000,1260176655
2000,3.643810,42.481023,4358243.918400,1269581175
2001,3.724114,44.892227,4721537.020400,1278725063
2002,4.098181,48.889766,5152785.099000,1286866839
2003,4.835252,56.947523,5670024.092400,1294517326
2004,5.210961,66.632888,6243470.325200,1302100316
2005,5.881991,75.697795,6954888.051900,1310027136
2006,6.486185,82.973999,7839619.015200,1318054036
2007,6.974663,90.178471,8955262.498700,1325813582
2008,7.492404,93.673667,9819504.397200,1333821016
2009,7.881491,97.772036,10742414.244000,1342522716
2010,8.610048,104.600194,11884961.309000,1351561514
2011,9.520153,112.811528,13020073.195000,1360250664
2012,9.767311,117.447046,14043935.267000,1369520864
2013,9.942371,121.869234,15134607.861000,1379008040
2014,9.976028,125.024635,16258469.707000,1387951972
2015,9.858040,126.489553,17403280.424000,1396134174
2016,9.748175,126.999766,18595190.725000,1404052632
2017,10.000014,131.937782,19887035.114000,1412354727
2018,10.346790,138.275363,21229364.459000,1419008956
2019,10.713514,144.679403,22526504.174000,1423520357
2020,10.896520,149.378007,23031901.022000,1426106093
2021,11.284401,157.849857,24892775.403000,1426437267
2022,11.711807,160.259370,25981441.672000,1425179569
2023,12.172009,169.459239,27299797.358000,1422584933
2024,12.289037,176.353556,28688674.430000,1419321278
