"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201801,12365,14894,818,11,401,79
201802,11391,13990,598,14,445,61
201803,14123,19540,876,20,753,95
201804,12708,17615,830,28,550,90
201805,13486,17702,782,65,425,91
201806,15922,20615,835,53,514,76
201807,13416,16737,761,64,454,44
201808,13773,18920,987,109,389,49
201809,6747,9335,485,66,553,8
201810,8829,12073,567,183,836,25
201811,9119,12905,443,259,862,16
201812,8232,9824,371,176,575,15
201901,10318,13668,515,227,507,22
201902,9230,12958,562,182,691,17
201903,11929,17398,1011,249,1344,27
201904,12373,17347,1174,295,724,38
201905,11922,16525,1069,281,699,78
201906,11947,18241,981,348,939,73
201907,11766,17590,948,367,711,46
201908,11382,16168,1154,336,799,49
201909,7575,11081,1008,365,969,49
201910,9707,12987,1336,515,515,78
201911,9138,11665,1328,432,653,55
201912,9024,11078,1262,560,691,67
202001,8901,11060,1766,479,695,58
202002,8281,9711,1592,468,981,34
202003,4137,4453,1042,254,752,16
202004,4484,5027,849,276,557,27
202005,7417,9650,1965,394,735,50
202006,9671,12860,2446,568,1085,46
202007,9496,10945,2552,675,1064,52
202008,7689,9307,2077,670,1127,36
202009,8308,8792,2109,984,1946,23
202010,7989,10263,3387,1022,1578,35
202011,6931,7340,2486,1219,2061,18
202012,7605,8363,3109,1278,3391,26
202101,3635,6081,2082,955,1377,3
202102,5181,8842,2929,1067,1831,13
202103,7475,11716,5472,1440,3412,11
202104,6048,8994,3597,1246,2404,7
202105,5656,8576,4145,1403,2709,14
202106,6138,10128,4859,1319,3614,17
202107,4990,7824,3961,1129,1990,8
202108,4016,6225,3272,998,3200,8
202109,3266,6702,3320,972,3597,7
202110,3150,4996,3383,900,2323,3
202111,4292,5684,3090,953,3498,2
202112,4416,5710,2941,1163,3411,7
202201,3712,6134,2859,897,2013,4
202202,3763,6053,3174,990,2114,9
202203,4382,8212,3733,1255,3039,32
202204,3365,6652,3217,1280,1849,1
202205,3665,6748,3487,1141,2064,2
202206,5201,8975,4047,1116,3414,7
202207,3980,5942,2638,1070,2418,6
202208,4396,6457,3121,1196,2639,5
202209,4580,6898,3622,1081,4554,0
202210,3712,5497,3043,1145,2660,4
202211,3761,5684,4097,1201,3430,5
202212,3598,5315,3666,1050,3971,2
202301,3923,7220,3786,1175,2745,1
202302,3596,5929,3784,1171,3415,0
202303,5261,8812,5659,1499,5075,1
202304,3442,6355,4108,1202,3395,2
202305,3955,6831,4508,1197,4130,2
202306,5101,7989,5478,1324,4612,7
202307,3758,5387,3976,1123,3321,1
202308,3821,5545,4326,1152,3945,1
202309,3603,5976,4817,1183,4256,5
202310,3172,5551,4592,1173,4378,1
202311,3390,5838,4182,1160,4330,0
202312,3546,5921,3751,1260,4019,0
202401,3506,5681,4396,1142,2823,4
202402,4135,6527,5000,1026,3322,0
202403,5050,8312,6418,1258,4657,6
202404,4197,8070,4555,1282,3232,1
202405,3876,6788,4514,1193,3448,1
202406,5906,11017,7502,1572,4696,0
202407,3017,6388,5358,1204,2933,1
202408,2425,5735,4822,1033,3100,0
202409,3010,6106,5271,1086,4421,0
202410,3058,6575,6974,1384,3990,0
202411,2748,5729,5711,1171,3737,0
202412,3204,7076,6151,995,4263,0
202501,3074,6505,5662,1385,3822,0
202502,2488,5736,6141,1021,4233,0
202503,2982,7346,8246,1253,6122,1
202504,2827,6681,8327,1329,5690,1
202505,2731,6808,8055,1289,5428,0
