"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201803,37879,48424,1684,653,1599,235
201806,42116,55932,1887,706,1489,257
201809,33936,44992,1950,522,1396,101
201812,26180,34802,1622,377,2273,56
201903,31477,44024,2263,483,2542,66
201906,36242,52113,3733,415,2362,189
201909,30723,44839,3812,366,2479,144
201912,27869,35730,4541,892,1859,200
202003,21319,25224,4412,1189,2428,108
202006,21572,27537,5112,1386,2377,123
202009,25493,29044,7213,1854,4137,111
202012,22525,25966,9289,3212,7030,79
202103,16291,26639,10222,3723,6620,27
202106,17842,27698,12352,4217,8727,38
202109,12272,20751,10252,3400,8787,23
202112,11858,16390,9144,3286,9232,12
202203,11857,20399,9702,3206,7166,45
202206,12231,22375,10952,3336,7327,10
202209,12956,19297,9831,2897,9611,11
202212,11071,16496,10373,3829,10061,11
202303,12780,21961,12682,4392,11235,2
202306,12498,21175,13397,4420,12137,11
202309,11182,16908,12304,4273,11522,7
202312,10108,17310,12247,3871,12727,1
202403,12691,20520,14959,4281,10802,10
202406,13979,25875,16204,4414,11376,2
202409,8452,18229,14969,3805,10454,1
202412,9010,19380,17958,4428,11990,0
202503,8544,19587,18178,5530,14177,1
202506,9104,20963,22035,7574,17357,1
202509,3085,6727,7353,2782,4920,0
