"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201303,98219,49015,1796,110,41,203
201306,90237,48875,1621,49,95,222
201309,64308,33861,1259,61,156,120
201312,62750,32536,1208,105,209,124
201403,90857,54768,2340,217,315,297
201406,87012,49693,1742,253,276,671
201409,63833,34607,1572,136,249,201
201412,58043,34480,1857,268,326,180
201503,86029,57851,2345,584,361,267
201506,84409,54149,1611,747,394,405
201509,64430,37400,1520,476,337,204
201512,65996,40335,1412,682,264,194
201603,78183,67262,2516,1697,582,684
201606,82045,71912,2195,1918,493,978
201609,60913,49231,2255,1731,462,489
201612,58814,51404,2262,1892,509,501
201703,76882,80222,4181,2415,788,628
201706,73458,76544,3068,3502,695,802
201709,54086,52456,2647,2843,560,840
201712,49433,55214,2474,3095,664,761
201803,62377,93981,4498,3096,906,1244
201806,57582,98896,4144,2895,793,1943
201809,45016,72714,3181,2127,713,915
201812,30375,57290,3483,1379,1259,442
201903,45798,99298,6511,1726,2199,703
201906,48481,94099,6878,1533,2411,1557
201909,40010,78067,6183,1734,2140,997
201912,33538,64367,7441,2959,2120,732
202003,37967,69698,11214,5033,2882,882
202006,27023,47931,7179,4325,2047,894
202009,36255,56283,11054,8026,4388,1325
202012,29765,37290,10388,14135,5680,960
202103,27241,55319,19493,12661,4036,884
202106,22210,51985,20055,13300,5073,914
202109,13282,34299,15858,11119,6184,740
202112,12224,27082,12183,10437,7414,638
202203,15371,41666,20820,15139,9645,907
202206,12819,37082,19613,14757,7580,734
202209,10840,35249,18063,12993,8673,651
202212,9314,31739,15630,16037,11804,652
202303,12101,50271,25342,22415,20833,1005
202306,9734,46266,25007,28238,22840,1275
202309,6338,31507,21421,25767,25150,532
202312,5133,27754,20424,23557,24620,787
202403,6026,40294,29744,27339,31139,1152
202406,5499,40056,31054,17792,33335,928
202409,3168,24619,21934,11336,31908,615
202412,3051,23429,23820,9594,31479,865
202503,2868,31573,36091,9522,40436,914
202506,2831,26131,34509,9608,34844,1012
202509,1972,19653,26610,9510,31282,646
202512,1396,18169,26372,9231,35666,538
202603,1760,26739,39551,6112,39495,636
202606,1627,14484,24824,3350,26590,857
