"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Ethanol/Petrol","Plugin hybrid","Battery electric"
201206,84516,144533,0,1402693,0,71
201212,112761,129382,0,1760181,0,46
201306,105257,88589,0,1515463,0,211
201312,115925,100520,0,1653651,0,280
201406,99453,90848,0,1394199,0,418
201412,107826,93993,0,1546309,0,437
201506,77969,71824,0,1121799,0,408
201512,71547,64326,0,1072221,0,438
201606,73448,40573,0,837793,0,451
201612,82814,39922,0,912955,0,640
201706,78628,31722,0,881557,0,1184
201712,97937,37180,0,1045664,0,2112
201806,99993,40216,0,986989,0,1944
201812,121267,41719,0,1181184,0,2026
201906,115152,36088,0,1098177,0,2356
201912,136070,37765,0,1230473,0,9502
202006,85358,23047,0,649275,0,7568
202012,125796,35883,0,1015724,0,12177
202106,116983,26386,13160,850637,0,739
202112,147202,27201,18970,773711,0,2121
202206,109863,24603,17068,698199,0,3394
202212,119250,24201,23754,935083,0,5046
202306,100906,24453,17709,777111,10747,3762
202312,114983,36116,24731,1032753,21444,15515
202406,104590,45293,25641,849194,22459,31169
202412,135868,57095,30552,1118159,37150,30366
202506,120054,51012,43727,847529,40575,30483
