"YYYYMM","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201701,125734.666667,1395,600.666667,554.666667,4206.666667
201702,125734.666667,1395,600.666667,554.666667,4206.666667
201703,125734.666667,1395,600.666667,554.666667,4206.666667
201704,180589.666667,2399.666667,865.333333,731.666667,5314.666667
201705,180589.666667,2399.666667,865.333333,731.666667,5314.666667
201706,180589.666667,2399.666667,865.333333,731.666667,5314.666667
201707,163381.666667,2421.333333,864,800,5556.666667
201708,163381.666667,2421.333333,864,800,5556.666667
201709,163381.666667,2421.333333,864,800,5556.666667
201710,132552,1824.333333,929.333333,940,4785
201711,132552,1824.333333,929.333333,940,4785
201712,132552,1824.333333,929.333333,940,4785
201801,118064.333333,1459,1292.666667,879.666667,4462
201802,118064.333333,1459,1292.666667,879.666667,4462
201803,118064.333333,1459,1292.666667,879.666667,4462
201804,176117.333333,2678,2306.333333,2464.333333,6583.333333
201805,176117.333333,2678,2306.333333,2464.333333,6583.333333
201806,176117.333333,2678,2306.333333,2464.333333,6583.333333
201807,157458.666667,2314.666667,1922.333333,2168.666667,5868
201808,157458.666667,2314.666667,1922.333333,2168.666667,5868
201809,157458.666667,2314.666667,1922.333333,2168.666667,5868
201810,123461.333333,2160.666667,1245,2010.666667,4520.333333
201811,123461.333333,2160.666667,1245,2010.666667,4520.333333
201812,123461.333333,2160.666667,1245,2010.666667,4520.333333
201901,116896,2198.666667,949.666667,1757.666667,4029.333333
201902,116896,2198.666667,949.666667,1757.666667,4029.333333
201903,116896,2198.666667,949.666667,1757.666667,4029.333333
201904,165471,4351,2254.666667,4123.333333,4791.666667
201905,165471,4351,2254.666667,4123.333333,4791.666667
201906,165471,4351,2254.666667,4123.333333,4791.666667
201907,153639.666667,3449.666667,1989.333333,3373.333333,5099.000000
201908,153639.666667,3449.666667,1989.333333,3373.333333,5099.000000
201909,153639.666667,3449.666667,1989.333333,3373.333333,5099.000000
201910,122811.666667,2797.333333,1490.666667,2586.666667,3918.666667
201911,122811.666667,2797.333333,1490.666667,2586.666667,3918.666667
201912,122811.666667,2797.333333,1490.666667,2586.666667,3918.666667
202001,95458,2560,1128,2795.333333,4161.666667
202002,95458,2560,1128,2795.333333,4161.666667
202003,95458,2560,1128,2795.333333,4161.666667
202004,87761,2122.333333,986,2029.333333,3979
202005,87761,2122.333333,986,2029.333333,3979
202006,87761,2122.333333,986,2029.333333,3979
202007,144000.333333,4927.333333,1489.333333,4200.333333,6013.333333
202008,144000.333333,4927.333333,1489.333333,4200.333333,6013.333333
202009,144000.333333,4927.333333,1489.333333,4200.333333,6013.333333
202010,109682,4208,1244.666667,3987,5848.666667
202011,109682,4208,1244.666667,3987,5848.666667
202012,109682,4208,1244.666667,3987,5848.666667
202101,103796.666667,4200.333333,1434.666667,4231,5560.000000
202102,103796.666667,4200.333333,1434.666667,4231,5560.000000
202103,103796.666667,4200.333333,1434.666667,4231,5560.000000
202104,133500,7655.333333,2498,5389,6393.666667
202105,133500,7655.333333,2498,5389,6393.666667
202106,133500,7655.333333,2498,5389,6393.666667
202107,123717.333333,6869,2555,5281.666667,4324.333333
202108,123717.333333,6869,2555,5281.666667,4324.333333
202109,123717.333333,6869,2555,5281.666667,4324.333333
202110,93331,4217,2215.333333,4749,4056.666667
202111,93331,4217,2215.333333,4749,4056.666667
202112,93331,4217,2215.333333,4749,4056.666667
202201,91675.333333,4293.666667,1797.333333,6545.333333,4792.000000
202202,91675.333333,4293.666667,1797.333333,6545.333333,4792.000000
202203,91675.333333,4293.666667,1797.333333,6545.333333,4792.000000
202204,113740.666667,8532.666667,2493,7154,7319.666667
202205,113740.666667,8532.666667,2493,7154,7319.666667
202206,113740.666667,8532.666667,2493,7154,7319.666667
202207,103666.333333,6828.333333,1489.666667,9715.333333,6212
202208,103666.333333,6828.333333,1489.666667,9715.333333,6212
202209,103666.333333,6828.333333,1489.666667,9715.333333,6212
202210,90350.666667,5448.333333,1813.333333,9154.666667,5251.333333
202211,90350.666667,5448.333333,1813.333333,9154.666667,5251.333333
202212,90350.666667,5448.333333,1813.333333,9154.666667,5251.333333
202301,91788,7459.666667,2128.333333,7932.666667,5123.333333
202302,91788,7459.666667,2128.333333,7932.666667,5123.333333
202303,91788,7459.666667,2128.333333,7932.666667,5123.333333
202304,117464.333333,12615,3760.333333,11664.333333,6190.333333
202305,117464.333333,12615,3760.333333,11664.333333,6190.333333
202306,117464.333333,12615,3760.333333,11664.333333,6190.333333
202307,109667.333333,12519.333333,4432,14416.666667,5598
202308,109667.333333,12519.333333,4432,14416.666667,5598
202309,109667.333333,12519.333333,4432,14416.666667,5598
202310,103658.333333,11148,4102.333333,13235.333333,6088
202311,103658.333333,11148,4102.333333,13235.333333,6088
202312,103658.333333,11148,4102.333333,13235.333333,6088
202401,101147,10861.333333,4149.666667,11833.333333,5652
202402,101147,10861.333333,4149.666667,11833.333333,5652
202403,101147,10861.333333,4149.666667,11833.333333,5652
202404,123294.666667,12671.333333,5629.666667,16061,6593.333333
202405,123294.666667,12671.333333,5629.666667,16061,6593.333333
202406,123294.666667,12671.333333,5629.666667,16061,6593.333333
202407,108705.333333,14316,6412,18578.333333,6856.666667
202408,108705.333333,14316,6412,18578.333333,6856.666667
202409,108705.333333,14316,6412,18578.333333,6856.666667
202410,94606,14602.666667,6403.666667,20452,5923.000000
202411,94606,14602.666667,6403.666667,20452,5923.000000
202412,94606,14602.666667,6403.666667,20452,5923.000000
