"YYYYMM","Diesel","Petrol","Hybrid","Battery electric","Others"
200001,985,7650,0,0,-23923
200002,1073,8944,0,0,-24898
200003,1563,11109,0,0,-26010
200004,1170,9350,0,0,-20354
200005,1567,10461,0,0,-26637
200006,1510,8950,0,0,-23299
200007,1243,7511,0,0,-22907
200008,1471,6857,0,0,-26767
200009,1119,6678,0,0,-25020
200010,1059,6619,0,0,-24791
200011,1155,6212,0,0,-24456
200012,1388,7968,0,0,-16804
200101,1097,5129,0,0,-26059
200102,1186,5938,0,0,-22366
200103,1340,7971,0,0,-25465
200104,1484,7576,0,0,-22816
200105,1709,8392,0,0,-26624
200106,2040,8020,0,0,-25084
200107,1400,5890,0,0,-25894
200108,1480,6250,0,0,-27546
200109,1322,5344,0,0,-24751
200110,1325,5873,0,0,-28554
200111,1425,6035,0,0,-26044
200112,1343,6537,0,0,-17025
200201,1533,5500,0,0,-27735
200202,1661,6460,0,0,-25166
200203,1817,8425,0,0,-25392
200204,1889,8139,0,0,-27911
200205,2263,9641,0,0,-29172
200206,2199,9051,0,0,-24778
200207,1823,7368,0,0,-27833
200208,1690,7135,0,0,-27483
200209,1904,6864,0,0,-27507
200210,2075,6973,0,0,-29379
200211,2053,6102,0,0,-24693
200212,1795,7236,0,0,-18767
200301,1971,4715,0,0,-26797
200302,1717,5143,0,0,-25155
200303,1849,6153,0,0,-28651
200304,1511,6273,0,0,-29058
200305,1946,7041,0,0,-29615
200306,1988,7084,0,0,-27464
200307,1878,6253,0,0,-29368
200308,1724,5430,0,0,-26873
200309,1907,6013,0,0,-28199
200310,1863,6205,0,0,-31295
200311,1874,6444,0,0,-23877
200312,2047,7468,0,0,-20761
200401,1857,5851,0,0,-26821
200402,1780,5753,0,0,-28308
200403,2424,8056,0,0,-32617
200404,2424,8285,0,0,-29193
200405,2152,7888,0,0,-26407
200406,2996,9597,0,0,-30589
200407,2351,6970,0,0,-29525
200408,2239,6894,0,0,-27804
200409,2683,7820,0,0,-29274
200410,2518,8037,0,0,-27275
200411,3198,8232,0,0,-26782
200412,3432,9103,0,0,-22861
200501,2507,7507,0,0,-27739
200502,2279,7418,0,0,-26643
200503,2818,9724,0,0,-28404
200504,3167,10887,0,0,-29572
200505,3022,10058,0,0,-30501
200506,3910,11281,0,0,-31608
200507,2946,8919,0,0,-28082
200508,2851,9110,0,0,-30512
200509,3270,9333,0,0,-30722
200510,3198,8420,0,0,-29712
200511,3033,9540,0,0,-28048
200512,3886,9492,0,0,-22581
200601,2905,8399,0,0,-26998
200602,3014,7650,0,0,-28309
200603,3540,10836,0,0,-33489
200604,3166,10210,0,0,-26819
200605,3772,12058,0,0,-31586
200606,4767,12323,0,0,-29926
200607,3376,8160,0,0,-28478
200608,3668,8407,0,0,-32162
200609,3333,8978,0,0,-29778
200610,3651,8785,0,0,-29878
200611,3711,8941,0,0,-27860
200612,4754,8312,0,0,-20580
200701,3270,8414,0,0,-28850
200702,3109,7701,0,0,-25867
200703,4301,10142,0,0,-29612
200704,3631,8643,0,0,-27789
200705,4892,9450,0,0,-28924
200706,5760,9420,0,0,-26705
200707,5502,7932,0,0,-27943
200708,5880,7487,0,0,-29457
200709,6128,7311,0,0,-24904
200710,7256,7249,0,0,-27988
200711,7744,7445,0,0,-24352
200712,7445,6367,0,0,-15043
200801,6788,7604,0,0,-25423
200802,6114,6850,0,0,-26430
200803,5997,6631,0,0,-23841
200804,7531,8563,0,0,-27376
200805,6702,7902,0,0,-25107
200806,7462,7912,0,0,-24881
200807,5982,7020,0,0,-26000
200808,5079,6264,0,0,-23475
200809,5355,6640,0,0,-25891
200810,5033,6290,0,0,-26742
200811,3825,4504,0,0,-21105
200812,4572,4038,0,0,-17339
200901,3160,4621,0,0,-26726
200902,3264,4157,0,0,-24357
200903,4138,5686,0,0,-27802
200904,3931,5102,0,0,-29114
200905,4356,4962,0,0,-27455
200906,5233,6029,0,0,-28189
200907,3749,5328,0,0,-31302
200908,3363,4541,0,0,-27982
200909,4193,5561,0,0,-28381
200910,4436,5527,0,0,-28719
200911,4031,5006,0,0,-25510
200912,7153,4640,0,0,-16508
201001,4932,5711,0,0,-24792
201002,4121,4465,0,0,-24878
201003,5949,7999,0,0,-32302
201004,5293,6651,0,0,-27727
201005,6190,6782,0,0,-26975
201006,7331,8201,0,0,-29040
201007,5132,6534,0,0,-28585
201008,4523,7232,0,0,-28482
201009,5728,7799,0,0,-31935
201010,6102,7489,0,0,-26479
201011,7208,6735,0,0,-24532
201012,10150,5308,0,0,-14260
201101,4299,8058,0,6,0
201102,4871,6637,0,28,0
201103,7328,9351,0,85,0
201104,5889,7460,0,72,0
201105,8251,8220,0,88,0
201106,8575,8398,0,37,0
201107,6451,6585,0,14,0
201108,5882,6576,0,29,0
201109,6813,6965,0,8,0
201110,5921,6435,0,17,0
201111,7560,7450,0,3,2
201112,9721,5537,0,78,0
201201,5051,7753,0,63,0
201202,6341,7809,0,22,0
201203,5329,8312,0,30,1
201204,4978,7078,0,10,0
201205,7237,9263,0,118,0
201206,6091,8465,0,38,0
201207,7444,9150,0,39,0
201208,4424,9043,0,45,0
201209,4924,8890,0,44,0
201210,5002,10100,0,45,0
201211,5930,10129,0,32,0
201212,5195,5382,0,44,0
201301,4331,10338,0,47,0
201302,3461,8684,0,24,0
201303,4570,10290,0,27,5
201304,4816,10839,0,7,20
201305,5146,11289,0,28,2
201306,6187,11208,0,31,0
201307,4430,9686,0,17,0
201308,3961,10059,0,53,0
201309,4175,10126,0,86,1
201310,4902,11717,0,34,1
201311,5333,10384,0,92,0
201312,6123,8024,0,87,1
201401,4204,11929,0,109,0
201402,3789,10888,1,44,4
201403,4721,11899,1,141,4
201404,5042,11279,2,121,2
201405,5609,11146,0,76,2
201406,6149,11252,4,123,2
201407,4569,9569,11,74,0
201408,4317,10108,16,123,0
201409,4216,10004,20,100,17
201410,5348,10767,15,132,2
201411,4972,9924,4,191,1
201412,6608,8407,8,330,10
201501,3703,12228,5,61,4
201502,4406,9046,11,51,1
201503,6163,12920,14,441,0
201504,5460,11280,41,145,0
201505,5255,11602,21,115,9
201506,6562,14485,38,228,3
201507,4677,11379,15,130,1
201508,4575,10968,35,531,4
201509,5349,12128,19,236,6
201510,5271,11298,35,208,3
201511,5502,10912,50,602,1
201512,7280,9452,122,1553,13
201601,5592,10681,19,65,23
201602,5523,11020,30,16,1
201603,6519,12541,52,32,6
201604,7011,12788,30,24,2
201605,7933,13122,36,33,0
201606,9029,14476,39,75,4
201607,5566,10049,51,26,0
201608,6116,11033,65,144,3
201609,6063,12026,44,267,0
201610,5623,11242,46,80,2
201611,7053,10639,73,204,7
201612,8183,10754,87,299,2
201701,6659,12817,10,5,0
201702,6510,10892,13,12,17
201703,7748,14932,25,23,5
201704,6378,11235,12,12,1
201705,8167,14119,17,9,1
201706,9046,14843,24,69,0
201707,5228,9929,34,30,0
201708,4657,10438,29,181,0
201709,2572,11634,3,89,28
201710,6109,12257,72,84,2
201711,7506,10187,197,124,0
201712,6912,9324,185,53,8
201801,7283,12225,354,36,0
201802,6182,10801,243,47,0
201803,6838,12584,252,111,0
201804,6137,12183,311,135,0
201805,7668,14628,218,76,1
201806,7496,14667,274,119,2
201807,5061,10996,374,51,0
201808,7014,12980,497,172,2
201809,3468,8210,123,183,2
201810,5325,10997,151,169,0
201811,5565,11920,230,212,2
201812,4437,9127,99,233,4
201901,5507,15095,432,257,0
201902,4803,13179,398,218,0
201903,6958,18327,390,512,2
201904,4222,11400,170,458,3
201905,5161,13363,198,422,2
201906,5629,14284,165,702,0
201907,4681,11554,277,263,1
201908,4917,13131,325,338,0
201909,3948,10866,410,724,0
201910,4889,12732,421,327,3
201911,5012,12266,432,374,1
201912,4635,9666,262,906,2
202001,5578,11798,773,530,1
202002,3796,10173,596,492,0
202003,3844,9616,647,1110,0
202004,2606,6777,530,373,0
202005,2529,8059,587,372,0
202006,3950,11853,1415,828,1
202007,4182,11897,2537,486,0
202008,3381,10819,2462,1014,0
202009,3147,10400,1347,2337,0
202010,3379,9028,1622,1097,0
202011,4223,10055,2219,1740,2
202012,5194,10199,3500,3839,41
202101,2040,6246,1453,574,0
202102,2193,6078,1362,343,0
202103,3249,13868,4692,2059,2
202104,2367,9431,2834,998,0
202105,2531,9815,3525,1148,0
202106,3108,10575,4552,2271,1
202107,1842,7425,2959,1340,0
202108,1811,7655,3397,3047,1
202109,1440,6405,3248,3186,3
202110,1488,5762,3279,2124,66
202111,1714,6601,3635,3024,1
202112,1736,5815,5506,4758,1
202201,1015,5559,1210,1668,1
202202,1189,5649,1711,1717,0
