"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202203,425946,1036317,658458,234371,325276,74537
202206,441533,1103767,671902,237719,322119,69482
202209,391283,1018324,634973,215951,355030,59983
202212,378971,983240,682347,326331,572272,73277
202303,424375,1224531,842549,227939,433168,83423
202306,417707,1239718,852962,251627,505675,84565
202309,353925,1074296,821537,240971,533224,69752
202312,337592,1049196,877372,268652,547401,83522
202403,379879,1209869,1008746,252613,448560,94183
202406,397246,1214484,1047920,234617,505496,85040
202409,283279,913572,947402,206904,478933,69000
202412,294146,940334,1058603,256987,559843,78209
202503,278516,954966,1214817,267583,573624,91934
