"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201101,133299,50320,908,3,100,4320
201102,144175,60340,1018,2,138,1776
201103,176451,78082,1406,1,250,4400
201104,125996,43699,1253,5,187,125
201105,147561,48360,1036,1,144,231
201106,152527,52262,799,2,141,144
201107,113933,44641,890,2,65,186
201108,75680,31809,953,1,108,89
201109,122287,46656,1354,0,300,197
201110,134174,44120,1389,2,206,223
201111,137352,43943,1405,25,466,251
201112,139883,51166,1508,12,532,236
201201,109083,40005,1141,12,320,218
201202,121908,42217,1210,9,406,234
201203,146996,51118,2055,35,483,284
201204,124540,40451,1658,43,395,170
201205,120856,41099,1756,26,564,217
201206,152222,50033,2588,20,115,291
201207,107962,37289,2440,20,596,231
201208,69070,24506,1742,99,960,117
201209,99614,36452,2966,109,504,130
201210,116839,45176,3749,105,764,129
201211,103758,41447,2990,86,330,114
201212,117083,44564,3528,103,234,88
201301,88832,35832,3731,105,252,45
201302,102377,39521,3770,82,651,75
201303,115728,46837,4534,68,1350,270
201304,109751,44614,3344,35,940,396
201305,100459,43408,3167,30,689,356
201306,123521,59060,4689,43,905,359
201307,97443,47590,4396,60,517,477
201308,57008,26362,2315,30,411,225
201309,95374,45049,3912,87,652,153
201310,111541,53242,4911,145,1091,306
201311,91173,46864,3874,70,728,129
201312,114688,60327,4703,99,715,185
201401,82462,42233,3864,78,423,140
201402,94399,45958,3947,62,421,137
201403,120124,58152,3859,199,743,221
201404,110292,53990,3599,111,844,165
201405,97261,47672,2968,114,911,143
201406,123965,64904,3472,157,1066,332
201407,92774,47248,3172,121,751,263
201408,51702,29763,2655,78,374,233
201409,94906,54547,3187,477,1525,173
201410,102758,57106,3894,152,1095,194
201411,87148,46852,3689,236,925,165
201412,101223,61702,4548,273,1663,219
201501,80989,51153,4281,217,635,215
201502,88574,56832,4534,288,1121,118
201503,117671,75846,5428,360,1228,245
201504,102113,64572,4320,443,1752,181
201505,84380,54470,3706,497,1085,126
201506,127152,87703,5645,680,2362,299
201507,84684,56334,4475,451,1315,225
201508,52438,36477,3123,295,736,101
201509,93681,68047,4923,519,1750,54
201510,90801,68669,5319,613,1776,43
201511,85118,63479,5403,704,1532,47
201512,103131,79633,5780,753,2248,39
201601,73786,61965,5846,497,1402,34
