"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen","Others"
2009,1168633,2608767,8374,0,162,0,21239
2010,1221938,1669927,10661,0,541,0,13193
2011,1495966,1651637,12622,0,2154,0,11255
2012,1486119,1555241,21438,0,2956,0,16750
2013,1403113,1502784,26348,0,6051,0,14135
2014,1452565,1533726,22908,4527,8522,0,14525
2015,1538451,1611389,22529,11101,12363,0,10209
2016,1539597,1746307,34252,13744,11410,0,6297
2017,1336776,1986488,55237,29436,25056,122,8147
2018,1111130,2142700,98815,31423,36062,171,15477
2019,1152733,2136891,193901,45246,63281,311,14895
2020,819896,1361723,327395,200394,194163,383,13724
2021,524446,972588,429135,325438,355961,479,14085
2022,472274,863445,465227,362092,470559,836,16924
2023,486581,978660,664580,175723,524219,264,14582
2024,483261,991948,755492,191903,380609,161,13957
2025,367934,715724,744838,281133,490368,56,11099
