"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201001,28,58,0,0,0,3
201002,24,50,3,0,0,0
201003,30,123,2,0,0,3
201004,18,60,0,0,0,1
201005,29,358,0,0,2,3
201006,130,994,2,0,0,7
201007,118,315,3,0,0,0
201008,25,76,0,0,0,5
201009,42,62,6,0,0,5
201010,30,83,4,0,0,9
201011,90,91,1,0,0,4
201012,120,97,5,0,0,3
201101,70,122,8,0,0,3
201102,60,67,2,0,0,4
201103,81,91,13,0,0,23
201104,98,179,10,0,0,12
201105,349,682,3,0,0,29
201106,457,692,3,0,0,16
201107,234,188,2,0,0,16
201108,141,136,9,0,0,15
201109,149,113,11,0,0,15
201110,155,150,16,0,0,7
201111,212,150,6,0,0,10
201112,188,92,0,0,0,8
201201,190,120,3,0,0,9
201202,155,149,8,0,0,12
201203,228,188,9,0,0,10
201204,421,289,11,0,0,14
201205,612,887,10,0,0,25
201206,722,751,16,0,0,32
201207,268,272,16,0,0,21
201208,253,170,34,3,7,9
201209,261,169,30,2,0,8
201210,300,179,24,3,0,14
201211,277,186,26,1,2,5
201212,378,152,9,0,0,8
201301,235,180,34,4,3,8
201302,198,155,17,4,0,6
201303,277,202,8,1,0,5
201304,301,259,14,0,0,7
201305,769,630,26,2,1,4
201306,663,792,13,1,0,2
201307,310,303,14,0,4,3
201308,207,193,14,1,16,2
201309,162,166,18,1,6,0
201310,231,210,15,2,8,1
201311,142,137,8,0,4,9
201312,200,75,6,1,7,2
201401,327,189,18,1,4,7
201402,300,183,22,0,1,3
201403,295,234,12,0,8,5
201404,302,363,10,1,6,5
201405,933,1200,13,1,5,0
201406,995,950,10,3,6,2
201407,364,339,16,2,19,1
201408,243,235,8,0,6,5
201409,249,268,20,6,7,3
201410,264,254,21,6,12,0
201411,233,160,13,5,9,1
201412,236,142,18,6,5,5
201501,373,266,15,9,16,1
201502,297,308,15,5,15,4
201503,468,461,6,8,45,4
201504,556,693,27,8,14,8
201505,1179,1351,31,11,25,17
201506,1188,1324,12,12,15,21
201507,620,491,22,11,18,8
201508,385,356,28,14,33,27
201509,405,300,24,15,27,28
201510,386,328,20,9,29,35
201511,328,336,34,31,23,42
201512,524,255,15,18,9,23
201601,664,469,50,9,13,22
201602,517,419,30,25,12,38
201603,716,510,38,29,14,39
201604,864,1247,86,29,16,24
201605,1314,1908,70,63,17,24
201606,1225,1444,83,39,30,32
201607,832,564,78,69,26,47
201608,563,460,72,39,24,24
201609,447,376,74,64,26,38
201610,405,331,51,69,14,30
201611,390,404,45,78,17,23
201612,331,235,19,88,18,17
201701,543,492,103,77,18,24
201702,636,538,55,57,20,40
201703,969,897,71,59,46,47
201704,821,1061,62,53,27,26
201705,1779,1803,99,87,34,48
201706,1426,1416,97,123,54,29
201707,670,834,95,156,42,28
201708,587,569,122,190,43,18
201709,439,441,131,139,60,18
201710,391,395,95,169,38,23
201711,321,388,76,214,18,11
201712,368,350,45,123,14,6
201801,696,574,79,246,29,7
201802,512,421,60,130,28,15
201803,828,738,95,123,44,8
201804,706,732,114,200,43,17
201805,942,1434,149,224,78,32
201806,1083,1102,103,214,62,28
201807,617,722,67,208,60,19
201808,480,589,102,208,61,22
201809,361,352,36,125,56,6
201810,225,335,53,104,83,3
201811,223,259,22,122,96,1
201812,147,188,24,74,47,1
201901,245,383,41,85,93,1
201902,278,349,53,83,37,0
201903,357,428,70,139,78,2
201904,407,520,72,131,58,6
201905,581,1020,160,142,93,11
201906,471,571,156,83,66,10
201907,341,387,111,77,101,6
201908,188,329,88,70,119,7
201909,158,285,83,119,69,4
201910,176,195,91,85,102,8
201911,169,214,80,117,60,3
201912,144,279,46,77,40,2
202001,133,208,97,134,131,8
202002,187,160,90,108,144,5
202003,131,177,111,129,526,2
202004,66,54,55,93,104,1
202005,105,120,88,123,79,0
202006,193,265,107,166,85,5
202007,472,488,208,214,92,8
202008,124,166,95,114,94,4
202009,116,151,98,153,498,1
202010,120,212,101,154,151,1
202011,85,84,57,178,152,1
202012,95,52,61,295,300,0
202101,93,82,114,170,120,0
202102,88,81,84,157,143,0
202103,152,179,133,215,273,1
202104,143,164,139,193,142,0
202105,190,404,243,288,213,1
202106,267,256,542,417,349,0
202107,216,371,450,454,250,1
202108,75,165,160,226,219,0
202109,74,140,102,206,649,0
202110,92,31,96,301,263,1
202111,71,48,102,325,418,3
202112,108,32,104,467,524,0
202201,81,67,117,290,329,0
202202,87,87,142,245,320,0
202203,181,134,199,252,685,0
202204,116,193,345,470,279,0
202205,328,369,489,630,403,0
202206,550,397,579,570,390,0
202207,342,231,382,351,319,0
202208,246,106,154,200,272,0
202209,116,165,116,159,636,0
202210,123,78,130,179,301,0
202211,115,99,171,191,717,0
202212,97,60,161,216,916,0
202301,149,123,149,112,196,1
202302,98,70,114,182,469,1
202303,201,208,317,169,935,0
202304,268,233,453,200,475,0
202305,326,450,648,211,942,0
202306,641,308,488,227,904,0
202307,239,187,282,119,441,0
202308,133,81,130,121,700,0
202309,58,45,113,166,751,1
202310,45,81,74,94,667,0
202311,45,27,75,95,1054,0
202312,82,22,46,59,1242,0
202401,84,42,72,90,169,0
202402,83,26,95,96,97,0
202403,140,53,69,117,152,0
202404,434,259,276,234,157,0
202405,432,549,623,235,168,0
202406,289,439,384,275,213,0
202407,138,62,197,189,250,0
202408,44,37,98,92,192,0
202409,49,22,93,96,299,1
202410,82,26,84,96,393,1
202411,95,15,52,76,268,0
202412,411,21,48,47,306,1
202501,68,53,60,186,226,0
202502,61,43,199,101,248,0
202503,56,72,195,171,437,0
202504,137,197,347,364,313,0
202505,266,358,686,434,375,0
202506,207,341,443,404,619,0
