"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200701,12597,32868,244,0,0,119
200702,7037,19363,129,0,0,75
200703,7227,20435,120,0,0,116
200704,4975,11755,92,0,0,69
200705,5806,14524,112,0,0,87
200706,4395,10695,113,0,0,106
200707,3684,9240,97,0,0,78
200708,2863,5883,81,0,0,43
200709,1878,3758,49,0,0,61
200710,1339,2421,24,0,0,52
200711,512,913,5,0,0,31
200712,119,358,1,0,0,5
200801,14282,31931,343,0,3,717
200802,7017,16418,159,0,1,393
200803,6248,14636,147,0,1,421
200804,4000,8807,115,0,1,340
200805,2549,7193,64,0,1,328
200806,1628,5753,64,0,1,439
200807,10140,5916,210,0,1,79
200808,3081,2089,52,0,1,19
200809,2048,1348,40,0,1,19
200810,974,740,22,0,1,12
200811,337,299,5,0,1,4
200812,102,86,0,0,1,1
200901,9193,6403,73,0,1,132
200902,5093,3636,19,0,5,131
200903,4365,3323,20,0,0,57
200904,2527,1689,25,0,0,133
200905,2662,2274,37,0,0,114
200906,2583,2177,21,0,0,29
200907,2056,1643,30,0,0,20
200908,1308,1061,22,0,0,14
200909,1433,786,22,0,0,10
200910,938,542,13,0,0,35
200911,315,182,9,0,0,13
200912,206,67,1,0,0,31
201001,9651,6085,129,0,0,523
201002,7147,4377,99,0,0,482
201003,8679,4470,124,0,1,380
201004,5828,2258,84,0,1,300
201005,5725,2563,72,0,6,231
201006,5775,2318,68,0,8,237
201007,4337,1776,50,0,0,148
201008,3419,1476,40,0,0,101
201009,2693,1243,28,0,0,324
201010,2132,861,24,0,0,242
201011,847,575,12,0,2,85
201012,292,118,6,0,0,18
201101,14811,5835,105,0,0,247
201102,8960,3296,46,0,0,267
201103,10190,4036,91,0,0,75
201104,6331,2205,76,0,18,53
201105,6932,2369,37,0,12,100
201106,7205,3179,56,0,5,562
201107,3030,1000,33,0,6,13
201108,2479,728,20,0,2,13
201109,2108,616,36,0,1,12
201110,1148,369,44,0,0,7
201111,530,238,9,0,1,1
201112,293,73,4,0,1,1
201201,15598,5041,212,0,9,1
201202,8262,2823,77,0,4,1
201203,9759,3018,69,0,11,1
201204,5051,1590,56,0,8,1
201205,5992,1590,40,0,14,1
201206,4688,1544,65,0,16,1
201207,3274,1043,40,0,60,1
201208,2309,745,30,0,7,1
201209,1915,549,16,0,3,1
201210,1325,317,14,0,2,1
201211,629,238,12,0,4,1
201212,243,64,10,0,4,1
201301,12780,4363,112,0,5,0
201302,7776,2735,63,0,8,1
201303,7973,3633,40,0,2,1
201304,4659,1450,36,0,6,1
201305,4269,1620,58,0,0,1
201306,1182,468,21,0,1,1
201307,8340,3165,122,0,12,0
201308,2763,880,50,0,5,0
201309,2327,781,48,0,4,0
201310,1265,402,20,0,5,0
201311,474,215,11,0,1,0
201312,136,75,2,0,1,0
201401,17088,5453,285,1,52,12
201402,9252,3316,125,1,18,0
